dcid,year,unemploymentPercentOfLaborForce
country/ESP,1990,16.238
country/ESP,1991,16.313
country/ESP,1992,18.353
country/ESP,1993,22.64
country/ESP,1994,24.118
country/ESP,1995,22.9
country/ESP,1996,22.08
country/ESP,1997,20.61
country/ESP,1998,18.605
country/ESP,1999,15.64
country/ESP,2000,13.857
country/ESP,2001,10.54
country/ESP,2002,11.45
country/ESP,2003,11.485
country/ESP,2004,10.965
country/ESP,2005,9.153
country/ESP,2006,8.453
country/ESP,2007,8.233
country/ESP,2008,11.245
country/ESP,2009,17.855
country/ESP,2010,19.858
country/ESP,2011,21.39
country/ESP,2012,24.788
country/ESP,2013,26.095
country/ESP,2014,24.443
country/ESP,2015,22.058
country/ESP,2016,19.635
country/ESP,2017,17.225
country/ESP,2018,15.255
country/ESP,2019,14.105
country/ESP,2020,15.533
country/ESP,2021,14.785
country/ESP,2022,12.918
country/ESP,2023,11.842
country/ESP,2024,11.341
country/ESP,2025,11.141
country/ESP,2026,11.04
country/ESP,2027,11.04
country/ESP,2028,11.04
country/TUR,1980,7.2
country/TUR,1981,7.2
country/TUR,1982,7.6
country/TUR,1983,7.51
country/TUR,1984,7.407
country/TUR,1985,6.946
country/TUR,1986,7.716
country/TUR,1987,8.131
country/TUR,1988,8.701
country/TUR,1989,8.575
country/TUR,1990,7.998
country/TUR,1991,7.66
country/TUR,1992,7.944
country/TUR,1993,8.368
country/TUR,1994,8.013
country/TUR,1995,7.109
country/TUR,1996,6.124
country/TUR,1997,6.318
country/TUR,1998,6.373
country/TUR,1999,7.155
country/TUR,2000,5.997
country/TUR,2001,7.804
country/TUR,2002,9.764
country/TUR,2003,9.925
country/TUR,2004,9.688
country/TUR,2005,9.015
country/TUR,2006,8.489
country/TUR,2007,8.487
country/TUR,2008,9.552
country/TUR,2009,12.948
country/TUR,2010,10.994
country/TUR,2011,9.048
country/TUR,2012,8.538
country/TUR,2013,9.031
country/TUR,2014,9.878
country/TUR,2015,10.164
country/TUR,2016,10.654
country/TUR,2017,10.777
country/TUR,2018,10.834
country/TUR,2019,13.661
country/TUR,2020,13.007
country/TUR,2021,12.325
country/TUR,2022,10.282
country/TUR,2023,9.925
country/TUR,2024,10.135
country/TUR,2025,10.217
country/TUR,2026,10.211
country/TUR,2027,10.192
country/TUR,2028,10.192
country/AUS,1980,6.133
country/AUS,1981,5.783
country/AUS,1982,7.183
country/AUS,1983,9.967
country/AUS,1984,8.967
country/AUS,1985,8.258
country/AUS,1986,8.117
country/AUS,1987,8.108
country/AUS,1988,7.21
country/AUS,1989,6.155
country/AUS,1990,6.947
country/AUS,1991,9.606
country/AUS,1992,10.756
country/AUS,1993,10.882
country/AUS,1994,9.714
country/AUS,1995,8.473
country/AUS,1996,8.515
country/AUS,1997,8.364
country/AUS,1998,7.684
country/AUS,1999,6.869
country/AUS,2000,6.278
country/AUS,2001,6.771
country/AUS,2002,6.367
country/AUS,2003,5.931
country/AUS,2004,5.393
country/AUS,2005,5.033
country/AUS,2006,4.774
country/AUS,2007,4.371
country/AUS,2008,4.243
country/AUS,2009,5.569
country/AUS,2010,5.209
country/AUS,2011,5.083
country/AUS,2012,5.226
country/AUS,2013,5.669
country/AUS,2014,6.063
country/AUS,2015,6.058
country/AUS,2016,5.715
country/AUS,2017,5.595
country/AUS,2018,5.302
country/AUS,2019,5.175
country/AUS,2020,6.501
country/AUS,2021,5.096
country/AUS,2022,3.7
country/AUS,2023,3.728
country/AUS,2024,4.259
country/AUS,2025,4.544
country/AUS,2026,4.814
country/AUS,2027,4.87
country/AUS,2028,4.898
country/NZL,1980,4.019
country/NZL,1981,3.911
country/NZL,1982,4.358
country/NZL,1983,6.241
country/NZL,1984,7.186
country/NZL,1985,3.922
country/NZL,1986,4.2
country/NZL,1987,4.225
country/NZL,1988,5.8
country/NZL,1989,7.325
country/NZL,1990,7.975
country/NZL,1991,10.625
country/NZL,1992,10.675
country/NZL,1993,9.8
country/NZL,1994,8.35
country/NZL,1995,6.45
country/NZL,1996,6.325
country/NZL,1997,6.875
country/NZL,1998,7.725
country/NZL,1999,7.05
country/NZL,2000,6.15
country/NZL,2001,5.475
country/NZL,2002,5.3
country/NZL,2003,4.75
country/NZL,2004,4.025
country/NZL,2005,3.8
country/NZL,2006,3.875
country/NZL,2007,3.625
country/NZL,2008,4.025
country/NZL,2009,5.9
country/NZL,2010,6.2
country/NZL,2011,6.05
country/NZL,2012,6.45
country/NZL,2013,5.825
country/NZL,2014,5.425
country/NZL,2015,5.425
country/NZL,2016,5.175
country/NZL,2017,4.75
country/NZL,2018,4.325
country/NZL,2019,4.1
country/NZL,2020,4.6
country/NZL,2021,3.775
country/NZL,2022,3.3
country/NZL,2023,3.799
country/NZL,2024,4.891
country/NZL,2025,4.532
country/NZL,2026,4.518
country/NZL,2027,4.453
country/NZL,2028,4.355
country/ZAF,1980,9.241
country/ZAF,1981,9.824
country/ZAF,1982,10.755
country/ZAF,1983,12.543
country/ZAF,1984,13.718
country/ZAF,1985,15.452
country/ZAF,1986,16.049
country/ZAF,1987,16.592
country/ZAF,1988,17.238
country/ZAF,1989,17.829
country/ZAF,1990,18.784
country/ZAF,1991,20.162
country/ZAF,1992,21.213
country/ZAF,1993,22.163
country/ZAF,1994,22.89
country/ZAF,1995,16.5
country/ZAF,1996,20.3
country/ZAF,1997,22.0
country/ZAF,1998,26.1
country/ZAF,1999,23.3
country/ZAF,2000,23.0
country/ZAF,2001,25.95
country/ZAF,2002,27.8
country/ZAF,2003,27.65
country/ZAF,2004,25.15
country/ZAF,2005,24.65
country/ZAF,2006,23.55
country/ZAF,2007,23.0
country/ZAF,2008,22.525
country/ZAF,2009,23.7
country/ZAF,2010,24.875
country/ZAF,2011,24.8
country/ZAF,2012,24.875
country/ZAF,2013,24.725
country/ZAF,2014,25.1
country/ZAF,2015,25.35
country/ZAF,2016,26.725
country/ZAF,2017,27.45
country/ZAF,2018,27.125
country/ZAF,2019,28.7
country/ZAF,2020,29.175
country/ZAF,2021,34.3
country/ZAF,2022,33.5
country/ZAF,2023,32.8
country/ZAF,2024,32.786
country/ZAF,2025,32.92
country/ZAF,2026,33.204
country/ZAF,2027,33.484
country/ZAF,2028,33.763
country/ARG,1980,3.0
country/ARG,1981,5.0
country/ARG,1982,4.5
country/ARG,1983,5.0
country/ARG,1984,5.0
country/ARG,1985,6.25
country/ARG,1986,6.3
country/ARG,1987,6.0
country/ARG,1988,6.5
country/ARG,1989,8.0
country/ARG,1990,7.6
country/ARG,1991,6.48
country/ARG,1992,7.112
country/ARG,1993,11.606
country/ARG,1994,13.348
country/ARG,1995,18.904
country/ARG,1996,18.76
country/ARG,1997,16.808
country/ARG,1998,14.789
country/ARG,1999,16.061
country/ARG,2000,17.134
country/ARG,2001,19.209
country/ARG,2002,22.45
country/ARG,2003,17.25
country/ARG,2004,13.625
country/ARG,2005,11.575
country/ARG,2006,10.175
country/ARG,2007,8.475
country/ARG,2008,7.875
country/ARG,2009,8.675
country/ARG,2010,7.75
country/ARG,2011,7.15
country/ARG,2012,7.2
country/ARG,2013,7.075
country/ARG,2014,7.25
country/ARG,2015,6.533
country/ARG,2016,8.467
country/ARG,2017,8.35
country/ARG,2018,9.2
country/ARG,2019,9.825
country/ARG,2020,11.55
country/ARG,2021,8.75
country/ARG,2022,6.825
country/ARG,2023,7.35
country/ARG,2024,7.2
country/ARG,2025,7.2
country/ARG,2026,7.2
country/ARG,2027,7.0
country/ARG,2028,7.0
country/BOL,2000,7.462
country/BOL,2001,8.498
country/BOL,2002,8.69
country/BOL,2003,8.708
country/BOL,2004,8.427
country/BOL,2005,8.146
country/BOL,2006,7.992
country/BOL,2007,7.668
country/BOL,2008,4.43
country/BOL,2009,4.913
country/BOL,2010,4.375
country/BOL,2011,3.837
country/BOL,2012,3.229
country/BOL,2013,4.0
country/BOL,2014,4.0
country/BOL,2015,4.557
country/BOL,2016,4.686
country/BOL,2017,5.085
country/BOL,2018,4.913
country/BOL,2019,5.012
country/BOL,2020,8.336
country/BOL,2021,6.937
country/BOL,2022,4.74
country/BOL,2023,4.9
country/BOL,2024,5.0
country/BOL,2025,5.05
country/BOL,2026,5.1
country/BOL,2027,5.15
country/BOL,2028,5.2
country/BRA,1991,6.366
country/BRA,1992,6.42
country/BRA,1993,6.03
country/BRA,1994,6.47
country/BRA,1995,7.09
country/BRA,1996,8.03
country/BRA,1997,9.0
country/BRA,1998,10.15
country/BRA,1999,11.13
country/BRA,2000,10.53
country/BRA,2001,10.65
country/BRA,2002,10.64
country/BRA,2003,11.17
country/BRA,2004,10.07
country/BRA,2005,10.55
country/BRA,2006,9.69
country/BRA,2007,9.28
country/BRA,2008,8.27
country/BRA,2009,9.42
country/BRA,2010,8.034
country/BRA,2011,7.58
country/BRA,2012,6.9
country/BRA,2013,7.225
country/BRA,2014,6.9
country/BRA,2015,8.625
country/BRA,2016,11.65
country/BRA,2017,12.85
country/BRA,2018,12.375
country/BRA,2019,11.975
country/BRA,2020,13.775
country/BRA,2021,13.2
country/BRA,2022,9.25
country/BRA,2023,8.333
country/BRA,2024,8.169
country/BRA,2025,8.094
country/BRA,2026,8.064
country/BRA,2027,8.043
country/BRA,2028,7.931
country/CHL,1980,11.502
country/CHL,1981,10.291
country/CHL,1982,19.814
country/CHL,1983,20.999
country/CHL,1984,17.515
country/CHL,1985,14.975
country/CHL,1986,12.299
country/CHL,1987,10.984
country/CHL,1988,9.875
country/CHL,1989,7.98
country/CHL,1990,7.75
country/CHL,1991,8.217
country/CHL,1992,6.7
country/CHL,1993,6.5
country/CHL,1994,7.808
country/CHL,1995,7.375
country/CHL,1996,6.5
country/CHL,1997,6.108
country/CHL,1998,6.217
country/CHL,1999,10.008
country/CHL,2000,9.708
country/CHL,2001,9.867
country/CHL,2002,9.8
country/CHL,2003,9.533
country/CHL,2004,10.017
country/CHL,2005,9.3
country/CHL,2006,7.95
country/CHL,2007,7.008
country/CHL,2008,7.75
country/CHL,2009,11.053
country/CHL,2010,8.305
country/CHL,2011,7.3
country/CHL,2012,6.595
country/CHL,2013,6.082
country/CHL,2014,6.495
country/CHL,2015,6.328
country/CHL,2016,6.685
country/CHL,2017,6.965
country/CHL,2018,7.377
country/CHL,2019,7.223
country/CHL,2020,10.77
country/CHL,2021,8.862
country/CHL,2022,7.878
country/CHL,2023,8.827
country/CHL,2024,9.032
country/CHL,2025,8.552
country/CHL,2026,7.957
country/CHL,2027,7.521
country/CHL,2028,7.499
country/COL,1980,5.429
country/COL,1981,6.561
country/COL,1982,7.1
country/COL,1983,8.694
country/COL,1984,8.986
country/COL,1985,8.742
country/COL,1986,7.654
country/COL,1987,7.361
country/COL,1988,6.451
country/COL,1989,6.792
country/COL,1990,6.637
country/COL,1991,6.377
country/COL,1992,5.935
country/COL,1993,5.038
country/COL,1994,4.914
country/COL,1995,5.649
country/COL,1996,7.8
country/COL,1997,7.9
country/COL,1998,9.7
country/COL,1999,13.1
country/COL,2000,13.325
country/COL,2001,14.975
country/COL,2002,15.583
country/COL,2003,14.108
country/COL,2004,13.667
country/COL,2005,11.808
country/COL,2006,12.042
country/COL,2007,11.192
country/COL,2008,11.25
country/COL,2009,12.208
country/COL,2010,11.992
country/COL,2011,11.05
country/COL,2012,10.617
country/COL,2013,9.883
country/COL,2014,9.4
country/COL,2015,9.2
country/COL,2016,9.542
country/COL,2017,9.675
country/COL,2018,9.95
country/COL,2019,10.875
country/COL,2020,16.658
country/COL,2021,13.8
country/COL,2022,11.208
country/COL,2023,10.8
country/COL,2024,10.404
country/COL,2025,10.018
country/COL,2026,9.649
country/COL,2027,9.48
country/COL,2028,9.511
country/CRI,1980,5.921
country/CRI,1981,8.766
country/CRI,1982,9.405
country/CRI,1983,9.231
country/CRI,1984,5.361
country/CRI,1985,6.846
country/CRI,1986,6.229
country/CRI,1987,5.577
country/CRI,1988,5.461
country/CRI,1989,3.774
country/CRI,1990,4.642
country/CRI,1991,5.5
country/CRI,1992,4.1
country/CRI,1993,4.1
country/CRI,1994,4.2
country/CRI,1995,5.2
country/CRI,1996,6.2
country/CRI,1997,5.7
country/CRI,1998,5.6
country/CRI,1999,6.022
country/CRI,2000,5.193
country/CRI,2001,6.072
country/CRI,2002,6.403
country/CRI,2003,6.668
country/CRI,2004,6.495
country/CRI,2005,6.63
country/CRI,2006,5.962
country/CRI,2007,4.597
country/CRI,2008,4.948
country/CRI,2009,7.822
country/CRI,2010,9.213
country/CRI,2011,10.492
country/CRI,2012,9.849
country/CRI,2013,8.311
country/CRI,2014,9.658
country/CRI,2015,9.604
country/CRI,2016,9.541
country/CRI,2017,9.293
country/CRI,2018,11.951
country/CRI,2019,12.417
country/CRI,2020,19.98
country/CRI,2021,13.68
country/CRI,2022,11.669
country/CRI,2023,9.8
country/CRI,2024,9.8
country/CRI,2025,9.7
country/CRI,2026,9.591
country/CRI,2027,9.467
country/CRI,2028,9.281
country/DOM,1991,9.237
country/DOM,1992,9.537
country/DOM,1993,9.337
country/DOM,1994,7.387
country/DOM,1995,7.287
country/DOM,1996,7.537
country/DOM,1997,7.187
country/DOM,1998,7.387
country/DOM,1999,6.287
country/DOM,2000,8.05
country/DOM,2001,9.083
country/DOM,2002,8.479
country/DOM,2003,8.674
country/DOM,2004,7.879
country/DOM,2005,8.237
country/DOM,2006,7.075
country/DOM,2007,6.452
country/DOM,2008,5.959
country/DOM,2009,6.835
country/DOM,2010,6.52
country/DOM,2011,7.613
country/DOM,2012,8.407
country/DOM,2013,9.196
country/DOM,2014,8.538
country/DOM,2015,7.328
country/DOM,2016,7.08
country/DOM,2017,5.509
country/DOM,2018,5.656
country/DOM,2019,6.167
country/DOM,2020,5.829
country/DOM,2021,7.384
country/DOM,2022,5.293
country/DOM,2023,6.2
country/DOM,2024,6.0
country/DOM,2025,6.0
country/DOM,2026,6.0
country/DOM,2027,6.0
country/DOM,2028,6.0
country/ECU,1988,7.0
country/ECU,1989,7.9
country/ECU,1990,6.1
country/ECU,1991,8.5
country/ECU,1992,8.9
country/ECU,1993,8.3
country/ECU,1994,5.696
country/ECU,1995,5.493
country/ECU,1996,9.046
country/ECU,1997,7.828
country/ECU,1998,10.163
country/ECU,1999,13.107
country/ECU,2000,7.625
country/ECU,2001,9.554
country/ECU,2002,7.828
country/ECU,2003,10.163
country/ECU,2004,7.219
country/ECU,2005,7.095
country/ECU,2006,6.687
country/ECU,2007,6.923
country/ECU,2008,5.95
country/ECU,2009,6.47
country/ECU,2010,5.02
country/ECU,2011,4.21
country/ECU,2012,4.12
country/ECU,2013,4.15
country/ECU,2014,3.8
country/ECU,2015,4.77
country/ECU,2016,5.21
country/ECU,2017,4.62
country/ECU,2018,3.69
country/ECU,2019,3.84
country/ECU,2020,5.346
country/ECU,2021,4.15
country/ECU,2022,3.19
country/ECU,2023,3.8
country/ECU,2024,3.9
country/ECU,2025,3.5
country/ECU,2026,3.5
country/ECU,2027,3.5
country/ECU,2028,3.5
country/SLV,1988,10.154
country/SLV,1989,9.074
country/SLV,1990,10.0
country/SLV,1991,8.7
country/SLV,1992,9.3
country/SLV,1993,9.9
country/SLV,1994,7.7
country/SLV,1995,7.6
country/SLV,1996,7.7
country/SLV,1997,8.0
country/SLV,1998,7.3
country/SLV,1999,6.4
country/SLV,2000,6.7
country/SLV,2001,6.96
country/SLV,2002,6.23
country/SLV,2003,6.92
country/SLV,2004,6.78
country/SLV,2005,7.2
country/SLV,2006,6.6
country/SLV,2007,6.3
country/SLV,2008,5.9
country/SLV,2009,7.3
country/SLV,2010,7.0
country/SLV,2011,6.6
country/SLV,2012,6.1
country/SLV,2013,5.9
country/SLV,2014,7.0
country/SLV,2015,7.0
country/SLV,2016,7.0
country/SLV,2017,7.05
country/SLV,2018,6.35
country/SLV,2019,6.34
country/SLV,2020,6.9
country/SLV,2021,6.3
country/SLV,2022,5.0
country/SLV,2023,5.5
country/SLV,2024,5.5
country/SLV,2025,5.5
country/SLV,2026,5.5
country/SLV,2027,5.5
country/SLV,2028,5.5
country/HND,1980,6.864
country/HND,1981,7.018
country/HND,1982,6.667
country/HND,1983,6.504
country/HND,1984,6.349
country/HND,1985,6.818
country/HND,1986,6.667
country/HND,1987,7.092
country/HND,1988,6.944
country/HND,1989,6.667
country/HND,1990,4.267
country/HND,1991,4.58
country/HND,1992,3.06
country/HND,1993,3.157
country/HND,1994,3.202
country/HND,1995,3.24
country/HND,1996,4.37
country/HND,1997,3.32
country/HND,1998,4.02
country/HND,1999,3.85
country/HND,2000,3.918
country/HND,2001,4.0
country/HND,2002,4.02
country/HND,2003,5.3
country/HND,2004,5.99
country/HND,2005,4.909
country/HND,2006,3.575
country/HND,2007,3.211
country/HND,2008,3.156
country/HND,2009,3.292
country/HND,2010,4.119
country/HND,2011,4.474
country/HND,2012,3.754
country/HND,2013,4.096
country/HND,2014,5.488
country/HND,2015,6.147
country/HND,2016,6.727
country/HND,2017,5.528
country/HND,2018,5.648
country/HND,2019,5.386
country/HND,2020,10.912
country/HND,2021,8.569
country/HND,2022,8.9
country/HND,2023,8.082
country/HND,2024,8.005
country/HND,2025,8.0
country/HND,2026,8.0
country/HND,2027,8.0
country/HND,2028,8.0
country/MEX,1980,1.2
country/MEX,1981,0.9
country/MEX,1982,4.2
country/MEX,1983,6.1
country/MEX,1984,5.6
country/MEX,1985,4.4
country/MEX,1986,4.3
country/MEX,1987,3.883
country/MEX,1988,3.542
country/MEX,1989,2.925
country/MEX,1990,2.742
country/MEX,1991,2.692
country/MEX,1992,2.83
country/MEX,1993,3.43
country/MEX,1994,3.7
country/MEX,1995,6.23
country/MEX,1996,5.45
country/MEX,1997,3.73
country/MEX,1998,3.16
country/MEX,1999,2.5
country/MEX,2000,2.2
country/MEX,2001,2.768
country/MEX,2002,2.978
country/MEX,2003,3.4
country/MEX,2004,3.919
country/MEX,2005,3.478
country/MEX,2006,3.527
country/MEX,2007,3.611
country/MEX,2008,3.888
country/MEX,2009,5.33
country/MEX,2010,5.273
country/MEX,2011,5.171
country/MEX,2012,4.928
country/MEX,2013,4.938
country/MEX,2014,4.835
country/MEX,2015,4.347
country/MEX,2016,3.875
country/MEX,2017,3.419
country/MEX,2018,3.322
country/MEX,2019,3.49
country/MEX,2020,4.408
country/MEX,2021,4.142
country/MEX,2022,3.275
country/MEX,2023,2.888
country/MEX,2024,3.085
country/MEX,2025,3.38
country/MEX,2026,3.552
country/MEX,2027,3.651
country/MEX,2028,3.711
country/NIC,1980,13.448
country/NIC,1981,11.8
country/NIC,1982,12.4
country/NIC,1983,11.0
country/NIC,1984,12.0
country/NIC,1985,12.5
country/NIC,1986,13.1
country/NIC,1987,14.0
country/NIC,1988,14.2
country/NIC,1989,15.0
country/NIC,1990,15.5
country/NIC,1991,14.9
country/NIC,1992,14.4
country/NIC,1993,15.0
country/NIC,1994,17.1
country/NIC,1995,16.907
country/NIC,1996,15.953
country/NIC,1997,14.274
country/NIC,1998,13.213
country/NIC,1999,10.683
country/NIC,2000,9.8
country/NIC,2001,6.4
country/NIC,2002,12.2
country/NIC,2003,6.998
country/NIC,2004,6.537
country/NIC,2005,5.559
country/NIC,2006,5.193
country/NIC,2007,5.935
country/NIC,2008,6.062
country/NIC,2009,8.158
country/NIC,2010,7.829
country/NIC,2011,5.93
country/NIC,2012,5.912
country/NIC,2013,5.746
country/NIC,2014,6.557
country/NIC,2015,5.909
country/NIC,2016,4.481
country/NIC,2017,3.67
country/NIC,2018,5.5
country/NIC,2019,5.341
country/NIC,2020,6.486
country/NIC,2021,11.1
country/NIC,2022,7.518
country/NIC,2023,7.157
country/NIC,2024,6.763
country/NIC,2025,6.355
country/NIC,2026,5.969
country/NIC,2027,5.498
country/NIC,2028,4.889
country/PAN,1980,8.375
country/PAN,1981,9.184
country/PAN,1982,10.981
country/PAN,1983,11.573
country/PAN,1984,12.216
country/PAN,1985,14.418
country/PAN,1986,12.504
country/PAN,1987,14.102
country/PAN,1988,18.78
country/PAN,1989,18.939
country/PAN,1990,16.719
country/PAN,1991,15.971
country/PAN,1992,14.674
country/PAN,1993,13.262
country/PAN,1994,14.008
country/PAN,1995,14.019
country/PAN,1996,14.317
country/PAN,1997,13.37
country/PAN,1998,11.599
country/PAN,1999,9.532
country/PAN,2000,13.526
country/PAN,2001,14.026
country/PAN,2002,13.489
country/PAN,2003,13.042
country/PAN,2004,11.749
country/PAN,2005,9.781
country/PAN,2006,8.662
country/PAN,2007,6.372
country/PAN,2008,5.579
country/PAN,2009,6.557
country/PAN,2010,6.516
country/PAN,2011,4.481
country/PAN,2012,4.05
country/PAN,2013,4.098
country/PAN,2014,4.823
country/PAN,2015,5.052
country/PAN,2016,5.494
country/PAN,2017,6.13
country/PAN,2018,5.956
country/PAN,2019,7.07
country/PAN,2020,18.548
country/PAN,2021,11.293
country/PAN,2022,8.8
country/PAN,2023,8.0
country/PAN,2024,8.0
country/PAN,2025,8.0
country/PAN,2026,8.0
country/PAN,2027,8.0
country/PAN,2028,8.0
country/PRY,1983,8.3
country/PRY,1984,7.3
country/PRY,1985,5.1
country/PRY,1986,6.1
country/PRY,1987,5.5
country/PRY,1988,4.7
country/PRY,1989,6.1
country/PRY,1990,6.6
country/PRY,1991,5.1
country/PRY,1992,5.3
country/PRY,1993,5.1
country/PRY,1994,4.4
country/PRY,1995,3.3
country/PRY,1996,8.2
country/PRY,1997,5.0
country/PRY,1998,5.8
country/PRY,1999,6.8
country/PRY,2000,7.3
country/PRY,2001,7.6
country/PRY,2002,10.8
country/PRY,2003,8.059
country/PRY,2004,7.307
country/PRY,2005,5.831
country/PRY,2006,6.653
country/PRY,2007,5.601
country/PRY,2008,5.728
country/PRY,2009,6.398
country/PRY,2010,5.674
country/PRY,2011,5.621
country/PRY,2012,4.573
country/PRY,2013,5.021
country/PRY,2014,6.038
country/PRY,2015,5.351
country/PRY,2016,5.998
country/PRY,2017,6.086
country/PRY,2018,6.236
country/PRY,2019,6.569
country/PRY,2020,7.708
country/PRY,2021,7.51
country/PRY,2022,6.808
country/PRY,2023,6.19
country/PRY,2024,5.995
country/PRY,2025,5.995
country/PRY,2026,5.995
country/PRY,2027,5.995
country/PRY,2028,5.995
country/PER,1980,7.326
country/PER,1981,6.8
country/PER,1982,6.4
country/PER,1983,9.0
country/PER,1984,8.9
country/PER,1985,4.589
country/PER,1986,5.3
country/PER,1987,4.8
country/PER,1988,4.156
country/PER,1989,7.9
country/PER,1990,8.3
country/PER,1991,5.9
country/PER,1992,9.4
country/PER,1993,9.9
country/PER,1994,8.8
country/PER,1995,7.1
country/PER,1996,7.2
country/PER,1997,8.6
country/PER,1998,6.9
country/PER,1999,9.4
country/PER,2000,7.847
country/PER,2001,9.246
country/PER,2002,9.42
country/PER,2003,9.424
country/PER,2004,9.436
country/PER,2005,9.579
country/PER,2006,8.542
country/PER,2007,8.419
country/PER,2008,8.377
country/PER,2009,8.387
country/PER,2010,7.88
country/PER,2011,7.727
country/PER,2012,6.798
country/PER,2013,5.945
country/PER,2014,5.938
country/PER,2015,6.49
country/PER,2016,6.742
country/PER,2017,6.876
country/PER,2018,6.7
country/PER,2019,6.579
country/PER,2020,13.0
country/PER,2021,10.7
country/PER,2022,7.8
country/PER,2023,7.55
country/PER,2024,7.4
country/PER,2025,7.3
country/PER,2026,7.2
country/PER,2027,7.1
country/PER,2028,7.0
country/URY,1983,14.5
country/URY,1984,14.0
country/URY,1985,13.1
country/URY,1986,10.1
country/URY,1987,9.1
country/URY,1988,8.6
country/URY,1989,8.0
country/URY,1990,8.5
country/URY,1991,8.9
country/URY,1992,9.0
country/URY,1993,8.3
country/URY,1994,9.2
country/URY,1995,10.3
country/URY,1996,11.9
country/URY,1997,11.558
country/URY,1998,10.125
country/URY,1999,11.2
country/URY,2000,13.4
country/URY,2001,15.192
country/URY,2002,16.75
country/URY,2003,17.15
country/URY,2004,13.342
country/URY,2005,12.142
country/URY,2006,10.783
country/URY,2007,9.4
country/URY,2008,7.925
country/URY,2009,7.783
country/URY,2010,7.025
country/URY,2011,6.342
country/URY,2012,6.325
country/URY,2013,6.508
country/URY,2014,6.625
country/URY,2015,7.525
country/URY,2016,7.867
country/URY,2017,7.925
country/URY,2018,8.367
country/URY,2019,8.925
country/URY,2020,10.35
country/URY,2021,9.375
country/URY,2022,7.867
country/URY,2023,8.129
country/URY,2024,8.047
country/URY,2025,7.983
country/URY,2026,7.953
country/URY,2027,8.023
country/URY,2028,8.023
country/VEN,1999,14.525
country/VEN,2000,14.008
country/VEN,2001,13.358
country/VEN,2002,15.996
country/VEN,2003,18.188
country/VEN,2004,15.067
country/VEN,2005,12.242
country/VEN,2006,9.958
country/VEN,2007,8.492
country/VEN,2008,7.354
country/VEN,2009,7.879
country/VEN,2010,8.508
country/VEN,2011,8.204
country/VEN,2012,7.823
country/VEN,2013,7.47
country/VEN,2014,6.7
country/VEN,2015,7.4
country/VEN,2016,20.863
country/VEN,2017,27.886
country/VEN,2018,35.554
country/BHS,1986,12.2
country/BHS,1987,11.5
country/BHS,1988,11.0
country/BHS,1989,11.7
country/BHS,1990,12.0
country/BHS,1991,12.3
country/BHS,1992,14.8
country/BHS,1993,13.1
country/BHS,1994,13.292
country/BHS,1995,10.9
country/BHS,1996,11.505
country/BHS,1997,9.779
country/BHS,1998,7.743
country/BHS,1999,7.796
country/BHS,2000,7.0
country/BHS,2001,6.9
country/BHS,2002,9.102
country/BHS,2003,10.835
country/BHS,2004,10.202
country/BHS,2005,10.17
country/BHS,2006,7.628
country/BHS,2007,7.853
country/BHS,2008,8.703
country/BHS,2009,14.246
country/BHS,2010,15.082
country/BHS,2011,15.889
country/BHS,2012,14.367
country/BHS,2013,15.782
country/BHS,2014,14.636
country/BHS,2015,13.379
country/BHS,2016,12.15
country/BHS,2017,10.1
country/BHS,2018,10.35
country/BHS,2019,10.1
country/BHS,2020,26.218
country/BHS,2021,17.646
country/BHS,2022,10.814
country/BHS,2023,8.79
country/BHS,2024,8.79
country/BHS,2025,8.94
country/BHS,2026,9.04
country/BHS,2027,9.14
country/BHS,2028,9.19
country/ABW,1991,6.078
country/ABW,1992,6.428
country/ABW,1993,6.022
country/ABW,1994,5.058
country/ABW,1995,5.983
country/ABW,1996,7.169
country/ABW,1997,6.126
country/ABW,1998,3.25
country/ABW,1999,4.793
country/ABW,2000,6.923
country/ABW,2001,6.489
country/ABW,2002,8.131
country/ABW,2003,11.4
country/ABW,2004,9.5
country/ABW,2005,8.8
country/ABW,2006,9.3
country/ABW,2007,5.71
country/ABW,2008,6.9
country/ABW,2009,10.3
country/ABW,2010,10.6
country/ABW,2011,8.879
country/ABW,2012,9.607
country/ABW,2013,7.599
country/ABW,2014,7.451
country/ABW,2015,7.298
country/ABW,2016,7.694
country/ABW,2017,8.923
country/ABW,2018,7.283
country/ABW,2019,5.2
country/ABW,2020,8.6
country/ABW,2021,8.8
country/ABW,2022,6.6
country/ABW,2023,8.465
country/ABW,2024,8.449
country/ABW,2025,8.465
country/ABW,2026,8.476
country/ABW,2027,8.466
country/ABW,2028,8.457
country/BRB,1981,10.76
country/BRB,1982,13.65
country/BRB,1983,14.945
country/BRB,1984,17.037
country/BRB,1985,18.631
country/BRB,1986,17.735
country/BRB,1987,17.934
country/BRB,1988,17.137
country/BRB,1989,15.244
country/BRB,1990,14.945
country/BRB,1991,17.236
country/BRB,1992,22.915
country/BRB,1993,24.41
country/BRB,1994,21.75
country/BRB,1995,19.625
country/BRB,1996,15.75
country/BRB,1997,14.55
country/BRB,1998,12.15
country/BRB,1999,10.35
country/BRB,2000,9.35
country/BRB,2001,9.85
country/BRB,2002,10.3
country/BRB,2003,11.0
country/BRB,2004,9.575
country/BRB,2005,9.075
country/BRB,2006,8.725
country/BRB,2007,7.425
country/BRB,2008,8.125
country/BRB,2009,9.975
country/BRB,2010,10.25
