dcid,year,inflationPercentAverageConsumerPrices
country/PER,1999,3.469
country/PER,2000,3.759
country/PER,2001,1.975
country/PER,2002,0.192
country/PER,2003,2.261
country/PER,2004,3.662
country/PER,2005,1.618
country/PER,2006,2.001
country/PER,2007,1.779
country/PER,2008,5.788
country/PER,2009,2.935
country/PER,2010,1.529
country/PER,2011,3.369
country/PER,2012,3.656
country/PER,2013,2.807
country/PER,2014,3.245
country/PER,2015,3.548
country/PER,2016,3.593
country/PER,2017,2.804
country/PER,2018,1.317
country/PER,2019,2.136
country/PER,2020,1.827
country/PER,2021,3.979
country/PER,2022,7.871
country/PER,2023,6.509
country/PER,2024,2.912
country/PER,2025,2.061
country/PER,2026,1.983
country/PER,2027,2.017
country/PER,2028,2.017
country/URY,1980,63.475
country/URY,1981,34.046
country/URY,1982,18.991
country/URY,1983,49.198
country/URY,1984,55.305
country/URY,1985,72.222
country/URY,1986,76.38
country/URY,1987,63.567
country/URY,1988,62.192
country/URY,1989,80.447
country/URY,1990,112.526
country/URY,1991,101.972
country/URY,1992,68.456
country/URY,1993,54.081
country/URY,1994,44.736
country/URY,1995,42.248
country/URY,1996,28.342
country/URY,1997,19.819
country/URY,1998,10.808
country/URY,1999,5.66
country/URY,2000,4.775
country/URY,2001,4.357
country/URY,2002,13.968
country/URY,2003,19.379
country/URY,2004,9.169
country/URY,2005,4.699
country/URY,2006,6.386
country/URY,2007,8.115
country/URY,2008,7.878
country/URY,2009,7.068
country/URY,2010,6.694
country/URY,2011,8.092
country/URY,2012,8.099
country/URY,2013,8.577
country/URY,2014,8.878
country/URY,2015,8.66
country/URY,2016,9.64
country/URY,2017,6.222
country/URY,2018,7.606
country/URY,2019,7.883
country/URY,2020,9.754
country/URY,2021,7.75
country/URY,2022,9.106
country/URY,2023,6.092
country/URY,2024,5.898
country/URY,2025,5.501
country/URY,2026,5.178
country/URY,2027,4.827
country/URY,2028,4.723
country/VEN,1980,21.355
country/VEN,1981,16.244
country/VEN,1982,9.607
country/VEN,1983,6.242
country/VEN,1984,12.25
country/VEN,1985,11.382
country/VEN,1986,11.544
country/VEN,1987,28.137
country/VEN,1988,29.468
country/VEN,1989,84.463
country/VEN,1990,40.656
country/VEN,1991,34.205
country/VEN,1992,31.423
country/VEN,1993,38.122
country/VEN,1994,60.817
country/VEN,1995,59.923
country/VEN,1996,99.876
country/VEN,1997,50.04
country/VEN,1998,35.782
country/VEN,1999,23.57
country/VEN,2000,16.206
country/VEN,2001,12.531
country/VEN,2002,22.434
country/VEN,2003,31.091
country/VEN,2004,21.747
country/VEN,2005,15.955
country/VEN,2006,13.663
country/VEN,2007,18.699
country/VEN,2008,31.441
country/VEN,2009,26.041
country/VEN,2010,28.187
country/VEN,2011,26.09
country/VEN,2012,21.069
country/VEN,2013,40.639
country/VEN,2014,62.169
country/VEN,2015,121.738
country/VEN,2016,254.949
country/VEN,2017,438.117
country/VEN,2018,65374.082
country/VEN,2019,19906.024
country/VEN,2020,2355.147
country/VEN,2021,1588.513
country/VEN,2022,186.542
country/VEN,2023,359.986
country/VEN,2024,199.986
country/ATG,1980,18.999
country/ATG,1981,11.465
country/ATG,1982,4.17
country/ATG,1983,2.346
country/ATG,1984,3.844
country/ATG,1985,0.996
country/ATG,1986,0.5
country/ATG,1987,3.602
country/ATG,1988,6.8
country/ATG,1989,4.362
country/ATG,1990,6.591
country/ATG,1991,4.518
country/ATG,1992,3.0
country/ATG,1993,3.1
country/ATG,1994,6.485
country/ATG,1995,2.737
country/ATG,1996,2.965
country/ATG,1997,0.362
country/ATG,1998,3.262
country/ATG,1999,1.135
country/ATG,2000,0.162
country/ATG,2001,1.935
country/ATG,2002,2.408
country/ATG,2003,1.994
country/ATG,2004,2.03
country/ATG,2005,2.099
country/ATG,2006,1.788
country/ATG,2007,1.416
country/ATG,2008,5.334
country/ATG,2009,0.55
country/ATG,2010,3.37
country/ATG,2011,3.457
country/ATG,2012,3.377
country/ATG,2013,1.059
country/ATG,2014,1.089
country/ATG,2015,0.969
country/ATG,2016,0.489
country/ATG,2017,2.432
country/ATG,2018,1.211
country/ATG,2019,1.431
country/ATG,2020,1.058
country/ATG,2021,1.627
country/ATG,2022,7.531
country/ATG,2023,5.033
country/ATG,2024,2.933
country/ATG,2025,2.443
country/ATG,2026,2.018
country/ATG,2027,2.018
country/ATG,2028,2.018
country/BHS,1980,12.231
country/BHS,1981,11.046
country/BHS,1982,6.101
country/BHS,1983,4.0
country/BHS,1984,3.966
country/BHS,1985,4.624
country/BHS,1986,5.414
country/BHS,1987,5.994
country/BHS,1988,4.051
country/BHS,1989,5.405
country/BHS,1990,4.628
country/BHS,1991,7.304
country/BHS,1992,5.577
country/BHS,1993,2.748
country/BHS,1994,1.367
country/BHS,1995,2.023
country/BHS,1996,1.262
country/BHS,1997,0.561
country/BHS,1998,1.207
country/BHS,1999,1.119
country/BHS,2000,1.732
country/BHS,2001,2.362
country/BHS,2002,1.498
country/BHS,2003,3.657
country/BHS,2004,1.16
country/BHS,2005,1.819
country/BHS,2006,1.958
country/BHS,2007,2.407
country/BHS,2008,4.434
country/BHS,2009,1.666
country/BHS,2010,1.621
country/BHS,2011,3.064
country/BHS,2012,1.912
country/BHS,2013,0.445
country/BHS,2014,1.183
country/BHS,2015,1.878
country/BHS,2016,0.33
country/BHS,2017,1.5
country/BHS,2018,2.268
country/BHS,2019,2.491
country/BHS,2020,0.039
country/BHS,2021,2.905
country/BHS,2022,5.605
country/BHS,2023,3.884
country/BHS,2024,3.194
country/BHS,2025,2.47
country/BHS,2026,2.102
country/BHS,2027,1.959
country/BHS,2028,1.971
country/ABW,1987,3.639
country/ABW,1988,3.121
country/ABW,1989,3.989
country/ABW,1990,5.838
country/ABW,1991,5.553
country/ABW,1992,3.87
country/ABW,1993,5.219
country/ABW,1994,6.284
country/ABW,1995,3.413
country/ABW,1996,3.169
country/ABW,1997,3.006
country/ABW,1998,1.865
country/ABW,1999,2.274
country/ABW,2000,4.074
country/ABW,2001,2.884
country/ABW,2002,3.316
country/ABW,2003,3.655
country/ABW,2004,2.53
country/ABW,2005,3.397
country/ABW,2006,3.61
country/ABW,2007,5.39
country/ABW,2008,8.957
country/ABW,2009,2.137
country/ABW,2010,2.078
country/ABW,2011,4.375
country/ABW,2012,0.572
country/ABW,2013,2.372
country/ABW,2014,0.421
country/ABW,2015,0.475
country/ABW,2016,0.932
country/ABW,2017,1.028
country/ABW,2018,3.626
country/ABW,2019,3.939
country/ABW,2020,1.313
country/ABW,2021,0.744
country/ABW,2022,5.52
country/ABW,2023,4.455
country/ABW,2024,2.336
country/ABW,2025,2.139
country/ABW,2026,1.998
country/ABW,2027,1.998
country/ABW,2028,1.998
country/BRB,1980,18.498
country/BRB,1981,14.589
country/BRB,1982,10.287
country/BRB,1983,5.275
country/BRB,1984,4.648
country/BRB,1985,4.858
country/BRB,1986,0.199
country/BRB,1987,3.567
country/BRB,1988,4.719
country/BRB,1989,6.334
country/BRB,1990,3.036
country/BRB,1991,6.3
country/BRB,1992,5.996
country/BRB,1993,1.184
country/BRB,1994,0.7
country/BRB,1995,2.838
country/BRB,1996,2.386
country/BRB,1997,7.711
country/BRB,1998,1.269
country/BRB,1999,1.56
country/BRB,2000,2.436
country/BRB,2001,2.801
country/BRB,2002,0.169
country/BRB,2003,1.577
country/BRB,2004,1.428
country/BRB,2005,6.065
country/BRB,2006,7.308
country/BRB,2007,4.034
country/BRB,2008,8.108
country/BRB,2009,3.645
country/BRB,2010,5.824
country/BRB,2011,9.432
country/BRB,2012,4.533
country/BRB,2013,1.814
country/BRB,2014,1.767
country/BRB,2015,1.112
country/BRB,2016,1.512
country/BRB,2017,4.41
country/BRB,2018,44.359
country/BRB,2019,2.269
country/BRB,2020,0.499
country/BRB,2021,1.534
country/BRB,2022,5.039
country/BRB,2023,5.221
country/BRB,2024,3.149
country/BRB,2025,2.795
country/BRB,2026,2.594
country/BRB,2027,2.427
country/BRB,2028,2.427
country/DMA,1980,23.855
country/DMA,1981,13.267
country/DMA,1982,4.415
country/DMA,1983,4.228
country/DMA,1984,2.13
country/DMA,1985,2.085
country/DMA,1986,3.016
country/DMA,1987,4.816
country/DMA,1988,2.252
country/DMA,1989,7.665
country/DMA,1990,3.194
country/DMA,1991,5.556
country/DMA,1992,5.256
country/DMA,1993,1.568
country/DMA,1994,0.012
country/DMA,1995,1.293
country/DMA,1996,1.701
country/DMA,1997,2.415
country/DMA,1998,0.956
country/DMA,1999,1.236
country/DMA,2000,0.848
country/DMA,2001,1.556
country/DMA,2002,0.17
country/DMA,2003,1.453
country/DMA,2004,2.394
country/DMA,2005,1.682
country/DMA,2006,2.593
country/DMA,2007,3.238
country/DMA,2008,6.36
country/DMA,2009,0.006
country/DMA,2010,2.81
country/DMA,2011,1.063
country/DMA,2012,1.357
country/DMA,2013,0.046
country/DMA,2014,0.807
country/DMA,2015,0.852
country/DMA,2016,0.142
country/DMA,2017,0.296
country/DMA,2018,0.989
country/DMA,2019,1.505
country/DMA,2020,0.727
country/DMA,2021,1.571
country/DMA,2022,6.836
country/DMA,2023,6.204
country/DMA,2024,2.781
country/DMA,2025,2.0
country/DMA,2026,2.0
country/DMA,2027,2.0
country/DMA,2028,2.0
country/GRD,1980,21.821
country/GRD,1981,18.787
country/GRD,1982,7.813
country/GRD,1983,6.095
country/GRD,1984,5.66
country/GRD,1985,2.501
country/GRD,1986,0.557
country/GRD,1987,0.872
country/GRD,1988,4.0
country/GRD,1989,5.593
country/GRD,1990,2.724
country/GRD,1991,2.645
country/GRD,1992,3.778
country/GRD,1993,2.809
country/GRD,1994,6.435
country/GRD,1995,3.027
country/GRD,1996,2.032
country/GRD,1997,1.245
country/GRD,1998,1.405
country/GRD,1999,0.574
country/GRD,2000,2.142
country/GRD,2001,1.671
country/GRD,2002,1.067
country/GRD,2003,2.155
country/GRD,2004,2.313
country/GRD,2005,3.476
country/GRD,2006,4.252
country/GRD,2007,3.859
country/GRD,2008,8.033
country/GRD,2009,0.309
country/GRD,2010,3.437
country/GRD,2011,3.033
country/GRD,2012,2.411
country/GRD,2013,0.044
country/GRD,2014,0.983
country/GRD,2015,0.584
country/GRD,2016,1.716
country/GRD,2017,0.911
country/GRD,2018,0.805
country/GRD,2019,0.599
country/GRD,2020,0.742
country/GRD,2021,1.22
country/GRD,2022,2.582
country/GRD,2023,3.631
country/GRD,2024,2.473
country/GRD,2025,2.022
country/GRD,2026,2.022
country/GRD,2027,2.022
country/GRD,2028,2.022
country/GUY,1980,14.088
country/GUY,1981,22.235
country/GUY,1982,20.607
country/GUY,1983,15.288
country/GUY,1984,25.139
country/GUY,1985,15.031
country/GUY,1986,7.9
country/GUY,1987,28.7
country/GUY,1988,39.9
country/GUY,1989,89.5
country/GUY,1990,64.3
country/GUY,1991,103.1
country/GUY,1992,26.7
country/GUY,1993,8.4
country/GUY,1994,12.4
country/GUY,1995,12.222
country/GUY,1996,7.092
country/GUY,1997,3.556
country/GUY,1998,4.568
country/GUY,1999,7.533
country/GUY,2000,6.112
country/GUY,2001,2.648
country/GUY,2002,5.36
country/GUY,2003,5.979
country/GUY,2004,4.67
country/GUY,2005,6.925
country/GUY,2006,6.677
country/GUY,2007,12.2
country/GUY,2008,8.102
country/GUY,2009,2.952
country/GUY,2010,4.302
country/GUY,2011,4.408
country/GUY,2012,2.391
country/GUY,2013,1.909
country/GUY,2014,0.684
country/GUY,2015,0.865
country/GUY,2016,0.827
country/GUY,2017,1.944
country/GUY,2018,1.272
country/GUY,2019,2.092
country/GUY,2020,1.232
country/GUY,2021,3.321
country/GUY,2022,6.477
country/GUY,2023,5.475
country/GUY,2024,4.687
country/GUY,2025,5.523
country/GUY,2026,5.504
country/GUY,2027,5.485
country/GUY,2028,5.515
country/BLZ,1980,7.051
country/BLZ,1981,11.224
country/BLZ,1982,6.839
country/BLZ,1983,4.996
country/BLZ,1984,3.383
country/BLZ,1985,4.153
country/BLZ,1986,0.794
country/BLZ,1987,2.021
country/BLZ,1988,5.321
country/BLZ,1989,0.0
country/BLZ,1990,2.047
country/BLZ,1991,2.253
country/BLZ,1992,2.397
country/BLZ,1993,1.473
country/BLZ,1994,2.569
country/BLZ,1995,2.89
country/BLZ,1996,6.425
country/BLZ,1997,1.026
country/BLZ,1998,0.847
country/BLZ,1999,1.207
country/BLZ,2000,0.614
country/BLZ,2001,1.149
country/BLZ,2002,2.195
country/BLZ,2003,2.621
country/BLZ,2004,3.067
country/BLZ,2005,3.651
country/BLZ,2006,4.24
country/BLZ,2007,2.318
country/BLZ,2008,6.394
country/BLZ,2009,1.104
country/BLZ,2010,0.918
country/BLZ,2011,1.656
country/BLZ,2012,1.247
country/BLZ,2013,0.51
country/BLZ,2014,1.201
country/BLZ,2015,0.862
country/BLZ,2016,0.661
country/BLZ,2017,1.15
country/BLZ,2018,0.27
country/BLZ,2019,0.186
country/BLZ,2020,0.122
country/BLZ,2021,3.239
country/BLZ,2022,6.274
country/BLZ,2023,3.659
country/BLZ,2024,1.661
country/BLZ,2025,1.207
country/BLZ,2026,1.207
country/BLZ,2027,1.207
country/BLZ,2028,1.207
country/JAM,1980,17.984
country/JAM,1981,9.172
country/JAM,1982,6.83
country/JAM,1983,16.657
country/JAM,1984,31.255
country/JAM,1985,29.7
country/JAM,1986,24.4
country/JAM,1987,11.2
country/JAM,1988,8.2
country/JAM,1989,16.12
country/JAM,1990,24.779
country/JAM,1991,51.021
country/JAM,1992,77.287
country/JAM,1993,21.635
country/JAM,1994,35.543
country/JAM,1995,19.91
country/JAM,1996,26.405
country/JAM,1997,9.658
country/JAM,1998,8.632
country/JAM,1999,5.951
country/JAM,2000,8.07
country/JAM,2001,6.881
country/JAM,2002,6.992
country/JAM,2003,10.131
country/JAM,2004,13.521
country/JAM,2005,15.099
country/JAM,2006,8.52
country/JAM,2007,9.287
country/JAM,2008,22.026
country/JAM,2009,9.576
country/JAM,2010,12.616
country/JAM,2011,7.522
country/JAM,2012,6.892
country/JAM,2013,9.36
country/JAM,2014,8.275
country/JAM,2015,3.681
country/JAM,2016,2.35
country/JAM,2017,4.378
country/JAM,2018,3.74
country/JAM,2019,3.91
country/JAM,2020,5.21
country/JAM,2021,5.882
country/JAM,2022,10.347
country/JAM,2023,6.5
country/JAM,2024,5.0
country/JAM,2025,5.0
country/JAM,2026,5.04
country/JAM,2027,5.02
country/JAM,2028,5.0
country/PRI,1981,9.47
country/PRI,1982,3.244
country/PRI,1983,0.338
country/PRI,1984,1.734
country/PRI,1985,0.212
country/PRI,1986,0.236
country/PRI,1987,2.078
country/PRI,1988,2.577
country/PRI,1989,2.832
country/PRI,1990,4.368
country/PRI,1991,2.238
country/PRI,1992,1.486
country/PRI,1993,0.967
country/PRI,1994,1.438
country/PRI,1995,1.915
country/PRI,1996,3.312
country/PRI,1997,1.886
country/PRI,1998,0.059
country/PRI,1999,0.671
country/PRI,2000,3.077
country/PRI,2001,0.583
country/PRI,2002,0.19
country/PRI,2003,1.388
country/PRI,2004,2.536
country/PRI,2005,5.611
country/PRI,2006,5.184
country/PRI,2007,4.228
country/PRI,2008,5.21
country/PRI,2009,0.278
country/PRI,2010,2.474
country/PRI,2011,2.899
country/PRI,2012,1.346
country/PRI,2013,1.061
country/PRI,2014,0.566
country/PRI,2015,0.751
country/PRI,2016,0.294
country/PRI,2017,1.752
country/PRI,2018,1.272
country/PRI,2019,0.084
country/PRI,2020,0.497
country/PRI,2021,2.41
country/PRI,2022,5.854
country/PRI,2023,2.892
country/PRI,2024,1.505
country/PRI,2025,1.905
country/PRI,2026,2.092
country/PRI,2027,2.516
country/PRI,2028,2.735
country/KNA,1980,19.332
country/KNA,1981,8.559
country/KNA,1982,5.975
country/KNA,1983,2.23
country/KNA,1984,2.727
country/KNA,1985,2.666
country/KNA,1986,0.029
country/KNA,1987,0.937
country/KNA,1988,0.23
country/KNA,1989,5.133
country/KNA,1990,4.2
country/KNA,1991,4.201
country/KNA,1992,2.837
country/KNA,1993,1.791
country/KNA,1994,1.427
country/KNA,1995,3.0
country/KNA,1996,2.048
country/KNA,1997,8.675
country/KNA,1998,3.684
country/KNA,1999,3.351
country/KNA,2000,2.11
country/KNA,2001,2.138
country/KNA,2002,2.078
country/KNA,2003,2.268
country/KNA,2004,2.25
country/KNA,2005,3.374
country/KNA,2006,8.487
country/KNA,2007,4.481
country/KNA,2008,5.3
country/KNA,2009,2.058
country/KNA,2010,0.851
country/KNA,2011,5.835
country/KNA,2012,0.816
country/KNA,2013,1.107
country/KNA,2014,0.248
country/KNA,2015,2.302
country/KNA,2016,0.688
country/KNA,2017,0.696
country/KNA,2018,1.036
country/KNA,2019,0.331
country/KNA,2020,1.177
country/KNA,2021,1.206
country/KNA,2022,2.669
country/KNA,2023,2.907
country/KNA,2024,2.295
country/KNA,2025,2.119
country/KNA,2026,2.044
country/KNA,2027,2.044
country/KNA,2028,2.044
country/LCA,1980,19.367
country/LCA,1981,15.125
country/LCA,1982,4.614
country/LCA,1983,1.473
country/LCA,1984,2.049
country/LCA,1985,0.503
country/LCA,1986,2.174
country/LCA,1987,7.039
country/LCA,1988,0.829
country/LCA,1989,4.395
country/LCA,1990,4.331
country/LCA,1991,5.539
country/LCA,1992,5.661
country/LCA,1993,0.775
country/LCA,1994,2.664
country/LCA,1995,5.863
country/LCA,1996,0.925
country/LCA,1997,0.006
country/LCA,1998,3.202
country/LCA,1999,2.415
country/LCA,2000,4.848
country/LCA,2001,5.273
country/LCA,2002,0.256
country/LCA,2003,1.034
country/LCA,2004,1.46
country/LCA,2005,3.911
country/LCA,2006,3.564
country/LCA,2007,2.823
country/LCA,2008,5.55
country/LCA,2009,0.157
country/LCA,2010,3.25
country/LCA,2011,2.769
country/LCA,2012,4.178
country/LCA,2013,1.469
country/LCA,2014,3.517
country/LCA,2015,0.984
country/LCA,2016,3.078
country/LCA,2017,0.104
country/LCA,2018,2.555
country/LCA,2019,0.539
country/LCA,2020,1.755
country/LCA,2021,2.41
country/LCA,2022,6.373
country/LCA,2023,3.649
country/LCA,2024,1.961
country/LCA,2025,2.028
country/LCA,2026,2.0
country/LCA,2027,2.0
country/LCA,2028,2.0
country/VCT,1980,17.207
country/VCT,1981,17.45
country/VCT,1982,7.228
country/VCT,1983,5.458
country/VCT,1984,2.702
country/VCT,1985,2.079
country/VCT,1986,1.154
country/VCT,1987,2.939
country/VCT,1988,0.298
country/VCT,1989,2.645
country/VCT,1990,7.25
country/VCT,1991,5.922
country/VCT,1992,3.805
country/VCT,1993,4.26
country/VCT,1994,0.395
country/VCT,1995,2.391
country/VCT,1996,4.413
country/VCT,1997,0.499
country/VCT,1998,2.105
country/VCT,1999,1.013
country/VCT,2000,0.193
country/VCT,2001,1.876
country/VCT,2002,0.748
country/VCT,2003,0.125
country/VCT,2004,2.853
country/VCT,2005,3.446
country/VCT,2006,3.017
country/VCT,2007,6.995
country/VCT,2008,10.123
country/VCT,2009,0.373
country/VCT,2010,0.761
country/VCT,2011,3.186
country/VCT,2012,2.598
country/VCT,2013,0.805
country/VCT,2014,0.194
country/VCT,2015,1.726
country/VCT,2016,0.158
country/VCT,2017,2.153
country/VCT,2018,2.324
country/VCT,2019,0.906
country/VCT,2020,0.606
country/VCT,2021,1.557
country/VCT,2022,5.66
country/VCT,2023,4.442
country/VCT,2024,2.4
country/VCT,2025,1.998
country/VCT,2026,1.998
country/VCT,2027,1.998
country/VCT,2028,1.998
country/SUR,1980,14.151
country/SUR,1981,8.678
country/SUR,1982,7.119
country/SUR,1983,4.374
country/SUR,1984,3.688
country/SUR,1985,10.852
country/SUR,1986,18.664
country/SUR,1987,53.418
country/SUR,1988,7.34
country/SUR,1989,0.758
country/SUR,1990,21.766
country/SUR,1991,10.488
country/SUR,1992,21.311
country/SUR,1993,79.263
country/SUR,1994,142.841
country/SUR,1995,24.162
country/SUR,1996,2.84
country/SUR,1997,6.081
country/SUR,1998,11.248
country/SUR,1999,60.526
country/SUR,2000,29.557
country/SUR,2001,34.366
country/SUR,2002,15.516
country/SUR,2003,23.001
country/SUR,2004,9.126
country/SUR,2005,13.981
country/SUR,2006,11.281
country/SUR,2007,6.426
country/SUR,2008,14.667
country/SUR,2009,0.3
country/SUR,2010,6.948
country/SUR,2011,17.684
country/SUR,2012,5.009
country/SUR,2013,1.916
country/SUR,2014,3.384
country/SUR,2015,6.896
country/SUR,2016,55.501
country/SUR,2017,22.024
country/SUR,2018,6.939
country/SUR,2019,4.392
country/SUR,2020,34.89
country/SUR,2021,59.12
country/SUR,2022,52.448
country/SUR,2023,53.272
country/SUR,2024,30.889
country/SUR,2025,17.096
country/SUR,2026,11.878
country/SUR,2027,8.82
country/SUR,2028,5.0
country/TTO,1980,17.47
country/TTO,1981,14.332
country/TTO,1982,11.635
country/TTO,1983,15.175
country/TTO,1984,13.335
country/TTO,1985,7.623
country/TTO,1986,7.694
country/TTO,1987,10.752
country/TTO,1988,7.758
country/TTO,1989,11.432
country/TTO,1990,11.064
country/TTO,1991,3.8
country/TTO,1992,6.486
country/TTO,1993,10.791
country/TTO,1994,8.814
country/TTO,1995,5.272
country/TTO,1996,3.286
country/TTO,1997,3.662
country/TTO,1998,5.603
country/TTO,1999,3.414
country/TTO,2000,3.524
country/TTO,2001,5.602
country/TTO,2002,4.142
country/TTO,2003,3.781
country/TTO,2004,3.757
country/TTO,2005,6.878
country/TTO,2006,8.308
country/TTO,2007,7.875
country/TTO,2008,12.036
country/TTO,2009,7.01
country/TTO,2010,10.537
country/TTO,2011,5.091
country/TTO,2012,9.28
country/TTO,2013,5.189
country/TTO,2014,5.698
country/TTO,2015,4.659
country/TTO,2016,3.069
country/TTO,2017,1.884
country/TTO,2018,1.019
country/TTO,2019,1.001
country/TTO,2020,0.599
country/TTO,2021,2.061
country/TTO,2022,5.826
country/TTO,2023,5.415
country/TTO,2024,2.895
country/TTO,2025,2.216
country/TTO,2026,2.038
country/TTO,2027,1.933
country/TTO,2028,1.867
country/BHR,1980,3.8
country/BHR,1981,11.4
country/BHR,1982,8.7
country/BHR,1983,3.2
country/BHR,1984,0.0
country/BHR,1985,2.4
country/BHR,1986,2.5
country/BHR,1987,1.7
country/BHR,1988,0.2
country/BHR,1989,1.2
country/BHR,1990,1.299
country/BHR,1991,0.899
country/BHR,1992,0.302
country/BHR,1993,2.599
country/BHR,1994,3.999
country/BHR,1995,3.139
country/BHR,1996,0.185
country/BHR,1997,4.602
country/BHR,1998,0.418
country/BHR,1999,1.259
country/BHR,2000,0.73
country/BHR,2001,1.175
country/BHR,2002,0.496
country/BHR,2003,1.679
country/BHR,2004,2.248
country/BHR,2005,2.618
country/BHR,2006,2.041
country/BHR,2007,3.252
country/BHR,2008,3.533
country/BHR,2009,2.785
country/BHR,2010,1.962
country/BHR,2011,0.336
country/BHR,2012,2.756
country/BHR,2013,3.302
country/BHR,2014,2.646
country/BHR,2015,1.849
country/BHR,2016,2.789
country/BHR,2017,1.386
country/BHR,2018,2.091
country/BHR,2019,1.007
country/BHR,2020,2.325
country/BHR,2021,0.611
country/BHR,2022,3.635
country/BHR,2023,1.0
country/BHR,2024,1.4
country/BHR,2025,1.8
country/BHR,2026,2.155
country/BHR,2027,2.155
country/BHR,2028,2.155
country/CYP,1980,13.518
country/CYP,1981,10.745
country/CYP,1982,6.433
country/CYP,1983,5.05
country/CYP,1984,5.992
country/CYP,1985,5.034
country/CYP,1986,1.218
country/CYP,1987,2.679
country/CYP,1988,3.433
country/CYP,1989,3.766
country/CYP,1990,4.503
country/CYP,1991,5.04
country/CYP,1992,6.501
country/CYP,1993,4.889
country/CYP,1994,4.66
country/CYP,1995,2.612
country/CYP,1996,2.582
country/CYP,1997,3.308
country/CYP,1998,2.338
country/CYP,1999,1.136
country/CYP,2000,4.858
country/CYP,2001,1.988
country/CYP,2002,2.781
country/CYP,2003,3.978
country/CYP,2004,1.896
country/CYP,2005,2.026
country/CYP,2006,2.252
country/CYP,2007,2.171
country/CYP,2008,4.384
country/CYP,2009,0.18
country/CYP,2010,2.559
country/CYP,2011,3.482
country/CYP,2012,3.088
country/CYP,2013,0.383
country/CYP,2014,0.27
country/CYP,2015,1.539
country/CYP,2016,1.216
country/CYP,2017,0.68
country/CYP,2018,0.782
country/CYP,2019,0.551
country/CYP,2020,1.098
country/CYP,2021,2.247
country/CYP,2022,8.083
country/CYP,2023,3.528
country/CYP,2024,2.366
country/CYP,2025,2.16
country/CYP,2026,2.1
country/CYP,2027,2.0
country/CYP,2028,2.0
country/IRN,1980,20.627
country/IRN,1981,24.199
country/IRN,1982,18.681
country/IRN,1983,19.742
country/IRN,1984,12.578
country/IRN,1985,4.378
country/IRN,1986,23.722
country/IRN,1987,27.708
country/IRN,1988,28.9
country/IRN,1989,17.401
country/IRN,1990,9.0
country/IRN,1991,20.168
country/IRN,1992,24.476
country/IRN,1993,22.472
country/IRN,1994,34.862
country/IRN,1995,49.32
country/IRN,1996,23.918
country/IRN,1997,16.544
country/IRN,1998,18.454
country/IRN,1999,20.24
country/IRN,2000,12.292
country/IRN,2001,11.538
country/IRN,2002,15.827
country/IRN,2003,15.573
country/IRN,2004,15.324
country/IRN,2005,10.252
country/IRN,2006,12.0
country/IRN,2007,18.414
country/IRN,2008,25.304
country/IRN,2009,10.816
country/IRN,2010,12.299
country/IRN,2011,21.527
country/IRN,2012,30.57
country/IRN,2013,34.7
country/IRN,2014,15.56
country/IRN,2015,11.919
country/IRN,2016,9.05
country/IRN,2017,9.641
country/IRN,2018,30.226
country/IRN,2019,34.685
country/IRN,2020,36.43
country/IRN,2021,40.214
country/IRN,2022,45.752
country/IRN,2023,47.007
country/IRN,2024,32.5
country/IRN,2025,25.0
country/IRN,2026,25.0
country/IRN,2027,25.0
country/IRN,2028,25.0
country/IRQ,2005,36.959
country/IRQ,2006,53.248
country/IRQ,2007,30.821
country/IRQ,2008,2.668
country/IRQ,2009,2.194
country/IRQ,2010,2.445
country/IRQ,2011,5.604
country/IRQ,2012,6.089
country/IRQ,2013,1.879
country/IRQ,2014,2.236
country/IRQ,2015,1.393
country/IRQ,2016,0.525
country/IRQ,2017,0.184
country/IRQ,2018,0.367
country/IRQ,2019,0.199
country/IRQ,2020,0.574
country/IRQ,2021,6.042
country/IRQ,2022,4.995
country/IRQ,2023,5.345
country/IRQ,2024,3.6
country/IRQ,2025,2.9
country/IRQ,2026,2.4
country/IRQ,2027,2.2
country/IRQ,2028,2.0
country/ISR,1980,316.595
country/ISR,1981,116.809
country/ISR,1982,120.365
country/ISR,1983,145.638
country/ISR,1984,373.82
country/ISR,1985,304.584
country/ISR,1986,48.155
country/ISR,1987,19.853
country/ISR,1988,16.231
country/ISR,1989,20.249
country/ISR,1990,17.173
country/ISR,1991,19.006
country/ISR,1992,11.948
country/ISR,1993,10.944
country/ISR,1994,12.342
country/ISR,1995,10.043
country/ISR,1996,11.277
country/ISR,1997,9.001
country/ISR,1998,5.435
country/ISR,1999,5.194
country/ISR,2000,1.125
country/ISR,2001,1.116
country/ISR,2002,5.687
country/ISR,2003,0.67
country/ISR,2004,0.414
country/ISR,2005,1.329
country/ISR,2006,2.107
country/ISR,2007,0.516
country/ISR,2008,4.594
country/ISR,2009,3.317
country/ISR,2010,2.694
country/ISR,2011,3.45
country/ISR,2012,1.708
country/ISR,2013,1.526
country/ISR,2014,0.476
country/ISR,2015,0.632
country/ISR,2016,0.545
country/ISR,2017,0.242
country/ISR,2018,0.807
country/ISR,2019,0.842
country/ISR,2020,0.587
country/ISR,2021,1.492
country/ISR,2022,4.395
country/ISR,2023,4.319
country/ISR,2024,3.023
country/ISR,2025,2.46
country/ISR,2026,2.263
country/ISR,2027,2.183
country/ISR,2028,2.091
country/JOR,1980,10.909
country/JOR,1981,7.65
country/JOR,1982,7.614
country/JOR,1983,4.953
