dcid,year,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDDevelopmentBankofLatinAmerica,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedStates
country/NGA,2019,1998409.0595,,,,,,,,,,,,,,,,11610236.857304715,,,,
country/NGA,2020,92030111.844,,,,,,,,,,,,,,,,,,,,
country/NGA,2021,,,,,,,,,,,,,,,24646552.0,,6931200.0,,,,
country/NIC,2014,,,,,,,,,,,,,,12000000.0,,,,,,,
country/NIC,2016,,,,,,,,,,,,,,3000000.0,,,,,,,
country/NPL,2019,,,93298840.0,,,,,,,,,,,,,,,,,,
country/NPL,2020,,,,,,,,,,,,,,,,64980000.0,,,,,
country/PAK,2014,,2889000.0,,,,,,,,,,,,,,,,,,,
country/PAK,2016,,39499819.794,,,,,,,,,,,,,7800000.0,,,,,,
country/PAK,2017,,50867026.5,,,,,,,,,,,,,191478000.0,,,,,,
country/PAK,2018,,17347556.0,,,,,,,,,,,,,,,,,,,
country/PAK,2019,,8487600.0,2800000.0000000005,,,,,,,,,,,,84815000.0,,,,,,
country/PAK,2020,,5995500.0,,,,,,,,,,,,,34969600.0,,,,,,
country/PAK,2021,,85406235.90896,23340000.0,,,,,,,4000000.0,,,,,74823575.0,,,,,,
country/PAN,2016,,,,,,,,,,,,,,9000000.0,30000000.0,,,,,,
country/PAN,2017,,,,,,,27600000.0,,,,,,,183450000.0,31070000.0,,,,,,
country/PAN,2018,,,,,,,,,,,,,,98473600.0,8272000.0,,,,,,
country/PAN,2019,,,,,,,,,,,,,,1350000.0,,,,,,,
country/PAN,2020,,,,,,,,,,,,,,,5700000.0,,,,,,
country/PAN,2021,,,,,,,52500000.0,,,,,,,25354399.999999996,,,,,,,
country/PER,2013,,,,,,,,,,,,,,6250000.0,14913000.0,,,,,,
country/PER,2014,,,,,,,,,,,,,,2082500.0,,,,,,,
country/PER,2015,,,,,,,,,,,,,,,80800000.0,,,,,,
country/PER,2016,,,,,,,,,,,,,22800000.0,1840000.0,,,,,,,
country/PER,2017,,,,,,,300000000.0,,,,,,,10370000.0,69092000.0,,,,,,
country/PER,2018,,,,,,,167500000.0,,,,,,,,26740000.0,,,,,,
country/PER,2019,,,,,,,90000000.0,,,,,,7992000.0,104038000.0,9150000.0,,,,,,
country/PER,2020,,,,,,,,,,,,,,,21919637.02697,,,,,,
country/PER,2021,,,,,,,225000000.0,,,,,,,1143000.0,57560138.0,,,,,,
country/PHL,2015,,,,,,,,,,,,,76952400.0,,500000000.0,,,,,,
country/PHL,2017,,,207600000.0,,,,,,,,,,,,192178282.4823,,,,,,
country/PHL,2018,,33212000.000000004,,,,,,,,,,,50321600.0,,,,,,,,
country/PHL,2019,,3060000.0,,,,,,,,,,,,,222000000.0,,,,,,
country/PHL,2020,,176894834.0,,,,,,,,,,,,,703469023.9454,,,,,,
country/PHL,2021,,177517420.0,,,,,,,,,,,,,1011376913.3301666,,,,,,
country/PLW,2018,,1500000.0,,,,,,,,,,,,,,,,,,,
country/PLW,2020,,5000000.0,,,,,,,,,,,,,,,,,,,
country/PNG,2014,,5571000.0,,,,,,,,,,,,,,,,,,,
country/PNG,2016,,2499555.0,,,,,,,,,,,,,,,,,,,
country/PNG,2017,,44988800.0,,,,,,,,,,,,,,,,,,,
country/PNG,2021,,57028500.0,,,,,,,,,,,,,109560.0,,,,,,
country/PRY,2015,,,,,,,,,,,,,39843000.0,3720000.0,,,,,,,
country/PRY,2016,,,,,,,,,,,,,,1980000.0,7200000.0,,,,,,
country/PRY,2017,,,,,,,,,,,,,,7248000.0,,,,,,,
country/PRY,2018,,,,,,,,,,,,,,25480000.0,,,,,,,
country/PRY,2019,,,,,,,,,,,,,,65025000.0,,,,,,,
country/PRY,2020,,,,,,,,,,,,,,,26000000.0,,,,,,
country/PRY,2021,,,,,,,8500000.0,,,,,,,,,,,,,,
country/RWA,2018,618052.83776,,,,,,,,,,,,,,,,,,,,
country/RWA,2019,76650529.25999999,,,,,,,,,,,,,,,,,,,,
country/RWA,2021,139906782.2,,,,,,,,,,,,,,,10963800.0,,,,,
country/SDN,2019,,,,,,,,,,,,,4757513.567,,,,,,,,
country/SDN,2020,16891948.188,,,,,,,,,,,,,,,,,,,,
country/SEN,2013,,,,,,,,,,,,,,,,,18990000.0,,,,
country/SEN,2016,5993291.0,,,,,,,,,,,,,,,,,,,,
country/SEN,2018,37902228.374401,,,,,,,,,,,,,,,,,,,,
country/SEN,2019,68008735.4,,,,,,,,,,,,,,,,3129346.9370399998,,,,
country/SEN,2020,35904115.551,,,,,,,,,,,,,,,49402399.571,,,,,
country/SEN,2021,,,,,,,,,,,,,,,,123411035.0,27521632.6,,,,
country/SLE,2019,,,,,,,,,,,,,5039153.198236176,,,,,,,,
country/SLE,2020,,,,,,,,,,,,,,,,,7320000.0,,,,
country/SLE,2021,,,,,,,,,,,,,,,,,1639200.0,,,,
country/SLV,2015,,,,,,,,,,,,,25767000.0,,,,,,,,
country/SLV,2016,,,,,,,,,,,,,11116513.600000001,,,,,,,,
country/SLV,2019,,,,,,,,,,,,,,45000000.0,44300000.0,,,,,,
country/SLV,2020,,,,,,,,,,,,,,,43375000.0,,,,,,
country/SLV,2021,,,,,,,,,,,,,,,977570.0,,,,,,
country/SRB,2014,,,,,,,,,,,,,,,21000000.000000004,,,,,,
country/SRB,2015,,,,,,,,,2054510.1132759745,,,,,,,,,,,,
country/SRB,2016,,,,,,,,,1084314.068643045,,,,,,,,,,,,
country/SRB,2017,,,,,,,,,,,,,,,89213200.0,,,,,,
country/SRB,2018,,,,,,,,,834167.355128054,,,,,,,,,,,,
country/SRB,2019,,,,,,,,,16791671.3310198,,,,,,8460000.0,,,,,,
country/SRB,2020,,,,,,,,,38746438.7464388,,,,,,66640000.0,,,,,,
country/SRB,2021,,,,,,,,,17738883.6329234,,,,,,15466750.0,,,,,,
country/SUR,2017,,,,,,,,,,,,,,18344000.0,,,,,,,
country/SUR,2018,,,,,,,,,,,,,,25100000.0,,,,,,,
country/SUR,2019,,,,,,,,,,,,,,175500.0,18544200.0,,,,,,
country/SUR,2020,,,,,,,,,,,,,,13000000.0,,,,,,,
country/SWZ,2015,,,,,,,,,,,,,13940000.0,,,,,,,,
country/SWZ,2018,,,,,,,,,,,,,7160000.0,,,,,,,,
country/SWZ,2019,25569433.884999998,,,,,,,,,,,,,,28735000.0,,,,,,
country/SWZ,2020,,,,,,,,,,,,,,,1096000.0,,,,,,
country/SWZ,2021,,,,,,,,,,,,,,,120000.0,,,,,,
country/SYC,2014,,,,,,,,,,,,,,,4690000.0,,,,,,
country/SYC,2015,20426000.0,,,,,,,,,,,,,,,,,,,,
country/SYC,2017,,,,,,,,,,,,,,,4278000.0,,,,,,
country/TCD,2013,,,,,,,,,,,,,,,,,21000000.0,,,,
country/TCD,2019,,,,,,,,,,,,,2269770.0,,,,,,,,
country/TJK,2014,,,,,,,,,2183743.31962319,,,,,,,,,,,,
country/TJK,2015,,,,,,,,,1020832.7900842302,,,,,,,,,,,,
country/TJK,2016,,,,,,,,,1779865.5342456019,,,,,,,,,,,,
country/TJK,2017,,,,,,,,,940330.853342352,,,,,,,,,,,,
country/TJK,2020,,,,,,,,,56008826.604719184,,,,,,,,,,,,
country/TJK,2021,,,,,,,,,4174647.779091766,,,,,,,,,,,,
country/TKM,2018,,,,,,,,,1236870.05783076,,,,,,,,,,,,
country/TKM,2020,,,,,,,,,2947764.565470086,,,,,,,,,,,,
country/TKM,2021,,,,,,,,,,,,,,,660000.0,,,,,,
country/TLS,2013,,,,,,,,,,,,,,,750000.0,,,,,,
country/TLS,2015,,2249980.0,,,,,,,,,,,,,,,,,,,
country/TLS,2018,,889200.0,,,,,,,,,,,,,,,,,,,
country/TLS,2021,,2238000.0,,,,,,,,,,,,,,,,,,,
country/TON,2019,,,,,,,,,,,,,360000.0,,,,,,,,
country/TUN,2015,26565017.674730856,,,,,,,,5546311.702717691,,,,,,,,,,,,
country/TUN,2016,252000.0,,,,,,,,,,,,18888393.6,,,,,,,,
country/TUN,2017,,,,,,,,,,,,,,,14240000.0,,,,,,
country/TUN,2018,29805337.04505046,,,,,,,,,,,,,,61138000.0,,,,,,
country/TUN,2019,28185109.64,,,,,,,,16791671.3310198,,,,14165929.0,,,,,,,,
country/TUN,2020,42336985.26,,,,,,,,,,,,,,5775000.0,,,,,,
country/TUN,2021,,,,,,,,,,,,,,,97008038.53999999,,,,,,
country/TUR,2015,,,,,,,,,21765668.330560178,,,,25446000.0,,,,,,,,
country/TUR,2016,,,,,,,,,21868934.928674076,,,,,,,,,,,,
country/TUR,2017,,,,,,,,,8136050.346648625,,,,,,,,,,,,
country/TUR,2018,,,,,,,,,32928124.631181404,,,,6560000.0,,15708263.665380001,,,,,,
country/TUR,2019,,,,,,,,,17296942.053331275,,,,,,245670040.0,,,,,,
country/TUR,2020,,,,,,,,,1082641.97195556,,,,,,122088000.0,,,,,,
country/TUR,2021,,,,,,,,,,,,,,,190010024.0,,,,,,
country/TZA,2015,56960010.0,,,,,,,,,,,,,,,,,,,,
country/TZA,2019,27188355.255000003,,,,,,,,,,,,,,,,,,,,4000000.0
country/TZA,2021,,,,,,,,,,,,70000000.0,,,,,,9922.400000000001,,,
country/UGA,2021,103460091.01500002,,,,,,,,,,,,,,,,,,,,
country/UKR,2017,,,,,,,,,7356498.70364108,,,,,,,,,,,,
country/UKR,2019,,,,,,,,865634.6033999999,,,,,,,21360000.0,,,,,,
country/UKR,2020,,,,,,,,,65767474.7288033,,,,,,26650000.0,,,,,,
country/UKR,2021,,,,,,,,,117212130.4334875,,,,,,13420000.0,,,,,,
country/URY,2014,,,,,,,,,,,,,,19500000.0,,,,,,,
country/URY,2016,,,,,,,,,,,,,,4350000.0,,,,,,,
country/URY,2017,,,,,,,,,,,,,,,12180000.0,,,,,,
country/UZB,2013,,100.00000000000001,,,,,,,,,,,,,,,,,,,
country/UZB,2014,,,,,,,,,,,,,,,34489999.9388,,,,,,
country/UZB,2017,,1009800.0000000001,,,,,,,,,,,,,7497000.0,,,,,,
country/UZB,2018,,,,,,,,,77293756.63873479,,,,,,70670000.0,,,,,,
country/UZB,2019,,,82000000.0,,,,,,212487380.17929333,,,,,,41270000.0,,,,,,
country/UZB,2020,,8935120.0,,,,,,,11820913.99169906,,,,,,74951800.0,73335000.0,50744000.0,,,,
country/UZB,2021,,20123900.0,,,,,,,14870113.501075326,,,,,,16088400.0,27021523.800000004,,,,,
country/VCT,2019,,,,141540000.0,,,,,,,,,,,,,,,,,
country/VEN,2015,,,,,,,,,,,,,1274000.0,,,,,,,,
country/VNM,2013,,4500000.0,,,,,,,,,,,,,,,,,,,
country/VNM,2016,,,,,,,,,,,,,,,291625000.0,,,,,,
country/VNM,2017,,9400000.0,,,,,,,,,,,,,7553200.0,,,,,,
country/VNM,2018,,10682400.0,,,,,,,,,,,,,,,,,,,
country/VNM,2020,,,,,,,,,,,,,,,,89614500.0,,,,,
country/VNM,2021,,8998700.0,,,,,,,,,,,18486130.0,,5001000.0,,,,,,
country/ZAF,2018,,,,,,,,,,,,8250000.0,,,,,,,,,
country/ZAF,2020,99499587.33,,,,,,,,,,,,,,,,,,,,
country/ZMB,2016,11274125.75,,,,,,,,,,,,,,,,,,,,
