Var,Name
who/WSH_5,"Water, sanitation and hygiene attributable number of disability-adjusted life years (DALYs) ('000)"
who/WSH_6,"Water, sanitation and hygiene attributable number of disability-adjusted life years (DALYs) ('000) in children under 5 years"
who/WSH_7,"Water, sanitation and hygiene attributable number of disability-adjusted life years (DALYs) per 100'000 capita"
who/WSH_8,"Water, sanitation and hygiene attributable number of disability-adjusted life years (DALYs) per 100'000 children under 5 years"
who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,SDG 6.3.1 Proportion of safely treated domestic wastewater flows (%)
who/WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%)
who/WSH_SANITATION_BASIC,Population using at least basic sanitation services (%)
who/WSH_SANITATION_OD,Population practising open defecation (%)
who/WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%)
who/WSH_WATER_BASIC,Population using at least basic drinking-water services (%)
who/WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%)
who/Youth_svy_yr,Year of the most recent nationally representative survey reporting prevalence of tobacco use or smoking among adolescents.
who/Yth_curr_cig_smoking,"Prevalence of current cigarette smoking among adolescents (%), from the most recent nationally representative survey reporting prevalence of tobacco use or smoking among adolescents."
who/Yth_curr_e-cig,"Prevalence of current e-cigarette use among adolescents (%), from the most recent nationally representative survey reporting prevalence of tobacco use or smoking among adolescents."
who/Yth_curr_smokeless,"Prevalence of current smokeless tobacco use among adolescents (%), from the most recent nationally representative survey reporting prevalence of smokeless tobacco use or e-cigarette use among adolescents"
who/Yth_curr_tob_smoking,"Prevalence of current tobacco smoking among adolescents (%), from the most recent nationally representative survey reporting prevalence of tobacco use or smoking among adolescents"
who/Yth_curr_tob_use,"Prevalence of current tobacco use among adolescents (%), from the most recent nationally representative survey reporting prevalence of tobacco use or smoking among adolescents"
who/Yth_nonsmoked_svy_yr,The year of the most recent nationally representative survey reporting prevalence of smokeless tobacco use or e-cigarette use among adolescentsis
