GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,DISPLAY,POPULATION_TYPE,VARIABLE,SERIES,SERIES_Name
EMP_NIFL_RT.171,Informal employment rate (15 to 24 years old) by Information and communication (ISIC4_J),Publishing activities (ISIC4_J58),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_J58,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.171,Informal employment rate (15 to 24 years old) by Information and communication (ISIC4_J),"Motion picture, video and television programme production, sound recording and music publishing activities (ISIC4_J59)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_J59,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.171,Informal employment rate (15 to 24 years old) by Information and communication (ISIC4_J),Programming and broadcasting activities (ISIC4_J60),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_J60,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.171,Informal employment rate (15 to 24 years old) by Information and communication (ISIC4_J),Telecommunications (ISIC4_J61),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_J61,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.171,Informal employment rate (15 to 24 years old) by Information and communication (ISIC4_J),"Computer programming, consultancy and related activities (ISIC4_J62)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_J62,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.171,Informal employment rate (15 to 24 years old) by Information and communication (ISIC4_J),Information service activities (ISIC4_J63),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_J63,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.172,Informal employment rate (15 years old and over) by Information and communication (ISIC4_J),Publishing activities (ISIC4_J58),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_J58,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.172,Informal employment rate (15 years old and over) by Information and communication (ISIC4_J),"Motion picture, video and television programme production, sound recording and music publishing activities (ISIC4_J59)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_J59,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.172,Informal employment rate (15 years old and over) by Information and communication (ISIC4_J),Programming and broadcasting activities (ISIC4_J60),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_J60,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.172,Informal employment rate (15 years old and over) by Information and communication (ISIC4_J),Telecommunications (ISIC4_J61),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_J61,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.172,Informal employment rate (15 years old and over) by Information and communication (ISIC4_J),"Computer programming, consultancy and related activities (ISIC4_J62)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_J62,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.172,Informal employment rate (15 years old and over) by Information and communication (ISIC4_J),Information service activities (ISIC4_J63),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_J63,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.173,Informal employment rate (25 years old and over) by Information and communication (ISIC4_J),Publishing activities (ISIC4_J58),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_J58,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.173,Informal employment rate (25 years old and over) by Information and communication (ISIC4_J),"Motion picture, video and television programme production, sound recording and music publishing activities (ISIC4_J59)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_J59,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.173,Informal employment rate (25 years old and over) by Information and communication (ISIC4_J),Programming and broadcasting activities (ISIC4_J60),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_J60,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.173,Informal employment rate (25 years old and over) by Information and communication (ISIC4_J),Telecommunications (ISIC4_J61),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_J61,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.173,Informal employment rate (25 years old and over) by Information and communication (ISIC4_J),"Computer programming, consultancy and related activities (ISIC4_J62)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_J62,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.173,Informal employment rate (25 years old and over) by Information and communication (ISIC4_J),Information service activities (ISIC4_J63),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_J63,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.174,Informal employment rate (15 to 24 years old) by Financial and insurance activities (ISIC4_K),"Financial service activities, except insurance and pension funding (ISIC4_K64)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_K64,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.174,Informal employment rate (15 to 24 years old) by Financial and insurance activities (ISIC4_K),"Insurance, reinsurance and pension funding, except compulsory social security (ISIC4_K65)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_K65,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.174,Informal employment rate (15 to 24 years old) by Financial and insurance activities (ISIC4_K),Activities auxiliary to financial service and insurance activities (ISIC4_K66),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_K66,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.175,Informal employment rate (15 years old and over) by Financial and insurance activities (ISIC4_K),"Financial service activities, except insurance and pension funding (ISIC4_K64)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_K64,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.175,Informal employment rate (15 years old and over) by Financial and insurance activities (ISIC4_K),"Insurance, reinsurance and pension funding, except compulsory social security (ISIC4_K65)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_K65,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.175,Informal employment rate (15 years old and over) by Financial and insurance activities (ISIC4_K),Activities auxiliary to financial service and insurance activities (ISIC4_K66),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_K66,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.176,Informal employment rate (25 years old and over) by Financial and insurance activities (ISIC4_K),"Financial service activities, except insurance and pension funding (ISIC4_K64)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_K64,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.176,Informal employment rate (25 years old and over) by Financial and insurance activities (ISIC4_K),"Insurance, reinsurance and pension funding, except compulsory social security (ISIC4_K65)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_K65,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.176,Informal employment rate (25 years old and over) by Financial and insurance activities (ISIC4_K),Activities auxiliary to financial service and insurance activities (ISIC4_K66),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_K66,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.177,Informal employment rate (15 to 24 years old) by Real estate activities (ISIC4_L68),Real estate activities (ISIC4_L68),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_L68,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.178,Informal employment rate (15 years old and over) by Real estate activities (ISIC4_L68),Real estate activities (ISIC4_L68),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_L68,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.179,Informal employment rate (25 years old and over) by Real estate activities (ISIC4_L68),Real estate activities (ISIC4_L68),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_L68,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)",Legal and accounting activities (ISIC4_M69),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M69,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)",Activities of head offices; management consultancy activities (ISIC4_M70),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M70,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)",Architectural and engineering activities; technical testing and analysis (ISIC4_M71),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M71,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)",Scientific research and development (ISIC4_M72),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M72,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)",Advertising and market research (ISIC4_M73),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M73,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)","Other professional, scientific and technical activities (ISIC4_M74)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M74,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.180,"Informal employment rate (15 to 24 years old) by Professional, scientific and technical activities (ISIC4_M)",Veterinary activities (ISIC4_M75),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_M75,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Legal and accounting activities (ISIC4_M69),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M69,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Activities of head offices; management consultancy activities (ISIC4_M70),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M70,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Architectural and engineering activities; technical testing and analysis (ISIC4_M71),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M71,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Scientific research and development (ISIC4_M72),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M72,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Advertising and market research (ISIC4_M73),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M73,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)","Other professional, scientific and technical activities (ISIC4_M74)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M74,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.181,"Informal employment rate (15 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Veterinary activities (ISIC4_M75),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_M75,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Legal and accounting activities (ISIC4_M69),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M69,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Activities of head offices; management consultancy activities (ISIC4_M70),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M70,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Architectural and engineering activities; technical testing and analysis (ISIC4_M71),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M71,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Scientific research and development (ISIC4_M72),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M72,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Advertising and market research (ISIC4_M73),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M73,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)","Other professional, scientific and technical activities (ISIC4_M74)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M74,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.182,"Informal employment rate (25 years old and over) by Professional, scientific and technical activities (ISIC4_M)",Veterinary activities (ISIC4_M75),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_M75,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.183,Informal employment rate (15 to 24 years old) by Administrative and support service activities (ISIC4_N),Rental and leasing activities (ISIC4_N77),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_N77,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.183,Informal employment rate (15 to 24 years old) by Administrative and support service activities (ISIC4_N),Employment activities (ISIC4_N78),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_N78,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.183,Informal employment rate (15 to 24 years old) by Administrative and support service activities (ISIC4_N),"Travel agency, tour operator, reservation service and related activities (ISIC4_N79)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_N79,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.183,Informal employment rate (15 to 24 years old) by Administrative and support service activities (ISIC4_N),Security and investigation activities (ISIC4_N80),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_N80,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.183,Informal employment rate (15 to 24 years old) by Administrative and support service activities (ISIC4_N),Services to buildings and landscape activities (ISIC4_N81),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_N81,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.183,Informal employment rate (15 to 24 years old) by Administrative and support service activities (ISIC4_N),"Office administrative, office support and other business support activities (ISIC4_N82)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_N82,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.184,Informal employment rate (15 years old and over) by Administrative and support service activities (ISIC4_N),Rental and leasing activities (ISIC4_N77),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_N77,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.184,Informal employment rate (15 years old and over) by Administrative and support service activities (ISIC4_N),Employment activities (ISIC4_N78),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_N78,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.184,Informal employment rate (15 years old and over) by Administrative and support service activities (ISIC4_N),"Travel agency, tour operator, reservation service and related activities (ISIC4_N79)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_N79,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.184,Informal employment rate (15 years old and over) by Administrative and support service activities (ISIC4_N),Security and investigation activities (ISIC4_N80),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_N80,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.184,Informal employment rate (15 years old and over) by Administrative and support service activities (ISIC4_N),Services to buildings and landscape activities (ISIC4_N81),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_N81,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.184,Informal employment rate (15 years old and over) by Administrative and support service activities (ISIC4_N),"Office administrative, office support and other business support activities (ISIC4_N82)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_N82,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.185,Informal employment rate (25 years old and over) by Administrative and support service activities (ISIC4_N),Rental and leasing activities (ISIC4_N77),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_N77,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.185,Informal employment rate (25 years old and over) by Administrative and support service activities (ISIC4_N),Employment activities (ISIC4_N78),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_N78,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.185,Informal employment rate (25 years old and over) by Administrative and support service activities (ISIC4_N),"Travel agency, tour operator, reservation service and related activities (ISIC4_N79)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_N79,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.185,Informal employment rate (25 years old and over) by Administrative and support service activities (ISIC4_N),Security and investigation activities (ISIC4_N80),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_N80,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.185,Informal employment rate (25 years old and over) by Administrative and support service activities (ISIC4_N),Services to buildings and landscape activities (ISIC4_N81),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_N81,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.185,Informal employment rate (25 years old and over) by Administrative and support service activities (ISIC4_N),"Office administrative, office support and other business support activities (ISIC4_N82)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_N82,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.186,Informal employment rate (15 to 24 years old) by Public administration and defence; compulsory social security (ISIC4_O84),Public administration and defence; compulsory social security (ISIC4_O84),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_O84,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.187,Informal employment rate (15 years old and over) by Public administration and defence; compulsory social security (ISIC4_O84),Public administration and defence; compulsory social security (ISIC4_O84),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_O84,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.188,Informal employment rate (25 years old and over) by Public administration and defence; compulsory social security (ISIC4_O84),Public administration and defence; compulsory social security (ISIC4_O84),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_O84,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.189,Informal employment rate (15 to 24 years old) by Education (ISIC4_P85),Education (ISIC4_P85),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_P85,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.190,Informal employment rate (15 years old and over) by Education (ISIC4_P85),Education (ISIC4_P85),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_P85,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.191,Informal employment rate (25 years old and over) by Education (ISIC4_P85),Education (ISIC4_P85),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_P85,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.192,Informal employment rate (15 to 24 years old) by Human health and social work activities (ISIC4_Q),Human health activities (ISIC4_Q86),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_Q86,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.192,Informal employment rate (15 to 24 years old) by Human health and social work activities (ISIC4_Q),Residential care activities (ISIC4_Q87),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_Q87,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.192,Informal employment rate (15 to 24 years old) by Human health and social work activities (ISIC4_Q),Social work activities without accommodation (ISIC4_Q88),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_Q88,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.193,Informal employment rate (15 years old and over) by Human health and social work activities (ISIC4_Q),Human health activities (ISIC4_Q86),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_Q86,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.193,Informal employment rate (15 years old and over) by Human health and social work activities (ISIC4_Q),Residential care activities (ISIC4_Q87),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_Q87,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.193,Informal employment rate (15 years old and over) by Human health and social work activities (ISIC4_Q),Social work activities without accommodation (ISIC4_Q88),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__ECONOMIC_ACTIVITY--ISIC4_Q88,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.194,Informal employment rate (25 years old and over) by Human health and social work activities (ISIC4_Q),Human health activities (ISIC4_Q86),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_Q86,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.194,Informal employment rate (25 years old and over) by Human health and social work activities (ISIC4_Q),Residential care activities (ISIC4_Q87),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_Q87,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.194,Informal employment rate (25 years old and over) by Human health and social work activities (ISIC4_Q),Social work activities without accommodation (ISIC4_Q88),,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25__ECONOMIC_ACTIVITY--ISIC4_Q88,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.195,"Informal employment rate (15 to 24 years old) by Arts, entertainment and recreation (ISIC4_R)","Creative, arts and entertainment activities (ISIC4_R90)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_R90,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.195,"Informal employment rate (15 to 24 years old) by Arts, entertainment and recreation (ISIC4_R)","Libraries, archives, museums and other cultural activities (ISIC4_R91)",,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__ECONOMIC_ACTIVITY--ISIC4_R91,EMP_NIFL_RT,Informal employment rate 
