,GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,SERIES_CODE,SERIES_DESCRIPTION,VARIABLE_CODE,VARIABLE_DESCRIPTION,Node
,IU_DMK_ICRS.1,"Proportion of population who believe decision-making is inclusive and responsive, by age group (%)",Age = 25 to 34 years old,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@AGE--Y25T34,Proportion of population who believe decision-making is inclusive and responsive [25 to 34 years old],dcid:sdg/IU_DMK_ICRS.AGE--Y25T34
,IU_DMK_ICRS.1,"Proportion of population who believe decision-making is inclusive and responsive, by age group (%)",Age = 35 to 44 years old,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@AGE--Y35T44,Proportion of population who believe decision-making is inclusive and responsive [35 to 44 years old],dcid:sdg/IU_DMK_ICRS.AGE--Y35T44
,IU_DMK_ICRS.1,"Proportion of population who believe decision-making is inclusive and responsive, by age group (%)",Age = 45 to 54 years old,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@AGE--Y45T54,Proportion of population who believe decision-making is inclusive and responsive [45 to 54 years old],dcid:sdg/IU_DMK_ICRS.AGE--Y45T54
,IU_DMK_ICRS.1,"Proportion of population who believe decision-making is inclusive and responsive, by age group (%)",Age = 55 to 64 years old,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@AGE--Y55T64,Proportion of population who believe decision-making is inclusive and responsive [55 to 64 years old],dcid:sdg/IU_DMK_ICRS.AGE--Y55T64
,IU_DMK_ICRS.1,"Proportion of population who believe decision-making is inclusive and responsive, by age group (%)",Age = 65 years old and over,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@AGE--Y_GE65,Proportion of population who believe decision-making is inclusive and responsive [65 years old and over],dcid:sdg/IU_DMK_ICRS.AGE--Y_GE65
,IU_DMK_ICRS.2,"Proportion of population who believe decision-making is inclusive and responsive, by disability status (%)",Disability status = Persons with disability,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@DISABILITY_STATUS--PD,Proportion of population who believe decision-making is inclusive and responsive [Disability status = Persons with disability],dcid:sdg/IU_DMK_ICRS.DISABILITY_STATUS--PD
,IU_DMK_ICRS.2,"Proportion of population who believe decision-making is inclusive and responsive, by disability status (%)",Disability status = Persons without disability,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@DISABILITY_STATUS--PWD,Proportion of population who believe decision-making is inclusive and responsive [Disability status = Persons without disability],dcid:sdg/IU_DMK_ICRS.DISABILITY_STATUS--PWD
,IU_DMK_ICRS.3,"Proportion of population who believe decision-making is inclusive and responsive, by education level (%)",Education level = Secondary,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@EDUCATION_LEV--AGG_2_3,Proportion of population who believe decision-making is inclusive and responsive [Secondary education],dcid:sdg/IU_DMK_ICRS.EDUCATION_LEV--AGG_2_3
,IU_DMK_ICRS.3,"Proportion of population who believe decision-making is inclusive and responsive, by education level (%)",Education level = Tertiary education,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@EDUCATION_LEV--AGG_5T8,Proportion of population who believe decision-making is inclusive and responsive [Tertiary education],dcid:sdg/IU_DMK_ICRS.EDUCATION_LEV--AGG_5T8
,IU_DMK_ICRS.3,"Proportion of population who believe decision-making is inclusive and responsive, by education level (%)",Education level = Primary,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@EDUCATION_LEV--ISCED11_1,Proportion of population who believe decision-making is inclusive and responsive [Primary education],dcid:sdg/IU_DMK_ICRS.EDUCATION_LEV--ISCED11_1
,IU_DMK_ICRS.4,"Proportion of population who believe decision-making is inclusive and responsive, by sex (%)",Sex = Female,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@SEX--F,Proportion of population who believe decision-making is inclusive and responsive [Female],dcid:sdg/IU_DMK_ICRS.SEX--F
,IU_DMK_ICRS.4,"Proportion of population who believe decision-making is inclusive and responsive, by sex (%)",Sex = Male,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@SEX--M,Proportion of population who believe decision-making is inclusive and responsive [Male],dcid:sdg/IU_DMK_ICRS.SEX--M
,IU_DMK_ICRS.5,"Proportion of population who believe decision-making is inclusive and responsive, by location (%)",Location = Rural,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@URBANISATION--R,Proportion of population who believe decision-making is inclusive and responsive [Rural],dcid:sdg/IU_DMK_ICRS.URBANISATION--R
,IU_DMK_ICRS.5,"Proportion of population who believe decision-making is inclusive and responsive, by location (%)",Location = Urban,1,IU_DMK_ICRS,Proportion of population who believe decision-making is inclusive and responsive (%),IU_DMK_ICRS@URBANISATION--U,Proportion of population who believe decision-making is inclusive and responsive [Urban],dcid:sdg/IU_DMK_ICRS.URBANISATION--U
,IU_DMK_INCL.0,Proportion of population who believe decision-making is inclusive (%),Total,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL,Proportion of population who believe decision-making is inclusive,dcid:sdg/IU_DMK_INCL
,IU_DMK_INCL.1,"Proportion of population who believe decision-making is inclusive, by age group (%)",Age = under 25 years old,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@AGE--Y0T24,Proportion of population who believe decision-making is inclusive [under 25 years old],dcid:sdg/IU_DMK_INCL.AGE--Y0T24
,IU_DMK_INCL.1,"Proportion of population who believe decision-making is inclusive, by age group (%)",Age = 25 to 34 years old,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@AGE--Y25T34,Proportion of population who believe decision-making is inclusive [25 to 34 years old],dcid:sdg/IU_DMK_INCL.AGE--Y25T34
,IU_DMK_INCL.1,"Proportion of population who believe decision-making is inclusive, by age group (%)",Age = 35 to 44 years old,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@AGE--Y35T44,Proportion of population who believe decision-making is inclusive [35 to 44 years old],dcid:sdg/IU_DMK_INCL.AGE--Y35T44
,IU_DMK_INCL.1,"Proportion of population who believe decision-making is inclusive, by age group (%)",Age = 45 to 54 years old,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@AGE--Y45T54,Proportion of population who believe decision-making is inclusive [45 to 54 years old],dcid:sdg/IU_DMK_INCL.AGE--Y45T54
,IU_DMK_INCL.1,"Proportion of population who believe decision-making is inclusive, by age group (%)",Age = 55 to 64 years old,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@AGE--Y55T64,Proportion of population who believe decision-making is inclusive [55 to 64 years old],dcid:sdg/IU_DMK_INCL.AGE--Y55T64
,IU_DMK_INCL.1,"Proportion of population who believe decision-making is inclusive, by age group (%)",Age = 65 years old and over,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@AGE--Y_GE65,Proportion of population who believe decision-making is inclusive [65 years old and over],dcid:sdg/IU_DMK_INCL.AGE--Y_GE65
,IU_DMK_INCL.2,"Proportion of population who believe decision-making is inclusive, by disability status (%)",Disability status = Persons with disability,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@DISABILITY_STATUS--PD,Proportion of population who believe decision-making is inclusive [Disability status = Persons with disability],dcid:sdg/IU_DMK_INCL.DISABILITY_STATUS--PD
,IU_DMK_INCL.2,"Proportion of population who believe decision-making is inclusive, by disability status (%)",Disability status = Persons without disability,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@DISABILITY_STATUS--PWD,Proportion of population who believe decision-making is inclusive [Disability status = Persons without disability],dcid:sdg/IU_DMK_INCL.DISABILITY_STATUS--PWD
,IU_DMK_INCL.3,"Proportion of population who believe decision-making is inclusive, by education level (%)",Education level = Secondary,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@EDUCATION_LEV--AGG_2_3,Proportion of population who believe decision-making is inclusive [Secondary education],dcid:sdg/IU_DMK_INCL.EDUCATION_LEV--AGG_2_3
,IU_DMK_INCL.3,"Proportion of population who believe decision-making is inclusive, by education level (%)",Education level = Tertiary education,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@EDUCATION_LEV--AGG_5T8,Proportion of population who believe decision-making is inclusive [Tertiary education],dcid:sdg/IU_DMK_INCL.EDUCATION_LEV--AGG_5T8
,IU_DMK_INCL.3,"Proportion of population who believe decision-making is inclusive, by education level (%)",Education level = Primary,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@EDUCATION_LEV--ISCED11_1,Proportion of population who believe decision-making is inclusive [Primary education],dcid:sdg/IU_DMK_INCL.EDUCATION_LEV--ISCED11_1
,IU_DMK_INCL.4,"Proportion of population who believe decision-making is inclusive, by sex (%)",Sex = Female,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@SEX--F,Proportion of population who believe decision-making is inclusive [Female],dcid:sdg/IU_DMK_INCL.SEX--F
,IU_DMK_INCL.4,"Proportion of population who believe decision-making is inclusive, by sex (%)",Sex = Male,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@SEX--M,Proportion of population who believe decision-making is inclusive [Male],dcid:sdg/IU_DMK_INCL.SEX--M
,IU_DMK_INCL.5,"Proportion of population who believe decision-making is inclusive, by location (%)",Location = Rural,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@URBANISATION--R,Proportion of population who believe decision-making is inclusive [Rural],dcid:sdg/IU_DMK_INCL.URBANISATION--R
,IU_DMK_INCL.5,"Proportion of population who believe decision-making is inclusive, by location (%)",Location = Urban,1,IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),IU_DMK_INCL@URBANISATION--U,Proportion of population who believe decision-making is inclusive [Urban],dcid:sdg/IU_DMK_INCL.URBANISATION--U
,IU_DMK_RESP.0,Proportion of population who believe decision-making is responsive (%),Total,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP,Proportion of population who believe decision-making is responsive,dcid:sdg/IU_DMK_RESP
,IU_DMK_RESP.1,"Proportion of population who believe decision-making is responsive, by age group (%)",Age = under 25 years old,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@AGE--Y0T24,Proportion of population who believe decision-making is responsive [under 25 years old],dcid:sdg/IU_DMK_RESP.AGE--Y0T24
,IU_DMK_RESP.1,"Proportion of population who believe decision-making is responsive, by age group (%)",Age = 25 to 34 years old,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@AGE--Y25T34,Proportion of population who believe decision-making is responsive [25 to 34 years old],dcid:sdg/IU_DMK_RESP.AGE--Y25T34
,IU_DMK_RESP.1,"Proportion of population who believe decision-making is responsive, by age group (%)",Age = 35 to 44 years old,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@AGE--Y35T44,Proportion of population who believe decision-making is responsive [35 to 44 years old],dcid:sdg/IU_DMK_RESP.AGE--Y35T44
,IU_DMK_RESP.1,"Proportion of population who believe decision-making is responsive, by age group (%)",Age = 45 to 54 years old,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@AGE--Y45T54,Proportion of population who believe decision-making is responsive [45 to 54 years old],dcid:sdg/IU_DMK_RESP.AGE--Y45T54
,IU_DMK_RESP.1,"Proportion of population who believe decision-making is responsive, by age group (%)",Age = 55 to 64 years old,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@AGE--Y55T64,Proportion of population who believe decision-making is responsive [55 to 64 years old],dcid:sdg/IU_DMK_RESP.AGE--Y55T64
,IU_DMK_RESP.1,"Proportion of population who believe decision-making is responsive, by age group (%)",Age = 65 years old and over,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@AGE--Y_GE65,Proportion of population who believe decision-making is responsive [65 years old and over],dcid:sdg/IU_DMK_RESP.AGE--Y_GE65
,IU_DMK_RESP.2,"Proportion of population who believe decision-making is responsive, by disability status (%)",Disability status = Persons with disability,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@DISABILITY_STATUS--PD,Proportion of population who believe decision-making is responsive [Disability status = Persons with disability],dcid:sdg/IU_DMK_RESP.DISABILITY_STATUS--PD
,IU_DMK_RESP.2,"Proportion of population who believe decision-making is responsive, by disability status (%)",Disability status = Persons without disability,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@DISABILITY_STATUS--PWD,Proportion of population who believe decision-making is responsive [Disability status = Persons without disability],dcid:sdg/IU_DMK_RESP.DISABILITY_STATUS--PWD
,IU_DMK_RESP.3,"Proportion of population who believe decision-making is responsive, by education level (%)",Education level = Secondary,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@EDUCATION_LEV--AGG_2_3,Proportion of population who believe decision-making is responsive [Secondary education],dcid:sdg/IU_DMK_RESP.EDUCATION_LEV--AGG_2_3
,IU_DMK_RESP.3,"Proportion of population who believe decision-making is responsive, by education level (%)",Education level = Tertiary education,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@EDUCATION_LEV--AGG_5T8,Proportion of population who believe decision-making is responsive [Tertiary education],dcid:sdg/IU_DMK_RESP.EDUCATION_LEV--AGG_5T8
,IU_DMK_RESP.3,"Proportion of population who believe decision-making is responsive, by education level (%)",Education level = Primary,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@EDUCATION_LEV--ISCED11_1,Proportion of population who believe decision-making is responsive [Primary education],dcid:sdg/IU_DMK_RESP.EDUCATION_LEV--ISCED11_1
,IU_DMK_RESP.4,"Proportion of population who believe decision-making is responsive, by education level (%)",Education level = Upper secondary education,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@EDUCATION_LEV--ISCED11_3,Proportion of population who believe decision-making is responsive [Upper secondary education],dcid:sdg/IU_DMK_RESP.EDUCATION_LEV--ISCED11_3
,IU_DMK_RESP.4,"Proportion of population who believe decision-making is responsive, by sex (%)",Sex = Female,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@SEX--F,Proportion of population who believe decision-making is responsive [Female],dcid:sdg/IU_DMK_RESP.SEX--F
,IU_DMK_RESP.4,"Proportion of population who believe decision-making is responsive, by sex (%)",Sex = Male,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@SEX--M,Proportion of population who believe decision-making is responsive [Male],dcid:sdg/IU_DMK_RESP.SEX--M
,IU_DMK_RESP.5,Proportion of rural population who believe decision-making is responsive,Total,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@URBANISATION--R,Proportion of population who believe decision-making is responsive [Rural],dcid:sdg/IU_DMK_RESP.URBANISATION--R
,IU_DMK_RESP.5,Proportion of rural population who believe decision-making is responsive,Education level = Primary education,1,IU_DMK_RESP,Proportion of population who believe decision-making is responsive (%),IU_DMK_RESP@URBANISATION--R__EDUCATION_LEV--ISCED11_1,"Proportion of population who believe decision-making is responsive [Rural, Primary education]",dcid:sdg/IU_DMK_RESP.URBANISATION--R__EDUCATION_LEV--ISCED11_1
,IU_DMK_RESP.5,"Proportion of population who believe decision-making is responsive, by location (%)",Location = Urban,1,IU_DMK_RESP,Proportion of rural population who believe decision-making is responsive (%),IU_DMK_RESP@URBANISATION--U,Proportion of population who believe decision-making is responsive [Urban],dcid:sdg/IU_DMK_RESP.URBANISATION--U
,NE_CON_GOVT_KD_ZG.,Annual growth of the general government final consumption expenditure (%),Total,1,NE_CON_GOVT_KD_ZG,Annual growth of the general government final consumption expenditure (%),NE_CON_GOVT_KD_ZG,Annual growth of the general government final consumption expenditure,dcid:sdg/NE_CON_GOVT_KD_ZG
,NE_CON_PRVT_KD_ZG.,Annual growth of households and NPISHs final consumption expenditure (%),Total,1,NE_CON_PRVT_KD_ZG,Annual growth of households and NPISHs final consumption expenditure (%),NE_CON_PRVT_KD_ZG,Annual growth of households and NPISHs final consumption expenditure,dcid:sdg/NE_CON_PRVT_KD_ZG
,NE_EXP_GNFS_KD_ZG.,Annual growth of exports of goods and services (%),Total,1,NE_EXP_GNFS_KD_ZG,Annual growth of exports of goods and services (%),NE_EXP_GNFS_KD_ZG,Annual growth of exports of goods and services,dcid:sdg/NE_EXP_GNFS_KD_ZG
,NE_GDI_TOTL_KD_ZG.,Annual growth of the gross capital formation (%),Total,1,NE_GDI_TOTL_KD_ZG,Annual growth of the gross capital formation (%),NE_GDI_TOTL_KD_ZG,Annual growth of the gross capital formation,dcid:sdg/NE_GDI_TOTL_KD_ZG
,NE_IMP_GNFS_KD_ZG.,Annual growth of imports of goods and services (%),Total,1,NE_IMP_GNFS_KD_ZG,Annual growth of imports of goods and services (%),NE_IMP_GNFS_KD_ZG,Annual growth of imports of goods and services,dcid:sdg/NE_IMP_GNFS_KD_ZG
,NV_IND_MANF.,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Activity = Manufacturing,1,NV_IND_MANF,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),NV_IND_MANF@ACTIVITY--ISIC4_C,Manufacturing value added as a proportion of GDP [Manufacturing],dcid:sdg/NV_IND_MANF.ACTIVITY--ISIC4_C
,NV_IND_MANF_CD.,Manufacturing value added (current United States dollars) as a proportion of GDP (%),Activity = Manufacturing,1,NV_IND_MANF_CD,Manufacturing value added (current United States dollars) as a proportion of GDP (%),NV_IND_MANF_CD@ACTIVITY--ISIC4_C,Manufacturing value added as a proportion of GDP [Manufacturing],dcid:sdg/NV_IND_MANF_CD.ACTIVITY--ISIC4_C
,NV_IND_MANFPC.,Manufacturing value added per capita (constant 2015 United States dollars),Activity = Manufacturing,1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),NV_IND_MANFPC@ACTIVITY--ISIC4_C,Manufacturing value added per capita [Manufacturing],dcid:sdg/NV_IND_MANFPC.ACTIVITY--ISIC4_C
,NV_IND_SSIS.1,"Proportion of small-scale manufacturing industries in total manufacturing value added, according to ISIC Rev. 3 (%)",Activity = Manufacturing (ISIC3 D),1,NV_IND_SSIS,Proportion of small-scale manufacturing industries in total manufacturing value added (%),NV_IND_SSIS@ACTIVITY--ISIC3_D,Proportion of small-scale manufacturing industries in total manufacturing value added [Manufacturing],dcid:sdg/NV_IND_SSIS.ACTIVITY--ISIC3_D
,NV_IND_SSIS.2,"Proportion of small-scale manufacturing industries in total manufacturing value added, according to ISIC Rev. 4 (%)",Activity = Manufacturing (ISIC4 C),1,NV_IND_SSIS,Proportion of small-scale manufacturing industries in total manufacturing value added (%),NV_IND_SSIS@ACTIVITY--ISIC4_C,Proportion of small-scale manufacturing industries in total manufacturing value added [Manufacturing],dcid:sdg/NV_IND_SSIS.ACTIVITY--ISIC4_C
,NV_IND_TECH.1,"Proportion of medium and high-tech manufacturing value added in total value added, according to ISIC Rev. 3 (%)",Activity = Manufacturing (ISIC3 D),1,NV_IND_TECH,Proportion of medium and high-tech manufacturing value added in total value added (%),NV_IND_TECH@ACTIVITY--ISIC3_D,Proportion of medium and high-tech manufacturing value added in total value added [Manufacturing],dcid:sdg/NV_IND_TECH.ACTIVITY--ISIC3_D
,NV_IND_TECH.2,"Proportion of medium and high-tech manufacturing value added in total value added, according to ISIC Rev. 4 (%)",Activity = Manufacturing (ISIC4 C),1,NV_IND_TECH,Proportion of medium and high-tech manufacturing value added in total value added (%),NV_IND_TECH@ACTIVITY--ISIC4_C,Proportion of medium and high-tech manufacturing value added in total value added [Manufacturing],dcid:sdg/NV_IND_TECH.ACTIVITY--ISIC4_C
,NY_GDP_MKTP_KD_ZG.,Annual GDP growth (%),Total,1,NY_GDP_MKTP_KD_ZG,Annual GDP growth (%),NY_GDP_MKTP_KD_ZG,Annual GDP growth,dcid:sdg/NY_GDP_MKTP_KD_ZG
,NY_GDP_PCAP.,Annual growth rate of real GDP per capita (%),Total,1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),NY_GDP_PCAP,Annual growth rate of real GDP per capita,dcid:sdg/NY_GDP_PCAP
,PA_NUS_ATLS.,DEC alternative conversion factor (in local currency unit per United States dollar),Total,1,PA_NUS_ATLS,DEC alternative conversion factor (in local currency unit per United States dollar),PA_NUS_ATLS,DEC alternative conversion factor,dcid:sdg/PA_NUS_ATLS
,PD_AGR_LSFP.,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",Total,1,PD_AGR_LSFP,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",PD_AGR_LSFP,Productivity of large-scale food producers,dcid:sdg/PD_AGR_LSFP
,PD_AGR_LSFP.,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",Sex = Female,1,PD_AGR_LSFP,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",PD_AGR_LSFP@SEX--F,Productivity of large-scale food producers [Female],dcid:sdg/PD_AGR_LSFP.SEX--F
,PD_AGR_LSFP.,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",Sex = Male,1,PD_AGR_LSFP,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",PD_AGR_LSFP@SEX--M,Productivity of large-scale food producers [Male],dcid:sdg/PD_AGR_LSFP.SEX--M
,PD_AGR_SSFP.,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",Total,1,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",PD_AGR_SSFP,Productivity of small-scale food producers,dcid:sdg/PD_AGR_SSFP
,PD_AGR_SSFP.,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",Sex = Female,1,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",PD_AGR_SSFP@SEX--F,Productivity of small-scale food producers [Female],dcid:sdg/PD_AGR_SSFP.SEX--F
,PD_AGR_SSFP.,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",Sex = Male,1,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",PD_AGR_SSFP@SEX--M,Productivity of small-scale food producers [Male],dcid:sdg/PD_AGR_SSFP.SEX--M
,SD_CPA_UPRDP.,Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO),Total,Do not display in country pages,SD_CPA_UPRDP,Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO),SD_CPA_UPRDP,Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space,dcid:sdg/SD_CPA_UPRDP
,SD_MDP_ANDI.,Average proportion of deprivations for people multidimensionally poor (%),Total,1,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor,dcid:sdg/SD_MDP_ANDI
,SD_MDP_ANDI.,Average proportion of deprivations for people multidimensionally poor (%),Location = Rural,1,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),SD_MDP_ANDI@URBANISATION--R,Average proportion of deprivations for people multidimensionally poor [Rural],dcid:sdg/SD_MDP_ANDI.URBANISATION--R
,SD_MDP_ANDI.,Average proportion of deprivations for people multidimensionally poor (%),Location = Urban,1,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),SD_MDP_ANDI@URBANISATION--U,Average proportion of deprivations for people multidimensionally poor [Urban],dcid:sdg/SD_MDP_ANDI.URBANISATION--U
,SD_MDP_ANDIHH.,Average share of weighted deprivations of total households (intensity) (%),Total,1,SD_MDP_ANDIHH,Average share of weighted deprivations of total households (intensity) (%),SD_MDP_ANDIHH,Average share of weighted deprivations of total households,dcid:sdg/SD_MDP_ANDIHH
,SD_MDP_ANDIHH.,Average share of weighted deprivations of total households (intensity) (%),Location = Rural,1,SD_MDP_ANDIHH,Average share of weighted deprivations of total households (intensity) (%),SD_MDP_ANDIHH@URBANISATION--R,Average share of weighted deprivations of total households [Rural],dcid:sdg/SD_MDP_ANDIHH.URBANISATION--R
,SD_MDP_ANDIHH.,Average share of weighted deprivations of total households (intensity) (%),Location = Urban,1,SD_MDP_ANDIHH,Average share of weighted deprivations of total households (intensity) (%),SD_MDP_ANDIHH@URBANISATION--U,Average share of weighted deprivations of total households [Urban],dcid:sdg/SD_MDP_ANDIHH.URBANISATION--U
,SD_MDP_CSMP.,Proportion of children living in child-specific multidimensional poverty (%),Age = under 18 years old,1,SD_MDP_CSMP,Proportion of children living in child-specific multidimensional poverty (%),SD_MDP_CSMP@AGE--Y0T17,Proportion of children living in child-specific multidimensional poverty [under 18 years old],dcid:sdg/SD_MDP_CSMP.AGE--Y0T17
,SD_MDP_CSMP.,Proportion of children living in child-specific multidimensional poverty (%),Age = under 18 years old | Location = Rural,1,SD_MDP_CSMP,Proportion of children living in child-specific multidimensional poverty (%),SD_MDP_CSMP@AGE--Y0T17__URBANISATION--R,"Proportion of children living in child-specific multidimensional poverty [under 18 years old, Rural]",dcid:sdg/SD_MDP_CSMP.AGE--Y0T17__URBANISATION--R
,SD_MDP_CSMP.,Proportion of children living in child-specific multidimensional poverty (%),Age = under 18 years old | Location = Urban,1,SD_MDP_CSMP,Proportion of children living in child-specific multidimensional poverty (%),SD_MDP_CSMP@AGE--Y0T17__URBANISATION--U,"Proportion of children living in child-specific multidimensional poverty [under 18 years old, Urban]",dcid:sdg/SD_MDP_CSMP.AGE--Y0T17__URBANISATION--U
,SD_MDP_MUHC.0,Proportion of population living in multidimensional poverty (%),Total,1,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),SD_MDP_MUHC,Proportion of population living in multidimensional poverty,dcid:sdg/SD_MDP_MUHC
,SD_MDP_MUHC.1,"Proportion of population living in multidimensional poverty, by age group (%)",Age = under 15 years old,1,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),SD_MDP_MUHC@AGE--Y0T14,Proportion of population living in multidimensional poverty [under 15 years old],dcid:sdg/SD_MDP_MUHC.AGE--Y0T14
,SD_MDP_MUHC.1,"Proportion of population living in multidimensional poverty, by age group (%)",Age = under 16 years old,1,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),SD_MDP_MUHC@AGE--Y0T15,Proportion of population living in multidimensional poverty [under 16 years old],dcid:sdg/SD_MDP_MUHC.AGE--Y0T15
,SD_MDP_MUHC.1,"Proportion of population living in multidimensional poverty, by age group (%)",Age = under 18 years old,1,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),SD_MDP_MUHC@AGE--Y0T17,Proportion of population living in multidimensional poverty [under 18 years old],dcid:sdg/SD_MDP_MUHC.AGE--Y0T17
