Query,SV,Place,Exception,EmptyResult,WrongPlace,ChartSVRank,EmbeddingsSVRank
annual natural gas leakage in malaysia,Annual_Loss_Fuel_NaturalGas,country/MYS,,,,0,0
annual natural gas waste in malaysia,Annual_Loss_Fuel_NaturalGas,country/MYS,,,,2,1
annual loss of natural gas flared and vented in australia,Annual_Loss_Fuel_NaturalGas_GasLostFlaredAndVented,country/AUS,,,,0,0
annual loss of natural gas from flaring and venting in australia,Annual_Loss_Fuel_NaturalGas_GasLostFlaredAndVented,country/AUS,,,,0,0
annual loss of natural gas from venting and flaring in australia,Annual_Loss_Fuel_NaturalGas_GasLostFlaredAndVented,country/AUS,,,,0,0
reclassification of diesel oil in czech republic,Annual_ProductReclassification_Fuel_DieselOil,country/CZE,,,,0,0
diesel oil reclassification in czech republic,Annual_ProductReclassification_Fuel_DieselOil,country/CZE,,,,0,0
diesel oil reclassification annually in czech republic,Annual_ProductReclassification_Fuel_DieselOil,country/CZE,,,,0,0
reclassification of fuel oil products on an annual basis in belgium,Annual_ProductReclassification_Fuel_FuelOil,country/BEL,,,,0,0
annual review of fuel oil product classifications in belgium,Annual_ProductReclassification_Fuel_FuelOil,country/BEL,,,,0,0
annual update of fuel oil product categories in belgium,Annual_ProductReclassification_Fuel_FuelOil,country/BEL,,,,0,0
reclassification of kerosene for the year in netherlands,Annual_ProductReclassification_Fuel_Kerosene,country/NLD,,,,0,0
kerosene product reclassification for the year in netherlands,Annual_ProductReclassification_Fuel_Kerosene,country/NLD,,,,0,0
annual kerosene product reclassification in netherlands,Annual_ProductReclassification_Fuel_Kerosene,country/NLD,,,,0,0
reclassification of kerosene jet fuel for annual use in new zealand,Annual_ProductReclassification_Fuel_KeroseneJetFuel,country/NZL,,,,0,0
kerosene jet fuel reclassification for annual use in new zealand,Annual_ProductReclassification_Fuel_KeroseneJetFuel,country/NZL,,,,0,0
annual reclassification of kerosene jet fuel in new zealand,Annual_ProductReclassification_Fuel_KeroseneJetFuel,country/NZL,,,,0,0
annual reclassification of motor gasoline in brazil,Annual_ProductReclassification_Fuel_MotorGasoline,country/BRA,,,,0,0
reclassification of motor gasoline on an annual basis in brazil,Annual_ProductReclassification_Fuel_MotorGasoline,country/BRA,,,,0,0
motor gasoline reclassified annually in brazil,Annual_ProductReclassification_Fuel_MotorGasoline,country/BRA,,,,0,0
reclassifying other oil products annually in belgium,Annual_ProductReclassification_Fuel_OtherOilProducts,country/BEL,,,,0,0
changing the category of other oil products every year in belgium,Annual_ProductReclassification_Fuel_OtherOilProducts,country/BEL,,,,0,0
updating the classification of other oil products yearly in belgium,Annual_ProductReclassification_Fuel_OtherOilProducts,country/BEL,,,,0,0
annual review of refinery inputs in portugal,Annual_ProductReclassification_Fuel_RefineryFeedstocks,country/PRT,,,,4,2
yearly assessment of refinery materials in portugal,Annual_ProductReclassification_Fuel_RefineryFeedstocks,country/PRT,,,,2,1
annual check of refinery resources in portugal,Annual_ProductReclassification_Fuel_RefineryFeedstocks,country/PRT,,,,8,4
the amount of bituminous coal received by electricity plants each year in arkansas,Annual_Receipt_Fuel_ForElectricityGeneration_BituminousCoal,geoId/05,,,,0,0
the yearly income of electricity plants from bituminous coal in arkansas,Annual_Receipt_Fuel_ForElectricityGeneration_BituminousCoal,geoId/05,,,,2,1
the total amount of bituminous coal that electricity plants receive in a year in arkansas,Annual_Receipt_Fuel_ForElectricityGeneration_BituminousCoal,geoId/05,,,,0,0
the amount of money received from coal for electricity generation in all sectors in virginia,Annual_Receipt_Fuel_ForElectricityGeneration_Coal,geoId/51,,,,0,0
the total amount of money received from coal for electricity generation in all sectors in virginia,Annual_Receipt_Fuel_ForElectricityGeneration_Coal,geoId/51,,,,0,0
the sum of all the money received from coal for electricity generation in all sectors in virginia,Annual_Receipt_Fuel_ForElectricityGeneration_Coal,geoId/51,,,,0,0
the amount of money that electric power companies receive each year from selling coal for electricity generation in oklahoma,Annual_Receipt_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/40,,,,2,1
the total annual revenue from coal sales for electricity generation in oklahoma,Annual_Receipt_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/40,,,,2,1
the annual income from coal sales for electricity generation in oklahoma,Annual_Receipt_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/40,,,,0,0
the total amount of natural gas received by all sectors in a year in wyoming,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas,geoId/56,,,,0,3
the annual total of natural gas received by all sectors in wyoming,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas,geoId/56,,,,4,4
the sum of natural gas received by all sectors in a year in wyoming,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas,geoId/56,,,,2,3
the amount of natural gas received by electric power plants each year in new york,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricPower,geoId/36,,,,14,8
the total amount of natural gas used by electric power plants in a year in new york,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricPower,geoId/36,,,,14,8
the annual intake of natural gas by electric power plants in new york,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricPower,geoId/36,,,,14,11
the amount of natural gas received by electricity plants each year in oklahoma,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricUtility,geoId/40,,,,0,0
the yearly intake of natural gas by electricity plants in oklahoma,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricUtility,geoId/40,,,,2,1
the annual amount of natural gas that electricity plants receive in oklahoma,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricUtility,geoId/40,,,,0,0
the amount of natural gas received by electricity plants each year in florida,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricUtilityNonCogen,geoId/12,*,,,,
the annual amount of natural gas received by electricity plants in florida,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricUtilityNonCogen,geoId/12,,,,4,2
the total amount of natural gas received by electricity plants in a year in florida,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_ElectricUtilityNonCogen,geoId/12,,,,2,1
the amount of natural gas that independent power producers receive each year in minnesota,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_IndependentPowerProducers,geoId/27,,,,0,0
the annual income of independent power producers from natural gas in minnesota,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_IndependentPowerProducers,geoId/27,,,,0,0
the total amount of natural gas that independent power producers receive in a year in minnesota,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_IndependentPowerProducers,geoId/27,,,,0,0
the amount of natural gas received by all industrial sectors in a year in pennsylvania,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_Industrial,geoId/42,,,,2,4
the total amount of natural gas received by all industrial sectors in a year in pennsylvania,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_Industrial,geoId/42,,,,0,1
the annual amount of natural gas received by all industrial sectors in pennsylvania,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_Industrial,geoId/42,,,,0,1
the amount of natural gas received by electricity plants in industrial cogen each year in new hampshire,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_IndustrialCogen,geoId/33,,,,0,0
the annual amount of natural gas received by electricity plants in industrial cogen in new hampshire,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_IndustrialCogen,geoId/33,,,,0,0
the yearly amount of natural gas received by electricity plants in industrial cogen in new hampshire,Annual_Receipt_Fuel_ForElectricityGeneration_NaturalGas_IndustrialCogen,geoId/33,,,,0,0
the amount of petroleum liquids received by electricity plants each year in south carolina,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids,geoId/45,,,,4,2
the annual amount of petroleum liquids received by electricity plants in south carolina,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids,geoId/45,,,,6,3
the total amount of petroleum liquids received by electricity plants in a year in south carolina,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids,geoId/45,,,,6,3
the total amount of petroleum liquids received by electricity plants each year in new jersey,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/34,,,,0,0
the annual sum of petroleum liquids received by electricity plants in new jersey,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/34,,,,0,0
the total annual intake of petroleum liquids by electricity plants in new jersey,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/34,,,,2,1
the amount of petroleum liquids received by electricity plants each year in south carolina,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/45,,,,0,0
the total amount of petroleum liquids that electricity plants receive in a year in south carolina,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/45,,,,2,1
the annual sum of petroleum liquids received by electricity plants in south carolina,Annual_Receipt_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/45,,,,2,1
the amount of subbituminous coal received annually for electricity generation in missouri,Annual_Receipt_Fuel_ForElectricityGeneration_SubbituminousCoal,geoId/29,,,,2,1
the annual amount of subbituminous coal received for electricity generation in missouri,Annual_Receipt_Fuel_ForElectricityGeneration_SubbituminousCoal,geoId/29,,,,2,1
the annual receipts of subbituminous coal for electricity generation in missouri,Annual_Receipt_Fuel_ForElectricityGeneration_SubbituminousCoal,geoId/29,,,,0,0
the amount of sub-bituminous coal received by electricity power plants each year in texas,Annual_Receipt_Fuel_ForElectricityGeneration_SubbituminousCoal_ElectricPower,geoId/48,,,,0,0
the yearly intake of sub-bituminous coal by electricity power plants in texas,Annual_Receipt_Fuel_ForElectricityGeneration_SubbituminousCoal_ElectricPower,geoId/48,,,,0,0
the annual amount of sub-bituminous coal that electricity power plants receive in texas,Annual_Receipt_Fuel_ForElectricityGeneration_SubbituminousCoal_ElectricPower,geoId/48,,,,0,0
the amount of brown coal that is available each year in mongolia,Annual_Reserves_Fuel_BrownCoal,country/MNG,,,,4,2
the annual supply of brown coal in mongolia,Annual_Reserves_Fuel_BrownCoal,country/MNG,,,,2,1
the yearly amount of brown coal that is available in mongolia,Annual_Reserves_Fuel_BrownCoal,country/MNG,,,,2,1
more information about annual brown coal reserves for energy in japan,Annual_Reserves_Fuel_BrownCoal_EnergyAdditionalResources,country/JPN,,,,2,1
additional resources on annual brown coal reserves for energy in japan,Annual_Reserves_Fuel_BrownCoal_EnergyAdditionalResources,country/JPN,,,,0,0
other sources of information about annual brown coal reserves for energy in japan,Annual_Reserves_Fuel_BrownCoal_EnergyAdditionalResources,country/JPN,,,,0,0
the amount of brown coal that is known to exist and can be used for energy each year in india,Annual_Reserves_Fuel_BrownCoal_EnergyKnownReserves,country/IND,,,,0,0
the annual amount of brown coal that is known to be available for energy use in india,Annual_Reserves_Fuel_BrownCoal_EnergyKnownReserves,country/IND,,,,0,0
the annual known reserves of brown coal that can be used for energy in india,Annual_Reserves_Fuel_BrownCoal_EnergyKnownReserves,country/IND,,,,0,0
the amount of brown coal that can be recovered each year as energy in new zealand,Annual_Reserves_Fuel_BrownCoal_EnergyRecoverableReserves,country/NZL,,,,0,0
the annual amount of brown coal that can be used for energy in new zealand,Annual_Reserves_Fuel_BrownCoal_EnergyRecoverableReserves,country/NZL,,,,6,3
the annual amount of brown coal that can be extracted for energy in new zealand,Annual_Reserves_Fuel_BrownCoal_EnergyRecoverableReserves,country/NZL,,,,2,1
how much crude oil does the us have? in united states,Annual_Reserves_Fuel_CrudeOil,country/USA,,,,6,3
how much crude oil does the us have in reserve? in united states,Annual_Reserves_Fuel_CrudeOil,country/USA,,,,0,0
what is the us's annual reserve of crude oil? in united states,Annual_Reserves_Fuel_CrudeOil,country/USA,,,,0,0
the amount of water that can be used each year in falling water in taiwan,Annual_Reserves_Fuel_FallingWater_HydraulicResources,country/TWN,,,,0,0
the annual supply of water in falling water in taiwan,Annual_Reserves_Fuel_FallingWater_HydraulicResources,country/TWN,,,,0,0
the yearly amount of water that is available in falling water in taiwan,Annual_Reserves_Fuel_FallingWater_HydraulicResources,country/TWN,,,,0,0
the amount of hard coal that is still available to be mined in portugal,Annual_Reserves_Fuel_HardCoal,country/PRT,,,,0,0
the total amount of hard coal that is left in the ground in portugal,Annual_Reserves_Fuel_HardCoal,country/PRT,,,,0,0
the quantity of hard coal that has not yet been extracted in portugal,Annual_Reserves_Fuel_HardCoal,country/PRT,,,,0,0
additional hard coal reserves as energy resources in united kingdom,Annual_Reserves_Fuel_HardCoal_EnergyAdditionalResources,country/GBR,,,,0,0
hard coal reserves as additional energy resources in united kingdom,Annual_Reserves_Fuel_HardCoal_EnergyAdditionalResources,country/GBR,,,,0,0
resources for hard coal as additional energy in united kingdom,Annual_Reserves_Fuel_HardCoal_EnergyAdditionalResources,country/GBR,,,,0,0
the amount of hard coal that is known to exist and can be used for energy each year in poland,Annual_Reserves_Fuel_HardCoal_EnergyKnownReserves,country/POL,,,,2,1
the annual amount of hard coal that is known to be available for energy use in poland,Annual_Reserves_Fuel_HardCoal_EnergyKnownReserves,country/POL,,,,4,2
the annual amount of hard coal that is known to be in reserve for energy use in poland,Annual_Reserves_Fuel_HardCoal_EnergyKnownReserves,country/POL,,,,2,1
the amount of hard coal energy that is available each year in united states,Annual_Reserves_Fuel_HardCoal_EnergyRecoverableReserves,country/USA,,,,0,0
the annual supply of hard coal energy in united states,Annual_Reserves_Fuel_HardCoal_EnergyRecoverableReserves,country/USA,,,,0,0
the yearly amount of hard coal energy that can be used in united states,Annual_Reserves_Fuel_HardCoal_EnergyRecoverableReserves,country/USA,,,,0,0
the amount of natural gas that is reserved each year in bangladesh,Annual_Reserves_Fuel_NaturalGas,country/BGD,,,,0,0
the yearly amount of natural gas that is set aside in bangladesh,Annual_Reserves_Fuel_NaturalGas,country/BGD,,,,0,0
the annual allotment of natural gas in bangladesh,Annual_Reserves_Fuel_NaturalGas,country/BGD,,,,2,3
the amount of crude oil that can be extracted from oil shale and tar sands each year in russia,Annual_Reserves_Fuel_OilShaleAndTarSands_CrudeOil,country/RUS,,,,0,0
the annual amount of crude oil that is available from oil shale and tar sands in russia,Annual_Reserves_Fuel_OilShaleAndTarSands_CrudeOil,country/RUS,,,,0,0
the annual supply of crude oil from oil shale and tar sands in russia,Annual_Reserves_Fuel_OilShaleAndTarSands_CrudeOil,country/RUS,,,,0,0
uranium reserves in the united states in germany,Annual_Reserves_Fuel_Uranium_EnergyReservesAssured,country/DEU,,,*,0,0
how much uranium is there in the united states in germany,Annual_Reserves_Fuel_Uranium_EnergyReservesAssured,country/DEU,,,*,0,0
the amount of uranium in the united states in germany,Annual_Reserves_Fuel_Uranium_EnergyReservesAssured,country/DEU,,,*,0,0
sales of electricity to all sectors in a year in oregon,Annual_RetailSales_Electricity,geoId/41,,,,0,0
annual sales of electricity to all sectors in oregon,Annual_RetailSales_Electricity,geoId/41,,,,0,0
electricity sales to all sectors in a year in oregon,Annual_RetailSales_Electricity,geoId/41,,,,0,0
sales of electricity in commercial buildings each year in west virginia,Annual_RetailSales_Electricity_Commercial,geoId/54,,,,0,0
annual commercial electricity sales in west virginia,Annual_RetailSales_Electricity_Commercial,geoId/54,,,,0,0
electricity sold in commercial buildings each year in west virginia,Annual_RetailSales_Electricity_Commercial,geoId/54,,,,1,1
sales of industrial electricity in a year in colorado,Annual_RetailSales_Electricity_Industrial,geoId/08,,,,0,0
annual industrial electricity sales in colorado,Annual_RetailSales_Electricity_Industrial,geoId/08,,,,0,0
electricity sales to industry in a year in colorado,Annual_RetailSales_Electricity_Industrial,geoId/08,,,,0,0
electricity sales in the retail market each year in wyoming,Annual_RetailSales_Electricity_OtherSector,geoId/56,,,,0,0
the amount of electricity sold to consumers each year in wyoming,Annual_RetailSales_Electricity_OtherSector,geoId/56,,,,2,1
the annual revenue from electricity sales to consumers in wyoming,Annual_RetailSales_Electricity_OtherSector,geoId/56,,,,8,4
sales of electricity to residential customers in a year in illinois,Annual_RetailSales_Electricity_Residential,geoId/17,,,,0,0
annual sales of electricity to residential consumers in illinois,Annual_RetailSales_Electricity_Residential,geoId/17,,,,0,0
electricity sold to residential customers in a year in illinois,Annual_RetailSales_Electricity_Residential,geoId/17,,,,0,0
the total amount of money earned from selling electricity each year in arizona,Annual_SalesRevenue_Electricity,geoId/04,,,,6,3
the annual income from selling electricity in arizona,Annual_SalesRevenue_Electricity,geoId/04,,,,4,2
the yearly revenue from selling electricity in arizona,Annual_SalesRevenue_Electricity,geoId/04,,,,4,2
the total amount of money made from selling electricity each year in hawaii,Annual_SalesRevenue_Electricity_Commercial,geoId/15,,,,17,9
the annual income from selling electricity in hawaii,Annual_SalesRevenue_Electricity_Commercial,geoId/15,,,,17,9
the yearly revenue from selling electricity in hawaii,Annual_SalesRevenue_Electricity_Commercial,geoId/15,,,,14,7
annual sales of electricity in the industrial sector in kentucky,Annual_SalesRevenue_Electricity_Industrial,geoId/21,,,,2,1
annual revenue from electricity sales to industrial customers in kentucky,Annual_SalesRevenue_Electricity_Industrial,geoId/21,,,,0,0
annual income from selling electricity to industrial businesses in kentucky,Annual_SalesRevenue_Electricity_Industrial,geoId/21,,,,0,0
the amount of money made from selling electricity each year in louisiana,Annual_SalesRevenue_Electricity_OtherSector,geoId/22,,,,0,0
the yearly income from selling electricity in louisiana,Annual_SalesRevenue_Electricity_OtherSector,geoId/22,,,,0,0
the annual profit from selling electricity in louisiana,Annual_SalesRevenue_Electricity_OtherSector,geoId/22,,,,4,2
the amount of money that electric companies make from selling electricity to consumers in a year in louisiana,Annual_SalesRevenue_Electricity_Residential,geoId/22,,,,4,2
the total revenue that electric companies generate from retail sales of electricity in a year in louisiana,Annual_SalesRevenue_Electricity_Residential,geoId/22,,,,4,2
the annual income that electric companies receive from selling electricity to consumers in louisiana,Annual_SalesRevenue_Electricity_Residential,geoId/22,,,,4,2
annual coal consumption in electric power in kansas,Annual_Stock_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/20,,,,12,7
annual coal use in electric power in kansas,Annual_Stock_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/20,,,,10,6
annual coal-fired electricity generation in kansas,Annual_Stock_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/20,,,,14,10
the total amount of petroleum liquids used for electricity generation each year in vermont,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/50,,,,8,7
the annual amount of petroleum liquids used to generate electricity in vermont,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/50,,,,7,6
the total annual petroleum liquids consumption for electricity generation in vermont,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/50,,,,1,2
the amount of petroleum liquids used by electric utilities each year in nevada,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/32,,,*,0,0
the annual consumption of petroleum liquids by electric utilities in nevada,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/32,,,*,0,0
the yearly amount of petroleum liquids used by electric utilities in nevada,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/32,,,*,0,0
independent power producers' annual consumption of petroleum liquids for electricity generation in iowa,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_IndependentPowerProducers,geoId/19,,,,0,0
the amount of petroleum liquids independent power producers consume annually for electricity generation in iowa,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_IndependentPowerProducers,geoId/19,,,,0,0
the annual amount of petroleum liquids independent power producers use for electricity generation in iowa,Annual_Stock_Fuel_ForElectricityGeneration_PetroleumLiquids_IndependentPowerProducers,geoId/19,,,,0,0
sulfur content of bituminous coal used for electricity generation each year in delaware,Annual_SulfurContent_Fuel_ForElectricityGeneration_BituminousCoal,geoId/10,,,,0,0
annual sulfur content of bituminous coal for power generation in delaware,Annual_SulfurContent_Fuel_ForElectricityGeneration_BituminousCoal,geoId/10,,,,0,0
sulfur content of bituminous coal used to generate electricity each year in delaware,Annual_SulfurContent_Fuel_ForElectricityGeneration_BituminousCoal,geoId/10,,,,0,0
the annual quality of sulfur content in coal in new york,Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal,geoId/36,,,,0,0
the annual sulfur content of coal in new york,Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal,geoId/36,,,,0,0
the quality of sulfur content in coal each year in new york,Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal,geoId/36,,,,0,0
the quality of fossil fuels used in electricity generation each year in new mexico,Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/35,,,,0,0
the annual quality of fossil fuels used to generate electricity in new mexico,Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/35,,,,0,0
the quality of fossil fuels used to generate electricity in a year in new mexico,Annual_SulfurContent_Fuel_ForElectricityGeneration_Coal_ElectricPower,geoId/35,,,,0,0
the quality of petroleum liquids in all sectors each year in alaska,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids,geoId/02,,,,0,0
the annual quality of petroleum liquids in all sectors in alaska,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids,geoId/02,,,,0,0
the quality of petroleum liquids in all sectors over the course of a year in alaska,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids,geoId/02,,,,0,0
the total amount of petroleum liquids used for electricity generation each year in virginia,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/51,,,,0,0
the annual quantity of petroleum liquids used to generate electricity in virginia,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/51,,,,10,5
the yearly total of petroleum liquids used to produce electricity in virginia,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricPower,geoId/51,,,,4,2
the annual sulfur content of petroleum liquids used for electricity generation in electric utilities in illinois,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/17,,,,0,0
the amount of sulfur in petroleum liquids used for electricity generation in electric utilities each year in illinois,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/17,,,,0,0
the yearly sulfur content of petroleum liquids used to generate electricity in electric utilities in illinois,Annual_SulfurContent_Fuel_ForElectricityGeneration_PetroleumLiquids_ElectricUtility,geoId/17,,,,0,0
sulfur content of subbituminous coal for electricity generation per year in connecticut,Annual_SulfurContent_Fuel_ForElectricityGeneration_SubbituminousCoal,geoId/09,,,,0,0
annual sulfur content of subbituminous coal for electricity generation in connecticut,Annual_SulfurContent_Fuel_ForElectricityGeneration_SubbituminousCoal,geoId/09,,,,0,0
sulfur content of subbituminous coal used for electricity generation per year in connecticut,Annual_SulfurContent_Fuel_ForElectricityGeneration_SubbituminousCoal,geoId/09,,,,0,0
the total annual quality of subbituminous coal used in electricity generation in electric power in indiana,Annual_SulfurContent_Fuel_ForElectricityGeneration_SubbituminousCoal_ElectricPower,geoId/18,*,,,,
the total amount of subbituminous coal used in electricity generation in electric power each year in indiana,Annual_SulfurContent_Fuel_ForElectricityGeneration_SubbituminousCoal_ElectricPower,geoId/18,,,,0,0
the total annual quantity of subbituminous coal used in electricity generation in electric power in indiana,Annual_SulfurContent_Fuel_ForElectricityGeneration_SubbituminousCoal_ElectricPower,geoId/18,,,,0,0
the total area of all farms in the united states in louisiana,Area_Farm,geoId/22,,,*,0,0
the total amount of land that is used for farming in the united states in louisiana,Area_Farm,geoId/22,,,*,2,1
the total acreage of all farms in the united states in louisiana,Area_Farm,geoId/22,,,*,0,0
barley farm acreage in minnesota,Area_Farm_BarleyForGrain,geoId/27,,,,0,0
barley farm area in minnesota,Area_Farm_BarleyForGrain,geoId/27,,,,0,0
barley farm size in minnesota,Area_Farm_BarleyForGrain,geoId/27,,,,0,0
the total area of farms growing corn in massachusetts,Area_Farm_CornForGrain,geoId/25,,,,0,0
the total amount of land used to grow corn in massachusetts,Area_Farm_CornForGrain,geoId/25,,,,0,0
the total acreage of corn farms in massachusetts,Area_Farm_CornForGrain,geoId/25,,,,0,0
the total area of farms used for silage in new jersey,Area_Farm_CornForSilageOrGreenchop,geoId/34,,,,0,0
the total land area of farms used for silage in new jersey,Area_Farm_CornForSilageOrGreenchop,geoId/34,,,,0,0
the total acreage of farms used for silage in new jersey,Area_Farm_CornForSilageOrGreenchop,geoId/34,,,,0,0
the amount of land used for growing cotton in arkansas,Area_Farm_Cotton,geoId/05,,,,0,0
the size of the farms that grow cotton in arkansas,Area_Farm_Cotton,geoId/05,,,,0,0
the acreage of cotton farms in arkansas,Area_Farm_Cotton,geoId/05,,,,2,1
cropland area in colorado,Area_Farm_Cropland,geoId/08,,,,1,1
farmland area in colorado,Area_Farm_Cropland,geoId/08,,,,1,1
agricultural land area in colorado,Area_Farm_Cropland,geoId/08,,,,6,4
the area of farms growing beans in texas,Area_Farm_DryEdibleBeans,geoId/48,,,,0,0
the amount of land used for growing beans in texas,Area_Farm_DryEdibleBeans,geoId/48,,,,0,0
the size of the farms growing beans in texas,Area_Farm_DryEdibleBeans,geoId/48,,,,2,1
the amount of land used for durum wheat farming in california,Area_Farm_DurumWheatForGrain,geoId/06,,,,0,0
the size of the area where durum wheat is grown in california,Area_Farm_DurumWheatForGrain,geoId/06,,,*,0,0
the land area used for durum wheat cultivation in california,Area_Farm_DurumWheatForGrain,geoId/06,,,,0,0
farm area for grazing animals in wisconsin,Area_Farm_Forage,geoId/55,,,,18,10
the area of farms with harvested cropland in washington,Area_Farm_HarvestedCropland,geoId/53,,,,0,0
the amount of land used for farming and harvesting crops in washington,Area_Farm_HarvestedCropland,geoId/53,,,,3,2
the size of farms that grow and harvest crops in washington,Area_Farm_HarvestedCropland,geoId/53,,,,4,2
farmland area that is irrigated in indiana,Area_Farm_IrrigatedLand,geoId/18,,,,0,0
farmland that is watered artificially in indiana,Area_Farm_IrrigatedLand,geoId/18,,,,0,0
farmland that is watered by man-made means in indiana,Area_Farm_IrrigatedLand,geoId/18,,,,0,0
oat acreage in nebraska,Area_Farm_OatsForGrain,geoId/31,,,,0,0
oat farming area in nebraska,Area_Farm_OatsForGrain,geoId/31,,,,0,0
oat-growing area in nebraska,Area_Farm_OatsForGrain,geoId/31,,,,0,0
the total area of farms with orchards in montana,Area_Farm_Orchards,geoId/30,,,,0,0
the total area of farms that have orchards in montana,Area_Farm_Orchards,geoId/30,,,,0,0
the total area of farms that grow fruit in montana,Area_Farm_Orchards,geoId/30,,,,2,1
other spring wheat for grain area in minnesota,Area_Farm_OtherSpringWheatForGrain,geoId/27,,,,0,0
other spring wheat for grain in minnesota,Area_Farm_OtherSpringWheatForGrain,geoId/27,,,,2,1
other spring wheat for grain production in minnesota,Area_Farm_OtherSpringWheatForGrain,geoId/27,,,,2,1
peanut farm acreage in hawaii,Area_Farm_PeanutsForNuts,geoId/15,,,,0,0
peanut farm area in hawaii,Area_Farm_PeanutsForNuts,geoId/15,,,,0,0
peanut farm size in hawaii,Area_Farm_PeanutsForNuts,geoId/15,,,,0,0
the area of farms growing pima cotton in texas,Area_Farm_PimaCotton,geoId/48,,,,0,0
the amount of land used for pima cotton farming in texas,Area_Farm_PimaCotton,geoId/48,,,,0,0
the acreage of pima cotton farms in texas,Area_Farm_PimaCotton,geoId/48,,,,0,0
the size of the land area used for potato farming in nebraska,Area_Farm_Potatoes,geoId/31,,,,0,0
the amount of land used to grow potatoes in nebraska,Area_Farm_Potatoes,geoId/31,,,,0,0
the acreage of potato farms in nebraska,Area_Farm_Potatoes,geoId/31,,,,0,0
the amount of land used for farming by american indians or alaska natives in nevada,Area_Farm_PrimaryProducer_AmericanIndianOrAlaskaNativeAlone,geoId/32,,,*,0,0
