dcid,Name,Description,Override_Alternatives,Curated_Alternatives
Annual_Consumption_Fuel_Manufacturing_OtherBituminousCoal,"Annual Consumption of Fuel: Manufacturing, UN_Other Bituminous Coal",Annual Consumption of Other Bituminous Coal in Manufacturing Industries,,
Annual_Consumption_Fuel_Manufacturing_OtherOilProducts,"Annual Consumption of Fuel: Manufacturing, UN_Other Oil Products",Annual Consumption of UN Other Oil Product in Manufacturing Industries,,
Annual_Consumption_Fuel_Manufacturing_PetroleumCoke,"Annual Consumption of Fuel: Manufacturing, Petroleum Coke",Annual Consumption of Petroleum Coke in Manufacturing Industries,,
Annual_Consumption_Fuel_Manufacturing_VegetalWaste,"Annual Consumption of Fuel: Manufacturing, Vegetal Waste",Annual Consumption of Vegetal Waste Manufacturing,,
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_DieselOil,"Annual Consumption of Fuel: Mining And Quarrying Industry, Diesel Oil",Annual Consumption of Diesel Oil in Mining And Quarrying Industries,,
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_FuelOil,"Annual Consumption of Fuel: Mining And Quarrying Industry, Fuel Oil",Annual Consumption of Fuel Oil in Mining and Quarrying Industries,,
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: Mining And Quarrying Industry, Liquefied Petroleum Gas",Annual Consumption of Liquefied Petroleum Gas in Mining And Quarrying Industries,,
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_NaturalGas,"Annual Consumption of Fuel: Mining And Quarrying Industry, Natural Gas",Annual Consumption of Natural Gas in Mining And Quarrying Industries,,
Annual_Consumption_Fuel_MotorGasoline,Annual Consumption of Fuel: Motor Gasoline,Annual Consumption of Motor Gasoline,,
Annual_Consumption_Fuel_Naphtha,Annual Consumption of Fuel: Naphtha,Annual Consumption Of Naphtha,,
Annual_Consumption_Fuel_Naphtha_NonEnergyUse,"Annual Consumption of Fuel: Naphtha, Non Energy Use",Annual Consumption of Naphtha For Non-Energy Use,,
Annual_Consumption_Fuel_NaturalGas,Annual Consumption of Fuel: Natural Gas,Annual Consumption of Natural Gas,,
Annual_Consumption_Fuel_NaturalGas_NonEnergyUse,"Annual Consumption of Fuel: Natural Gas, Non Energy Use",Annual Consumption Of Natural Gas For Non-Energy Use,,
Annual_Consumption_Fuel_NonFerrousMetalsIndustry_DieselOil,"Annual Consumption of Fuel: Non Ferrous Metals Industry, Diesel Oil",Annual Consumption of Diesel Oil in Non Ferrous Metals Industry,,
Annual_Consumption_Fuel_NonFerrousMetalsIndustry_NaturalGas,"Annual Consumption of Fuel: Non Ferrous Metals Industry, Natural Gas",Annual Consumption of Natural Gas by Non-Ferrous Metal Industries,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_DieselOil,"Annual Consumption of Fuel: Non Metallic Minerals Industry, Diesel Oil",Annual Consumption of Diesel Oil in Non-Metallic Minerals Industries,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_FuelOil,"Annual Consumption of Fuel: Non Metallic Minerals Industry, Fuel Oil",Annual Consumption of Fuel Oil In The Non-Metallic Industry,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_HardCoal,"Annual Consumption of Fuel: Non Metallic Minerals Industry, Hard Coal",Annual Consumption of Hard Coal in Non-Metallic Minerals Industries,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: Non Metallic Minerals Industry, Liquefied Petroleum Gas",Annual Consumption of Liquefied Petroleum Gas in Non-Metallic Minerals Industries,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_NaturalGas,"Annual Consumption of Fuel: Non Metallic Minerals Industry, Natural Gas",Annual Consumption of Natural Gas by Non-Metallic Minerals Industries,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_OtherBituminousCoal,"Annual Consumption of Fuel: Non Metallic Minerals Industry, UN_Other Bituminous Coal",Annual Consumption of Other Bituminous Coal in Non-Metallic Mineral Industries,,
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_PetroleumCoke,"Annual Consumption of Fuel: Non Metallic Minerals Industry, Petroleum Coke",Annual Petroleum Coke Consumption By Non-Metallic Minerals Industries,,
Annual_Consumption_Fuel_OilGasExtraction_NaturalGas_EnergyIndustryOwnUse,"Annual Consumption of Fuel: Oil Gas Extraction, Natural Gas, Energy Industry Own Use",Annual Consumption Of Natural Gas Used For Oil and Gas Extraction,,
Annual_Consumption_Fuel_OilRefineries_CrudeOil_FuelTransformation,"Annual Consumption of Fuel: Oil Refineries, Crude Oil, Fuel Transformation",Annual Consumption of Crude Oil In Fuel Transformation,,
Annual_Consumption_Fuel_OilRefineries_DieselOil_EnergyIndustryOwnUse,"Annual Consumption of Fuel: Oil Refineries, Diesel Oil, Energy Industry Own Use",Annual Consumption Of Diesel Oil By Oil Refineries,,
Annual_Consumption_Fuel_OilRefineries_FuelOil_EnergyIndustryOwnUse,"Annual Consumption of Fuel: Oil Refineries, Fuel Oil, Energy Industry Own Use",Annual Consumption of Fuel Oil in Oil Refineries,,
Annual_Consumption_Fuel_OilRefineries_LiquifiedPetroleumGas_EnergyIndustryOwnUse,"Annual Consumption of Fuel: Oil Refineries, Liquefied Petroleum Gas, Energy Industry Own Use",Annual Consumption of Liquefied Petroleum Gas in Oil Refineries,,
Annual_Consumption_Fuel_OilRefineries_NaturalGas_EnergyIndustryOwnUse,"Annual Consumption of Fuel: Oil Refineries, Natural Gas, Energy Industry Own Use",Annual Consumption of Natural Gas for Oil Refineries,,
Annual_Consumption_Fuel_OilRefineries_NaturalGasLiquids_FuelTransformation,"Annual Consumption of Fuel: Oil Refineries, Natural Gas Liquids, Fuel Transformation",Annual Consumption of Natural Gas Liquids in Fuel Transformation,,
Annual_Consumption_Fuel_OilRefineries_RefineryFeedstocks_FuelTransformation,"Annual Consumption of Fuel: Oil Refineries, Refinery Feedstocks, Fuel Transformation",Annual Consumption of Refinery Feedstocks In Oil Refineries,,
Annual_Consumption_Fuel_OilRefineries_RefineryGas_EnergyIndustryOwnUse,"Annual Consumption of Fuel: Oil Refineries, Refinery Gas, Energy Industry Own Use",Annual Consumption of Refinery Gas in Energy Industry Own Use,,
Annual_Consumption_Fuel_OtherBituminousCoal,Annual Consumption of Fuel: UN_Other Bituminous Coal,Annual Consumption of Other Bituminous Coal,,
Annual_Consumption_Fuel_OtherIndustry_DieselOil,"Annual Consumption of Fuel: UN_Other Industry, Diesel Oil",Annual Consumption of Diesel Oil in Other Industry,,
Annual_Consumption_Fuel_OtherIndustry_FuelOil,"Annual Consumption of Fuel: UN_Other Industry, Fuel Oil",Annual Consumption of Fuel Oil in Other Industries,,
Annual_Consumption_Fuel_OtherIndustry_Fuelwood,"Annual Consumption of Fuel: UN_Other Industry, Fuelwood",Annual Consumption of Fuel Wood in Other Industry,,
Annual_Consumption_Fuel_OtherIndustry_HardCoal,"Annual Consumption of Fuel: UN_Other Industry, Hard Coal",Annual Consumption of Hard Coal In Other Industry,,
Annual_Consumption_Fuel_OtherIndustry_Kerosene,"Annual Consumption of Fuel: UN_Other Industry, EIA_Kerosene",Annual Consumption of Kerosene by Other Industries,,
Annual_Consumption_Fuel_OtherIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: UN_Other Industry, Liquefied Petroleum Gas",Annual Consumption of Fuel-Liquefied Petroleum Gas in Other Industries,,
Annual_Consumption_Fuel_OtherIndustry_MotorGasoline,"Annual Consumption of Fuel: UN_Other Industry, Motor Gasoline",Annual Consumption of Motor Gasoline in Other Industries,,
Annual_Consumption_Fuel_OtherIndustry_NaturalGas,"Annual Consumption of Fuel: UN_Other Industry, Natural Gas",Annual Consumption of Natural Gas in Other Industries,,
Annual_Consumption_Fuel_OtherIndustry_NaturalGasLiquids_FuelTransformation,"Annual Consumption of Fuel: UN_Other Industry, Natural Gas Liquids, Fuel Transformation",Annual Consumption of Natural Gas Liquids in Other Industries,,
Annual_Consumption_Fuel_OtherIndustry_OtherBituminousCoal,"Annual Consumption of Fuel: UN_Other Industry, UN_Other Bituminous Coal",Annual Consumption of Bituminous Coal by Other Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_Bagasse,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Bagasse",Annual Consumption of Bagasse in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_BrownCoal,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Brown Coal",Annual Consumption of Brown Coal in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_CokeOvenCoke,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Coke Oven Coke",Annual Consumption Of Coke Oven Gas In Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_DieselOil,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Diesel Oil",Annual Consumption of Diesel Oil in Other Manufacturing Industry,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_FuelOil,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Fuel Oil",Annual Consumption of Fuel Oil in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_Fuelwood,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Fuelwood",Annual Consumption of Fuel Wood in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_HardCoal,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Hard Coal",Annual Consumption Of Hard Coal By Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_Kerosene,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, EIA_Kerosene",Annual Consumption of Kerosene in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Liquefied Petroleum Gas",Annual Liquefied Petroleum Gas Consumption in Other UN Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_MotorGasoline,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Motor Gasoline",Annual Consumption Of Motor Gasoline By Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_NaturalGas,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Natural Gas",Annual Consumption of Natural Gas in Other Manufacturing Industry,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_OtherBituminousCoal,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, UN_Other Bituminous Coal",Annual Consumption Of Bituminous Coal in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_OtherOilProducts,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, UN_Other Oil Products",Annual Consumption of Other Oil Products in Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_PetroleumCoke,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Petroleum Coke",Annual Consumption Of Petroleum Coke By Other Manufacturing Industries,,
Annual_Consumption_Fuel_OtherManufacturingIndustry_VegetalWaste,"Annual Consumption of Fuel: UN_Other Manufacturing Industry, Vegetal Waste",Annual Consumption of Vegetal Waste in Other Manufacturing Industry,,
Annual_Consumption_Fuel_OtherOilProducts,Annual Consumption of Fuel: UN_Other Oil Products,Annual Consumption of Other Oil Products,,
Annual_Consumption_Fuel_OtherOilProducts_NonEnergyUse,"Annual Consumption of Fuel: UN_Other Oil Products, Non Energy Use",Annual Consumption of Other Oil Products in Non-Energy Use,,
Annual_Consumption_Fuel_OtherSector_Charcoal,"Annual Consumption of Fuel: UN_Other Sector, Charcoal",Annual Consumption of Charcoal by Other Sectors,,
Annual_Consumption_Fuel_OtherSector_DieselOil,"Annual Consumption of Fuel: UN_Other Sector, Diesel Oil",Annual Consumption of Diesel Oil in Other Sectors,,
Annual_Consumption_Fuel_OtherSector_FuelOil,"Annual Consumption of Fuel: UN_Other Sector, Fuel Oil",Annual Consumption of Fuel Oil in Other Sectors,,
Annual_Consumption_Fuel_OtherSector_Fuelwood,"Annual Consumption of Fuel: UN_Other Sector, Fuelwood",Annual Consumption of Fuelwood in Other Sectors,,
Annual_Consumption_Fuel_OtherSector_HardCoal,"Annual Consumption of Fuel: UN_Other Sector, Hard Coal",Annual Consumption of Hard Coal in UN_Other Sectors,,
Annual_Consumption_Fuel_OtherSector_Kerosene,"Annual Consumption of Fuel: UN_Other Sector, EIA_Kerosene",Annual Consumption of EIA_Kerosene,,
Annual_Consumption_Fuel_OtherSector_LiquifiedPetroleumGas,"Annual Consumption of Fuel: UN_Other Sector, Liquefied Petroleum Gas",Annual Consumption of Liquified Petroleum Gas by Other Sectors,,
Annual_Consumption_Fuel_OtherSector_MotorGasoline,"Annual Consumption of Fuel: UN_Other Sector, Motor Gasoline",Annual Consumption of Motor Gasoline in Other Sectors,,
Annual_Consumption_Fuel_OtherSector_NaturalGas,"Annual Consumption of Fuel: UN_Other Sector, Natural Gas",Annual Consumption of Natural Gas in Other Sectors,,
Annual_Consumption_Fuel_OtherSector_OtherBituminousCoal,"Annual Consumption of Fuel: UN_Other Sector, UN_Other Bituminous Coal",Annual Consumption Of Bituminous Coal By Other Sectors,,
Annual_Consumption_Fuel_OtherSector_VegetalWaste,"Annual Consumption of Fuel: UN_Other Sector, Vegetal Waste",Annual Consumption of Vegetal Waste In Other Sectors,,
Annual_Consumption_Fuel_PaperPulpPrintIndustry_DieselOil,"Annual Consumption of Fuel: Paper Pulp Print Industry, Diesel Oil",Annual consumption Of Diesel Oil In The Paper Pulp Print Industries,,
Annual_Consumption_Fuel_PaperPulpPrintIndustry_FuelOil,"Annual Consumption of Fuel: Paper Pulp Print Industry, Fuel Oil",Annual Consumption of Fuel Oil in Paper Pulp Print Industries,,
Annual_Consumption_Fuel_PaperPulpPrintIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: Paper Pulp Print Industry, Liquefied Petroleum Gas",Annual Consumption Of Liquefied Petroleum Gas Fuel In The Paper Pulp Print Industries,,
Annual_Consumption_Fuel_PaperPulpPrintIndustry_NaturalGas,"Annual Consumption of Fuel: Paper Pulp Print Industry, Natural Gas",Annual Consumption of Natural Gas In The Paper Pulp Industry,,
Annual_Consumption_Fuel_ParaffinWaxes,Annual Consumption of Fuel: Paraffin Waxes,Annual Consumption of Paraffin Waxes,,
Annual_Consumption_Fuel_ParaffinWaxes_NonEnergyUse,"Annual Consumption of Fuel: Paraffin Waxes, Non Energy Use",Annual Consumption of Paraffin Waxes For Non-Energy Use,,
Annual_Consumption_Fuel_PetroleumCoke,Annual Consumption of Fuel: Petroleum Coke,Annual Consumption of Petroleum Coke,,
Annual_Consumption_Fuel_PetroleumCoke_NonEnergyUse,"Annual Consumption of Fuel: Petroleum Coke, Non Energy Use",Annual Consumption of Petroleum Coke In Non-Energy Use,,
Annual_Consumption_Fuel_RailTransport_DieselOil,"Annual Consumption of Fuel: Rail Transport, Diesel Oil",Annual Consumption of Diesel Oil in Rail Transport,,
Annual_Consumption_Fuel_RoadTransport_BioDiesel,"Annual Consumption of Fuel: Road Transport, Bio Diesel",Annual Consumption of Biodiesel in Road Transport,,
Annual_Consumption_Fuel_RoadTransport_BioGasoline,"Annual Consumption of Fuel: Road Transport, Bio Gasoline",Annual Consumption of Bio Gasoline in Road Transport,,
Annual_Consumption_Fuel_RoadTransport_DieselOil,"Annual Consumption of Fuel: Road Transport, Diesel Oil",Annual Consumption of Diesel Oil in Road Transport,,
Annual_Consumption_Fuel_RoadTransport_LiquifiedPetroleumGas,"Annual Consumption of Fuel: Road Transport, Liquefied Petroleum Gas",Annual Consumption of Liquefied Petroleum Gas in Road Transport,,
Annual_Consumption_Fuel_RoadTransport_MotorGasoline,"Annual Consumption of Fuel: Road Transport, Motor Gasoline",Annual Consumption of Motor Gasoline in Road Transport,,
Annual_Consumption_Fuel_RoadTransport_NaturalGas,"Annual Consumption of Fuel: Road Transport, Natural Gas",Annual Natural Gas Consumption For Road Use,,
Annual_Consumption_Fuel_TextileAndLeatherIndustry_DieselOil,"Annual Consumption of Fuel: Textile And Leather Industry, Diesel Oil",Annual Consumption of Diesel Oil in Textile And Leather Industries,,
Annual_Consumption_Fuel_TextileAndLeatherIndustry_FuelOil,"Annual Consumption of Fuel: Textile And Leather Industry, Fuel Oil",Annual Consumption Of Fuel Oil In Textile And Leather Industries,,
Annual_Consumption_Fuel_TextileAndLeatherIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: Textile And Leather Industry, Liquefied Petroleum Gas",Annual Consumption of Liquefied Petroleum Gas in Textile And Leather Industries,,
Annual_Consumption_Fuel_TextileAndLeatherIndustry_NaturalGas,"Annual Consumption of Fuel: Textile And Leather Industry, Natural Gas",Annual Consumption of Natural Gas in Textile And Leather Industry;Annual Consumption of Natural Gas in Textile And Leather Industries,,
Annual_Consumption_Fuel_TransportEquipmentIndustry_NaturalGas,"Annual Consumption of Fuel: Transport Equipment Industry, Natural Gas",Annual Consumption Of Natural Gas In Transport Equipment Industries,,
Annual_Consumption_Fuel_TransportIndustry_AviationGasoline,"Annual Consumption of Fuel: Transport Industry, Aviation Gasoline",Annual Consumption of Aviation Gasoline in Transport Industries,,
Annual_Consumption_Fuel_TransportIndustry_BioDiesel,"Annual Consumption of Fuel: Transport Industry, Bio Diesel",Annual Consumption of Biodiesel in Transport Industry,,
Annual_Consumption_Fuel_TransportIndustry_BioGasoline,"Annual Consumption of Fuel: Transport Industry, Bio Gasoline",Annual Consumption of Bio Gasoline in Transport Industries,,
Annual_Consumption_Fuel_TransportIndustry_DieselOil,"Annual Consumption of Fuel: Transport Industry, Diesel Oil",Annual Consumption of Diesel Oil for Transport Industries,,
Annual_Consumption_Fuel_TransportIndustry_FuelOil,"Annual Consumption of Fuel: Transport Industry, Fuel Oil",Annual Consumption of Fuel Oil in Transport Industry,,
Annual_Consumption_Fuel_TransportIndustry_KeroseneJetFuel,"Annual Consumption of Fuel: Transport Industry, Kerosene Jet Fuel",Annual Consumption of Kerosene Jet Fuel in Transport Industries,,
Annual_Consumption_Fuel_TransportIndustry_LiquifiedPetroleumGas,"Annual Consumption of Fuel: Transport Industry, Liquefied Petroleum Gas",Annual Consumption of Liquefied Petroleum Gas For Transport Industries,,
Annual_Consumption_Fuel_TransportIndustry_MotorGasoline,"Annual Consumption of Fuel: Transport Industry, Motor Gasoline",Annual Consumption of Motor Gasoline in Transport Industries,,
Annual_Consumption_Fuel_TransportIndustry_NaturalGas,"Annual Consumption of Fuel: Transport Industry, Natural Gas",Annual Consumption Of Natural Gas In Transport Industries,,
Annual_Consumption_Fuel_UnspecifiedSector_Charcoal,"Annual Consumption of Fuel: UN_Unspecified Sector, Charcoal",Annual Consumption of Charcoal By Unspecified Sectors,,
Annual_Consumption_Fuel_UnspecifiedSector_DieselOil,"Annual Consumption of Fuel: UN_Unspecified Sector, Diesel Oil",Annual Consumption of Diesel Oil in Unspecified Sectors,,
Annual_Consumption_Fuel_UnspecifiedSector_FuelOil,"Annual Consumption of Fuel: UN_Unspecified Sector, Fuel Oil",Annual Consumption of Fuel Oil in Unspecified Sectors,,
Annual_Consumption_Fuel_UnspecifiedSector_Fuelwood,"Annual Consumption of Fuel: UN_Unspecified Sector, Fuelwood",Annual Consumption of Fuelwood in Unspecified Sectors,,
Annual_Consumption_Fuel_UnspecifiedSector_HardCoal,"Annual Consumption of Fuel: UN_Unspecified Sector, Hard Coal",Annual Consumption of Hard Coal in Unspecified Sector,,
Annual_Consumption_Fuel_UnspecifiedSector_Kerosene,"Annual Consumption of Fuel: UN_Unspecified Sector, EIA_Kerosene",Annual Consumption of Kerosene in Unspecified Sector,,
Annual_Consumption_Fuel_UnspecifiedSector_LiquifiedPetroleumGas,"Annual Consumption of Fuel: UN_Unspecified Sector, Liquefied Petroleum Gas",Annual Consumption of Liquefied Petroleum Gas in Unspecified Sector,,
Annual_Consumption_Fuel_UnspecifiedSector_MotorGasoline,"Annual Consumption of Fuel: UN_Unspecified Sector, Motor Gasoline",Annual Consumption of Motor Gasoline in UN Unspecified Sector Industries,,
Annual_Consumption_Fuel_UnspecifiedSector_NaturalGas,"Annual Consumption of Fuel: UN_Unspecified Sector, Natural Gas",Annual Consumption of Natural Gas in Unspecified Sectors,,
Annual_Consumption_Fuel_VegetalWaste,Annual Consumption of Fuel: Vegetal Waste,Annual Consumption of Vegetal Waste Fuels,,
Annual_Consumption_Fuel_WhiteSpirit,Annual Consumption of Fuel: White Spirit,Annual Consumption of White Spirit,,
Annual_Consumption_Fuel_WhiteSpirit_NonEnergyUse,"Annual Consumption of Fuel: White Spirit, Non Energy Use",Annual Consumption of White Spirit in Non-Energy Use,,
Annual_Consumption_Fuel_WoodAndWoodProductsIndustry_DieselOil,"Annual Consumption of Fuel: Wood And Wood Products Industry, Diesel Oil",Annual Consumption Of Diesel Oil By The Wood And Wood Products Industries,,
Annual_Consumption_Fuel_WoodAndWoodProductsIndustry_NaturalGas,"Annual Consumption of Fuel: Wood And Wood Products Industry, Natural Gas",Annual Consumption of Natural Gas in Wood And Wood Products Industries,,
Annual_Count_ElectricityConsumer_Commercial,"Number of customer accounts, commercial, annual",Annual Customer Consumer of Commercial Electricity,,
Annual_Count_ElectricityConsumer_Industrial,"Number of customer accounts, industrial, annual",Annual Electricity Consumers in Industrial,,
Annual_Count_ElectricityConsumer_Residential,"Number of customer accounts, residential, annual",Annual Electricity Consumers in Residential,,
Annual_Emissions_CarbonDioxide_Agriculture,"Annual Amount of Emissions: Agriculture, Carbon Dioxide",Annual Emissions of Carbon Dioxide From Agriculture,,
Annual_Emissions_CarbonDioxide_AluminumProduction,"Annual Amount of Emissions: Aluminum Production, Carbon Dioxide",Annual Emissions of Carbon Dioxide From Aluminum Production,,
Annual_Emissions_CarbonDioxide_Biogenic,"Annual Amount of Emissions: Biogenic Emission Source, Carbon Dioxide",Annual Emissions of Carbon Dioxide From Biogenic,,
Annual_Emissions_CarbonDioxide_CementProduction,"Annual Amount of Emissions: Cement Production, Carbon Dioxide",Annual Emissions of Carbon Dioxide From Cement Production,,
Annual_Emissions_CarbonDioxide_ChemicalPetrochemicalIndustry,"Annual Amount of Emissions: Chemical Petrochemical Industry, Carbon Dioxide",Annual Emissions of Carbon Dioxide From Chemical Petrochemical Industry,,
Annual_Emissions_CarbonDioxide_ClimateTrace_OtherEnergyUse,"Annual Amount of Emissions: Other Energy Use, Carbon Dioxide",Annual Emissions of Carbon Dioxide Climate Trace From Other Energy Use,,
Annual_Emissions_CarbonDioxide_ClimateTrace_OtherFossilFuelOperations,"Annual Amount of Emissions: Other Fossil Fuel Operations, Carbon Dioxide",Annual Emissions of Carbon Dioxide Climate Trace From Other Fossil Fuel Operations,,
Annual_Emissions_CarbonDioxide_ClimateTrace_OtherManufacturing,"Annual Amount of Emissions: Other Manufacturing, Carbon Dioxide",Annual Emissions of Carbon Dioxide Climate Trace From Other Manufacturing,,
Annual_Emissions_CarbonDioxide_ClimateTrace_OtherOnsiteFuelUsage,"Annual Amount of Emissions: Other Onsite Fuel Usage, Carbon Dioxide",Annual Emissions of Carbon Dioxide Climate Trace From Other Onsite Fuel Usage,,
Annual_Emissions_CarbonDioxide_ClimateTrace_OtherTransportation,"Annual Amount of Emissions: Other Transportation, Carbon Dioxide",Annual Emissions of Carbon Dioxide Climate Trace From Other Transportation,,
Annual_Emissions_CarbonDioxide_CoalMining,"Annual Amount of Emissions: Coal Mining, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Coal Mining,,
Annual_Emissions_CarbonDioxide_CopperMining,"Annual Amount of Emissions: Copper Mining, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Copper Mining,,
Annual_Emissions_CarbonDioxide_CroplandFire,"Annual Amount of Emissions: Cropland Fire, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Cropland Fire,,
Annual_Emissions_CarbonDioxide_ElectricityGeneration,"Annual Amount of Emissions: Electricity Generation, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Electricity Generation,,
Annual_Emissions_CarbonDioxide_FossilFuelOperations,"Annual Amount of Emissions: Fossil Fuel Operations, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Fossil Fuel Operations,,
Annual_Emissions_CarbonDioxide_FuelCombustionForDomesticAviation,"Annual Amount of Emissions: Fuel Combustion for Domestic Aviation, Carbon Dioxide",Annual Emissions of Carbon Dioxide For Domestic Aviation,,
Annual_Emissions_CarbonDioxide_FuelCombustionForInternationalAviation,"Annual Amount of Emissions: Fuel Combustion for International Aviation, Carbon Dioxide",Annual Emissions of Carbon Dioxide For International Aviation,,
Annual_Emissions_CarbonDioxide_FuelCombustionForRailways,"Annual Amount of Emissions: Fuel Combustion for Railways, Carbon Dioxide",Annual Emissions of Carbon Dioxide For Railways,,
Annual_Emissions_CarbonDioxide_FuelCombustionForResidentialCommercialOnsiteHeating,"Annual Amount of Emissions: Fuel Combustion for Residential Commercial Onsite Heating, Carbon Dioxide",Annual Emissions of Carbon Dioxide For Residential Commercial Onsite Heating,,
Annual_Emissions_CarbonDioxide_FuelCombustionForRoadVehicles,"Annual Amount of Emissions: Fuel Combustion for Road Vehicles, Carbon Dioxide",Annual Emissions of Carbon Dioxide For Road Vehicles,,
Annual_Emissions_CarbonDioxide_FuelCombustionInBuildings,"Annual Amount of Emissions: Fuel Combustion in Buildings, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Buildings,,
Annual_Emissions_CarbonDioxide_IronMining,"Annual Amount of Emissions: Iron Mining, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Iron Mining,,
Annual_Emissions_CarbonDioxide_Manufacturing,"Annual Amount of Emissions: Manufacturing, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Manufacturing,,
Annual_Emissions_CarbonDioxide_MaritimeShipping,"Annual Amount of Emissions: Maritime Shipping, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Maritime Shipping,,
Annual_Emissions_CarbonDioxide_MineralExtraction,"Annual Amount of Emissions: Mineral Extraction, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Net Forest,,
Annual_Emissions_CarbonDioxide_NetForestEmissions,"Annual Amount of Emissions: Net Forest Emissions, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Net Forest,,
Annual_Emissions_CarbonDioxide_NetGrasslandEmissions,"Annual Amount of Emissions: Net Grassland Emissions, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Net Grassland,,
Annual_Emissions_CarbonDioxide_NetWetlandEmissions,"Annual Amount of Emissions: Net Wetland Emissions, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Net Wetland,,
Annual_Emissions_CarbonDioxide_OilAndGasProduction,"Annual Amount of Emissions: Oil And Gas Production, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Oil and Gas Production,,
Annual_Emissions_CarbonDioxide_OilAndGasRefining,"Annual Amount of Emissions: Oil And Gas Refining, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Oil and Gas Refining,,
Annual_Emissions_CarbonDioxide_OpenBurningWaste,"Annual Amount of Emissions: Open Burning Waste, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Open Burning Waste,,
Annual_Emissions_CarbonDioxide_Power,"Annual Amount of Emissions: Power, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Power,,
Annual_Emissions_CarbonDioxide_PulpAndPaperManufacturing,"Annual Amount of Emissions: Pulp And Paper Manufacturing, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Pulp and Paper Manufacturing,,
Annual_Emissions_CarbonDioxide_RockQuarry,"Annual Amount of Emissions: Rock Quarry, Carbon Dioxide",Annual Emissions of Carbon Dioxide in Rock Quarry,,
