dcid,sentence
dc/topic/StudentsInHighSchool,Student in High School;Student in High School;students enrolled in high schools;high school students
dc/topic/StudentsInKindergarten,Students in Kindergarten;Students in Kindergarten;students in KG;KG students;kindergarten students
dc/topic/StudentsInMiddleSchool,middle school students by race
dc/topic/StudentsInPrimarySchool,Students in Primary School;Students in Primary School;students enrolled in primary school;primary school students
dc/topic/Suicide,Suicide;Suicide
dc/topic/SupportServicesStaffInSchools,Support Services Staff In Schools;Support Services Staff In Schools
dc/topic/Sustainability,Sustainability;Sustainability;green;sustainable
dc/topic/Tariffs,Tariffs;Tariffs
dc/topic/Teacher,Teacher;Teacher;teachers
dc/topic/TemperaturePredictions,Temperature Predicitions;Temperature Predicitions;temperature forecasts;temp forecast;max temp forecast;min temp forecast;temperature prediction;predict temperature
dc/topic/Temperatures,Temperature;Temperature;temperatures;max temp;min temp;maximum temperature;minimum temperature
dc/topic/Tornado,Tornado;Tornado
dc/topic/TransportationEmissionsByGas,Emissions from transportation;Emissions from transportation;Amount of gases emitted by the transportation sector;Total quantity of gases released by the transportation sector;The volume of emissions produced by transportation activities;Quantity of greenhouse gases emitted by vehicles and transportation systems;Total amount of gas emissions from the transportation industry;The sum of all gases released by transportation activities
dc/topic/Tsunami,Tsunami;Tsunami
dc/topic/Tuberculosis,Tuberculosis;Tuberculosis
dc/topic/TwoOrMoreRacesFemalePopulationByAge,Two Or More Races Female Population By Age;Two Or More Races Female Population By Age
dc/topic/TwoOrMoreRacesMalePopulationByAge,Two Or More Races Male Population By Age;Two Or More Races Male Population By Age
dc/topic/TwoOrMoreRacesPopulationByAge,Two Or More Races Population By Age;Two Or More Races Population By Age
dc/topic/UnemploymentRate,Unemployment Rate;Unemployment Rate;rate of unemployment;unemployment
dc/topic/UnintentionalPoisonings,Unintentional Poisonings;Unintentional Poisonings
dc/topic/UnpaidFamilyWorkers,Unpaid Family Workers;Unpaid Family Workers
dc/topic/UrbanFemalePopulationByAge,Urban Female Population By Age;Urban Female Population By Age
dc/topic/UrbanMalePopulationByAge,Urban Male Population By Age;Urban Male Population By Age
dc/topic/UrbanPopulationByAge,Urban Population By Age;Urban Population By Age
dc/topic/Vaccines,Vaccines;Vaccines
dc/topic/VeryOldAndVeryYoungPopulation,Very Old and Very Young Population;Very Old and Very Young Population;young children and old people;very old and very young
dc/topic/Veterans,Veterans;Veterans;veteran
dc/topic/VeteransByGender,Veterans By Gender;Veterans By Gender;gender of veterans;gender breakdown of veterans;veterans gender breakdown
dc/topic/VeteransByGroupQuartersResidence,Veterans By Group Quarters Residence;Veterans By Group Quarters Residence;residence of veterans
dc/topic/VeteransByWar,Veterans By War;Veterans By War;veterans by wars fought;wars veterans fought in
dc/topic/VeteransIncome,Veterans Income;Veterans Income;income of veterans;veterans earnings;earnings of veterans
dc/topic/Visibility,Visibility;Visibility
dc/topic/Volcano,Volcano;Volcano
dc/topic/Voting,Voting;Voting
dc/topic/WHOChildImmunization,Global Child Immunization;Child immunization rates;WHO child immunization
dc/topic/WHOChildImmunizationsByGender,Global Child Immunization by gender;Child Immunization by gender;WHO child immunization by gender;child immunization split by gender
dc/topic/WHOChildImmunizationsByUrbanRural,Global  Child Immunization by urban or rural;Child Immunization by urban or rural;WHO child immunization across urban or rural;rural or urban child immunization;child immunizations across rural and urban
dc/topic/WHOChildMortality,Global Child Mortality;Child Mortality;WHO child mortality;deaths among children
dc/topic/WHOChildrenNonCommunicableDiseases,Global Childen with Non Communicable Diseases;Childen with Non Communicable Diseases;WHO Childen with Non Communicable Diseases
dc/topic/WHODALYByCauses,Global DALY causes;Disability adjusted life years by causes;WHO DALY causes;WHO Disability adjusted life years by causes
dc/topic/WHOHealthBehavior,Global Health behaviors;WHO Health behaviors;Health behaviors WHO
dc/topic/WHOImmunization,Global Immunizations;Immunizations;WHO immunizations;immunization rates
dc/topic/WHOMaternalMortality,Global Maternal Mortality;Deaths among mothers;WHO maternal mortality
dc/topic/WHOMortality,global mortality
dc/topic/WHOMortalityCauses,Global Mortality Causes;WHO Mortality causes;mortality causes by WHO;causes of death WHO
dc/topic/WHONeglectedTropicalDiseases,Global Neglected Tropical Diseases;Ignored Tropical Diseases;WHO neglected tropical diseases;tropical diseases ignored WHO
dc/topic/WHONonCommunicableDiseaseDeaths,Global Non communicable disease deaths;Non communicable disease deaths;deaths due to non communicable disease;WHO deaths due to non communicable diseases
dc/topic/WHONonCommunicableDiseases,Global Non communicable diseases;Non communicable diseases;WHO non communicable diseases;non communicable diseases WHO
dc/topic/WetBulbEvent,Wet-Bulb Events;Wet-Bulb Events;wetbulb;wet bulb events;high humidity and high heat
dc/topic/WhiteAloneFemalePopulationByAge,White Female Population By Age;White Female Population By Age
dc/topic/WhiteAloneMalePopulationByAge,White Male Population By Age;White Male Population By Age
dc/topic/WhiteAlonePopulationByAge,White Population By Age;White Population By Age
dc/topic/WidowedFemalePopulationByAge,Widowed Female Population By Age;Widowed Female Population By Age
dc/topic/WidowedMalePopulationByAge,Widowed Male Population By Age;Widowed Male Population By Age
dc/topic/WidowedPopulationByAge,Widowed Population By Age;Widowed Population By Age
dc/topic/WidowedPopulationByDemographic,Widowed Population by Demographic;Widowed Population by Demographic;demographics of the widowed population;demographics of people who are widowed
dc/topic/WithHealthInsuranceByGender,Having Health Insurance by gender;Having Health Insurance by gender;People with health insurance split by gender
dc/topic/WithHealthInsuranceByRace,Having Health Insurance by race;Having Health Insurance by race;People with health insurance split by race;racial breakdown of people with health insurance
dc/topic/WorkCommute,Work Commute;journey to work;travel to work;commute mode;Work commute
dc/topic/YearlyProjectedTemperatureHighs,Projected max temperature for the year;Projected max temperature for the year;yearly projected max temperature;maximum temperature projected year;temperature highs for the year
dc/topic/YearlyProjectedTemperatureLows,Projected min temperature for the year;Projected min temperature for the year;yearly projected min temperature;minimum temperature projected year;temperature lows for the year
