dcid,Name,Description,Override_Alternatives,Curated_Alternatives
sdg/SE_ADT_ACTS.URBANISATION--U__SEX--M__TYPE_OF_SKILL--SKILL_ICTSSHT,Proportion of youth and adults with information and communications technology skills [Location = Urban | Sex = Male | Type of skill = Using basic arithmetic formula in a spreadsheet],Proportion of youth and adults with information and communications technology skills [Location = Urban | Sex = Male | Type of skill = Using basic arithmetic formula in a spreadsheet],,
sdg/SE_ADT_ACTS.URBANISATION--U__SEX--M__TYPE_OF_SKILL--SKILL_ICTTRFF,Proportion of youth and adults with information and communications technology skills [Location = Urban | Sex = Male | Type of skill = Transferring files between a computer and other devices],Proportion of youth and adults with information and communications technology skills [Location = Urban | Sex = Male | Type of skill = Transferring files between a computer and other devices],,
sdg/SE_ADT_ACTS.URBANISATION--U__SEX--M__TYPE_OF_SKILL--SKILL_ICTVRFY,Proportion of youth and adults with information and communications technology skills [Location = Urban | Sex = Male | Type of skill = Verifying the reliability of information found online ],Proportion of youth and adults with information and communications technology skills [Location = Urban | Sex = Male | Type of skill = Verifying the reliability of information found online ],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTATCH,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Sending e-mails with attached files],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Sending e-mails with attached files],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTCDV,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Connecting and installing new devices],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Connecting and installing new devices],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTCMFL,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Copying or moving a file or folder],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Copying or moving a file or folder],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTCPT,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Using copy and paste tools to duplicate or move information within a document],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Using copy and paste tools to duplicate or move information within a document],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTPRGM,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Writing a computer program using a specialized programming language],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Writing a computer program using a specialized programming language],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTPRVCY,"Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)]","Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)]",,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTPST,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Creating electronic presentations with presentation software],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Creating electronic presentations with presentation software],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTSCRTY,"Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts]","Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts]",,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTSFWR,"Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Finding, downloading, installing and configuring software]","Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Finding, downloading, installing and configuring software]",,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTSSHT,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Using basic arithmetic formula in a spreadsheet],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Using basic arithmetic formula in a spreadsheet],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTTRFF,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Transferring files between a computer and other devices],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Transferring files between a computer and other devices],,
sdg/SE_ADT_ACTS.URBANISATION--U__TYPE_OF_SKILL--SKILL_ICTVRFY,Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Verifying the reliability of information found online ],Proportion of youth and adults with information and communications technology skills [Location = Urban | Type of skill = Verifying the reliability of information found online ],,
sdg/SE_ADT_EDUCTRN.AGE--Y15T24,Participation rate in formal and non-formal education and training [Age = 15 to 24 years old],Participation rate in formal and non-formal education and training [Age = 15 to 24 years old],,
sdg/SE_ADT_EDUCTRN.AGE--Y15T24__SEX--F,Participation rate in formal and non-formal education and training [Age = 15 to 24 years old | Sex = Female],Participation rate in formal and non-formal education and training [Age = 15 to 24 years old | Sex = Female],,
sdg/SE_ADT_EDUCTRN.AGE--Y15T24__SEX--M,Participation rate in formal and non-formal education and training [Age = 15 to 24 years old | Sex = Male],Participation rate in formal and non-formal education and training [Age = 15 to 24 years old | Sex = Male],,
sdg/SE_ADT_EDUCTRN.AGE--Y15T64,Participation rate in formal and non-formal education and training [Age = 15 to 64 years old],Participation rate in formal and non-formal education and training [Age = 15 to 64 years old],,
sdg/SE_ADT_EDUCTRN.AGE--Y15T64__SEX--F,Participation rate in formal and non-formal education and training [Age = 15 to 64 years old | Sex = Female],Participation rate in formal and non-formal education and training [Age = 15 to 64 years old | Sex = Female],,
sdg/SE_ADT_EDUCTRN.AGE--Y15T64__SEX--M,Participation rate in formal and non-formal education and training [Age = 15 to 64 years old | Sex = Male],Participation rate in formal and non-formal education and training [Age = 15 to 64 years old | Sex = Male],,
sdg/SE_ADT_EDUCTRN.AGE--Y25T54,Participation rate in formal and non-formal education and training [Age = 25 to 54 years old],Participation rate in formal and non-formal education and training [Age = 25 to 54 years old],,
sdg/SE_ADT_EDUCTRN.AGE--Y25T54__SEX--F,Participation rate in formal and non-formal education and training [Age = 25 to 54 years old | Sex = Female],Participation rate in formal and non-formal education and training [Age = 25 to 54 years old | Sex = Female],,
sdg/SE_ADT_EDUCTRN.AGE--Y25T54__SEX--M,Participation rate in formal and non-formal education and training [Age = 25 to 54 years old | Sex = Male],Participation rate in formal and non-formal education and training [Age = 25 to 54 years old | Sex = Male],,
sdg/SE_ADT_EDUCTRN.AGE--Y55T64,Participation rate in formal and non-formal education and training [Age = 55 to 64 years old],Participation rate in formal and non-formal education and training [Age = 55 to 64 years old],,
sdg/SE_ADT_EDUCTRN.AGE--Y55T64__SEX--F,Participation rate in formal and non-formal education and training [Age = 55 to 64 years old | Sex = Female],Participation rate in formal and non-formal education and training [Age = 55 to 64 years old | Sex = Female],,
sdg/SE_ADT_EDUCTRN.AGE--Y55T64__SEX--M,Participation rate in formal and non-formal education and training [Age = 55 to 64 years old | Sex = Male],Participation rate in formal and non-formal education and training [Age = 55 to 64 years old | Sex = Male],,
sdg/SE_ADT_FUNS.AGE--Y16T65__SEX--F__TYPE_OF_SKILL--SKILL_LTRCY,Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Female | Type of skill = Literacy],Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Female | Type of skill = Literacy],,
sdg/SE_ADT_FUNS.AGE--Y16T65__SEX--F__TYPE_OF_SKILL--SKILL_NMRCY,Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Female | Type of skill = Numeracy],Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Female | Type of skill = Numeracy],,
sdg/SE_ADT_FUNS.AGE--Y16T65__SEX--M__TYPE_OF_SKILL--SKILL_LTRCY,Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Male | Type of skill = Literacy],Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Male | Type of skill = Literacy],,
sdg/SE_ADT_FUNS.AGE--Y16T65__SEX--M__TYPE_OF_SKILL--SKILL_NMRCY,Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Male | Type of skill = Numeracy],Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Sex = Male | Type of skill = Numeracy],,
sdg/SE_ADT_FUNS.AGE--Y16T65__TYPE_OF_SKILL--SKILL_LTRCY,Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Type of skill = Literacy],Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Type of skill = Literacy],,
sdg/SE_ADT_FUNS.AGE--Y16T65__TYPE_OF_SKILL--SKILL_NMRCY,Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Type of skill = Numeracy],Proportion of population achieving at least a fixed level of proficiency in functional skills [Age = 16 to 65 years old | Type of skill = Numeracy],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_1,Adjusted gender parity index for completion rate [Education level = Primary],Adjusted gender parity index for completion rate [Education level = Primary],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Education level = Primary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_2,Adjusted gender parity index for completion rate [Education level = Lower secondary],Adjusted gender parity index for completion rate [Education level = Lower secondary],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_3,Adjusted gender parity index for completion rate [Education level = Upper secondary],Adjusted gender parity index for completion rate [Education level = Upper secondary],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Education level = Upper secondary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_1,Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary],Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Location = Rural | Education level = Primary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_2,Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary],Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Location = Rural | Education level = Lower secondary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_3,Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary],Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.URBANISATION--R__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Location = Rural | Education level = Upper secondary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_1,Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary],Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Location = Urban | Education level = Primary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_2,Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary],Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Location = Urban | Education level = Lower secondary | Quantile = Quantile 5 (richest)],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_3,Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary],Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q1,Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 1 (poorest)],Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q2,Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 2],Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 2],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q3,Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 3],Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 3],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q4,Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 4],Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 4],,
sdg/SE_AGP_CPRA.URBANISATION--U__EDUCATION_LEV--ISCED11_3__INCOME_WEALTH_QUANTILE--Q5,Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 5 (richest)],Adjusted gender parity index for completion rate [Location = Urban | Education level = Upper secondary | Quantile = Quantile 5 (richest)],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_1,Adjusted location parity index for completion rate [Education level = Primary],Adjusted location parity index for completion rate [Education level = Primary],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q1,Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 1 (poorest)],Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 1 (poorest)],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q2,Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 2],Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 2],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q3,Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 3],Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 3],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q4,Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 4],Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 4],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_1__INCOME_WEALTH_QUANTILE--Q5,Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 5 (richest)],Adjusted location parity index for completion rate [Education level = Primary | Quantile = Quantile 5 (richest)],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_2,Adjusted location parity index for completion rate [Education level = Lower secondary],Adjusted location parity index for completion rate [Education level = Lower secondary],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q1,Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 1 (poorest)],Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 1 (poorest)],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q2,Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 2],Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 2],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q3,Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 3],Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 3],,
sdg/SE_ALP_CPLR.EDUCATION_LEV--ISCED11_2__INCOME_WEALTH_QUANTILE--Q4,Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 4],Adjusted location parity index for completion rate [Education level = Lower secondary | Quantile = Quantile 4],,
