DCID	Starter Summary	The Carl Sagan inspired prompt	Strict
geoId/08	Colorado is a state in United States. The population in Colorado was 5,839,926 in 2022. The median age in Colorado was 37.1 in 2021. The median income in Colorado was $40,259 in 2021. The unemployment rate in Colorado was 3.2% in 2023. The life expectancy in Colorado was 78.3 in 2020. The percentage of people with obesity in Colorado was 25.81% in 2021. The percentage of people who binge drink in Colorado was 19.37% in 2021. The percentage of people who smoke in Colorado was 13.61% in 2021.	Colorado, a state nestled in the American West, is home to 5,839,926 residents. With a median age of 37.1 years in 2021, the state maintains a balanced demographic. In 2021, the median income stood at $40,259. While the unemployment rate dipped to an encouraging 3.2% in 2023, indicating economic progress, health concerns persist, with 25.81% of the population affected by obesity in 2021. Colorado enjoys a longer life expectancy of 78.3 years (as of 2020).	Colorado, a western U.S. state, had a population of 5,839,926 in 2022. The median age in 2021 was 37.1 years, with a median income of $40,259. Colorado's unemployment rate in 2023 stood at 3.2%. Life expectancy in the state was 78.3 years in 2020. Additionally, in 2021, 25.81% of the population was classified as obese, 19.37% reported binge drinking, and 13.61% were smokers.
geoId/0804000	Aurora is a city in Douglas County, Arapahoe County, Adams County, Colorado, United States. The population in Aurora was 393,537 in 2022. The median age in Aurora was 35 in 2021. The median income in Aurora was $37,150 in 2021. The unemployment rate in Aurora was 3.3% in 2023. The percentage of people with obesity in Aurora was 28.2% in 2021. The percentage of people who binge drink in Aurora was 17.7% in 2021. The percentage of people who smoke in Aurora was 15.8% in 2021.	Aurora, a city spanning Douglas, Arapahoe, and Adams counties in Colorado, is home to 393,537 residents (as of 2022). With a median age of 35 years in 2021, the city maintains a youthful population. In 2021, the median income stood at $37,150. The unemployment rate dipped to an encouraging 3.3% in 2023, indicating economic progress. While health concerns persist, with 28.2% of the population affected by obesity in 2021, Aurora enjoys a lower smoking rate of 15.8% compared to the state average.	Aurora, a city spanning Douglas, Arapahoe, and Adams counties in Colorado, had a population of 393,537 in 2022. The median age in 2021 was 35 years, and the median income was $37,150. The unemployment rate in Aurora stood at 3.3% in 2023. Additionally, in 2021, 28.2% of the population was classified as obese, 17.7% reported binge drinking, and 15.8% were smokers.
geoId/0816000	Colorado Springs is a city in El Paso County, Colorado, United States. The population in Colorado Springs was 486,248 in 2022. The median age in Colorado Springs was 34.9 in 2021. The median income in Colorado Springs was $36,432 in 2021. The unemployment rate in Colorado Springs was 3.2% in 2023. The percentage of people with obesity in Colorado Springs was 28.4% in 2021. The percentage of people who binge drink in Colorado Springs was 15.8% in 2021. The percentage of people who smoke in Colorado Springs was 14.5% in 2021.	 Colorado Springs, a city nestled within El Paso County, Colorado, is home to 486,248 residents (as of 2022). With a median age of 34.9 years in 2021, the city maintains a youthful population. In 2021, the median income stood at $36,432. The unemployment rate dipped to an encouraging 3.2% in 2023, indicating economic progress. While health concerns persist, with 28.4% of the population affected by obesity in 2021, Colorado Springs enjoys a lower smoking rate of 14.5% compared to the state average.	Colorado Springs, a city located in El Paso County, Colorado, had a population of 486,248 in 2022. The median age in 2021 was 34.9 years, with a median income of $36,432. In 2023, Colorado Springs' unemployment rate was 3.2%. Additionally, in 2021, 28.4% of the population was classified as obese, 15.8% reported binge drinking, and 14.5% were smokers.
geoId/0820000	Denver is a city in Denver, Colorado, United States. The population in Denver was 713,252 in 2022. The median age in Denver was 34.8 in 2021. The median income in Denver was $45,457 in 2021. The unemployment rate in Denver was 3.4% in 2023. The percentage of people with obesity in Denver was 22.4% in 2021. The percentage of people who binge drink in Denver was 21% in 2021. The percentage of people who smoke in Denver was 13% in 2021.	 Denver, the capital city of Colorado, is home to 713,252 residents (as of 2022). With a median age of 34.8 years in 2021, the city maintains a youthful population. In 2021, the median income stood at $45,457. The unemployment rate dipped to an encouraging 3.4% in 2023, indicating economic progress. While health concerns persist, with 22.4% of the population affected by obesity in 2021, Denver enjoys a lower smoking rate of 13% compared to the state average.	Denver, a city within Denver County, Colorado, had a population of 713,252 in 2022. The median age in 2021 was 34.8 years, with a median income of $45,457. In 2023, the unemployment rate stood at 3.4%. Additionally, in 2021, 22.4% of Denver's population was classified as obese, 21% reported binge drinking, and 13% were smokers.
geoId/09	Connecticut is a state in United States. The population in Connecticut was 3,626,205 in 2022. The median age in Connecticut was 41 in 2021. The median income in Connecticut was $40,682 in 2021. The unemployment rate in Connecticut was 3.5% in 2023. The life expectancy in Connecticut was 78.4 in 2020. The percentage of people with obesity in Connecticut was 30.66% in 2021. The percentage of people who binge drink in Connecticut was 15.86% in 2021. The percentage of people who smoke in Connecticut was 14.17% in 2021.	 Connecticut, a state in the northeastern United States, is home to 3,626,205 residents (as of 2022). With a median age of 41 years in 2021, the state maintains a mature demographic. In 2021, the median income stood at $40,682. The unemployment rate dipped to an encouraging 3.5% in 2023, indicating economic progress. While health concerns persist, with 30.66% of the population affected by obesity in 2021, Connecticut enjoys a lower smoking rate of 14.17% compared to the national average.	Connecticut, a state in the northeastern United States, had a population of 3,626,205 in 2022. In 2021, the median age was 41 years, with a median income of $40,682. Connecticut's unemployment rate in 2023 was 3.5%. Life expectancy in 2020 was 78.4 years. Additionally, in 2021, 30.66% of the population was classified as obese, 15.86% reported binge drinking, and 14.17% were smokers.
geoId/10	Delaware is a state in United States. The population in Delaware was 1,018,396 in 2022. The median age in Delaware was 41.1 in 2021. The median income in Delaware was $36,872 in 2021. The unemployment rate in Delaware was 3.8% in 2023. The life expectancy in Delaware was 76.7 in 2020. The percentage of people with obesity in Delaware was 36.46% in 2021. The percentage of people who binge drink in Delaware was 15.28% in 2021. The percentage of people who smoke in Delaware was 15.32% in 2021.	 Delaware, a small Mid-Atlantic U.S. state, is home to 1,018,396 residents (as of 2022). With a median age of 41.1 years in 2021, the state maintains a mature demographic. In 2021, the median income stood at $36,872. The unemployment rate dipped to an encouraging 3.8% in 2023, indicating economic progress. While health concerns persist, with 36.46% of the population affected by obesity in 2021, Delaware enjoys a lower smoking rate of 15.32% compared to the national average.	Delaware, a state in the eastern United States, had a population of 1,018,396 in 2022. The median age in 2021 was 41.1 years, with a median income of $36,872. In 2023, Delaware's unemployment rate stood at 3.8%. Life expectancy in 2020 was 76.7 years. Additionally, in 2021, 36.46% of the population was classified as obese, 15.28% reported binge drinking, and 15.32% were smokers.
geoId/11	District of Columbia is a state in United States. The population in District of Columbia was 671,803 in 2022. The median age in District of Columbia was 34.3 in 2021. The median income in District of Columbia was $58,142 in 2021. The unemployment rate in District of Columbia was 4.8% in 2023. The life expectancy in District of Columbia was 78 in 2019. The percentage of people with obesity in District of Columbia was 25.23% in 2021. The percentage of people who binge drink in District of Columbia was 20.7% in 2021. The percentage of people who smoke in District of Columbia was 12.03% in 2021.	The District of Columbia, the capital of the United States, is home to 671,803 residents (as of 2022). With a median age of 34.3 years in 2021, the city maintains a youthful population. In 2021, the median income stood at $58,142. The unemployment rate dipped to an encouraging 4.8% in 2023, indicating economic progress. While health concerns persist, with 25.23% of the population affected by obesity in 2021, the District of Columbia enjoys a lower smoking rate of 12.03% compared to the national average.	The District of Columbia, a federal district in the United States, had a population of 671,803 in 2022. The median age in 2021 was 34.3 years, with a median income of $58,142. The unemployment rate in 2023 stood at 4.8%. Life expectancy in the District was 78 years in 2019. Additionally, in 2021, 25.23% of the population was classified as obese, 20.7% reported binge drinking, and 12.03% were smokers.
geoId/1150000	Washington is a city in District of Columbia, District of Columbia, United States. The population in Washington was 671,803 in 2022. The median age in Washington was 34.3 in 2021. The median income in Washington was $58,142 in 2021. The unemployment rate in Washington was 4.8% in 2023. The percentage of people with obesity in Washington was 25.6% in 2021. The percentage of people who binge drink in Washington was 20.7% in 2021. The percentage of people who smoke in Washington was 12.4% in 2021.	 Washington D.C., the capital of the United States, is home to 671,803 residents (as of 2022). With a median age of 34.3 years in 2021, the city maintains a youthful population. In 2021, the median income stood at $58,142. The unemployment rate dipped to an encouraging 4.8% in 2023, indicating economic progress. While health concerns persist, with 25.6% of the population affected by obesity in 2021, Washington D.C. enjoys a lower smoking rate of 12.4% compared to the national average.	Washington D.C., the capital of the United States, had a population of 671,803 in 2022.  The median age in 2021 was 34.3 years, with a median income of $58,142. In 2023, the city's unemployment rate was 4.8%. Additionally, in 2021, 25.6% of the population was classified as obese, 20.7% reported binge drinking, and 12.4% were smokers.
geoId/12	Florida is a state in United States. The population in Florida was 22,244,823 in 2022. The median age in Florida was 42.3 in 2021. The median income in Florida was $31,169 in 2021. The unemployment rate in Florida was 2.9% in 2023. The life expectancy in Florida was 77.5 in 2020. The percentage of people with obesity in Florida was 31.22% in 2020. The percentage of people who binge drink in Florida was 15.78% in 2020. The percentage of people who smoke in Florida was 17.86% in 2020.	Florida is a state in United States. The population in Florida was 22,244,823 in 2022. The median age in Florida was 42.3 in 2021. The median income in Florida was $31,169 in 2021. The unemployment rate in Florida was 2.9% in 2023. The life expectancy in Florida was 77.5 in 2020. The percentage of people with obesity in Florida was 31.22% in 2020. The percentage of people who binge drink in Florida was 15.78% in 2020. The percentage of people who smoke in Florida was 17.86% in 2020.	Florida, a state in the southeastern United States, had a population of 22,244,823 in 2022. The median age in Florida was 42.3 years in 2021, and the median income was $31,169 that same year. The state's unemployment rate in 2023  was 2.9%. Life expectancy in Florida was 77.5 years in 2020. Additionally, in 2020, 31.22% of the population was classified as obese, 15.78% reported binge drinking, and 17.86% were smokers.
geoId/1235000	Jacksonville is a city in Nassau County, Duval County, Florida, United States. The population in Jacksonville was 971,319 in 2022. The median age in Jacksonville was 36.2 in 2021. The median income in Jacksonville was $32,471 in 2021. The unemployment rate in Jacksonville was 3.1% in 2023. The percentage of people with obesity in Jacksonville was 35.2% in 2020. The percentage of people who binge drink in Jacksonville was 16.3% in 2020. The percentage of people who smoke in Jacksonville was 20% in 2020.	Jacksonville, a city located in Florida's Nassau and Duval counties, is home to 971,319 residents (as of 2022).  With a median age of 36.2 years in 2021, the city maintains a youthful balance. In 2021, the median income stood at $32,471. The unemployment rate dipped to an encouraging 3.1% in 2023, indicating economic progress. While health concerns persist, with 35.2% of the population affected by obesity in 2020, the city has a smoking rate of 20%.	Jacksonville, a city located in Duval and Nassau counties, Florida, had a population of 971,319 in 2022. The median age in 2021 was 36.2 years, with a median income of $32,471. In 2023, Jacksonville's unemployment rate stood at 3.1%. Additionally, in 2020, 35.2% of the population was classified as obese, 16.3% reported binge drinking, and 20% were smokers.
geoId/1245000	Miami is a city in Miami-Dade County, Florida, United States. The population in Miami was 449,514 in 2022. The median age in Miami was 39.9 in 2021. The median income in Miami was $25,638 in 2021. The unemployment rate in Miami was 1.3% in 2023. The percentage of people with obesity in Miami was 31.8% in 2020. The percentage of people who binge drink in Miami was 13.6% in 2020. The percentage of people who smoke in Miami was 17.1% in 2020.	Miami, a vibrant city within Florida's Miami-Dade County, is home to 449,514 residents (as of 2022). With a median age of 39.9 years in 2021, the city maintains a balanced demographic. In 2021, the median income stood at $25,638. The unemployment rate dipped to an impressive 1.3% in 2023, showcasing economic progress. While health concerns persist, with 31.8% of the population affected by obesity in 2020, the city has a smoking rate of 17.1%.	Miami, a city within Miami-Dade County, Florida, had a population of 449,514 in 2022. The median age in 2021 was 39.9 years, with a median income of $25,638. In 2023, the city's unemployment rate stood at a remarkably low 1.3%. Additionally, in 2020, 31.8% of Miami's population was classified as obese, 13.6% reported binge drinking, and 17.1% were smokers.
geoId/1253000	Orlando is a city in Orange County, Florida, United States. The population in Orlando was 316,081 in 2022. The median age in Orlando was 34.4 in 2021. The median income in Orlando was $31,578 in 2021. The unemployment rate in Orlando was 2.9% in 2023. The percentage of people with obesity in Orlando was 31.1% in 2020. The percentage of people who binge drink in Orlando was 14.1% in 2020. The percentage of people who smoke in Orlando was 17.7% in 2020.	Orlando, a city nestled in Florida's Orange County, is home to 316,081 residents (as of 2022). With a median age of 34.4 years in 2021, the city maintains a youthful population. In 2021, the median income stood at $31,578. The unemployment rate dipped to an encouraging 2.9% in 2023, indicating economic progress. While health concerns persist, with 31.1% of the population affected by obesity in 2020, the city has a smoking rate of 17.7%.	Orlando, a city located in Orange County, Florida, had a population of 316,081 in 2022. In 2021, the median age was 34.4 years, with a median income of $31,578. Orlando's unemployment rate stood at 2.9% in 2023. Additionally, in 2020, 31.1% of the population was classified as obese, 14.1% reported binge drinking, and 17.7% were smokers.
geoId/1263000	St. Petersburg is a city in Pinellas County, Florida, United States. The population in St. Petersburg was 261,256 in 2022. The median age in St. Petersburg was 42.9 in 2021. The median income in St. Petersburg was $35,308 in 2021. The unemployment rate in St. Petersburg was 2.8% in 2023. The percentage of people with obesity in St. Petersburg was 28.7% in 2020. The percentage of people who binge drink in St. Petersburg was 16.9% in 2020. The percentage of people who smoke in St. Petersburg was 19.5% in 2020.	 St. Petersburg, a city within Florida's Pinellas County, is home to 261,256 residents (as of 2022). With a median age of 42.9 years in 2021, the city maintains a mature demographic. In 2021, the median income stood at $35,308. The unemployment rate dipped to an encouraging 2.8% in 2023, indicating economic progress. While health concerns persist, with 28.7% of the population affected by obesity in 2020, the city has a smoking rate of 19.5%.	St. Petersburg, a city located in Pinellas County, Florida, had a population of 261,256 in 2022. The median age in 2021 was 42.9 years, with a median income of $35,308 that same year. In 2023, the  unemployment rate in St. Petersburg was 2.8%. Additionally, in 2020, 28.7% of the population was classified as obese, 16.9% reported binge drinking, and 19.5% were smokers.
geoId/1271000	Tampa is a city in Hillsborough County, Florida, United States. The population in Tampa was 398,173 in 2022. The median age in Tampa was 35.9 in 2021. The median income in Tampa was $33,225 in 2021. The unemployment rate in Tampa was 3.2% in 2023. The percentage of people with obesity in Tampa was 31.6% in 2020. The percentage of people who binge drink in Tampa was 15.8% in 2020. The percentage of people who smoke in Tampa was 18% in 2020.	Tampa is a city in Hillsborough County, Florida, United States. The population in Tampa was 398,173 in 2022. The median age in Tampa was 35.9 in 2021. The median income in Tampa was $33,225 in 2021. The unemployment rate in Tampa was 3.2% in 2023. The percentage of people with obesity in Tampa was 31.6% in 2020. The percentage of people who binge drink in Tampa was 15.8% in 2020. The percentage of people who smoke in Tampa was 18% in 2020.	Tampa, a city located within Hillsborough County, Florida, had a population of 398,173 in 2022. The median age in 2021 was 35.9 years, with a median income of $33,225. Tampa's unemployment rate stood at 3.2% in 2023. Additionally, in 2020, 31.6% of the population was classified as obese, 15.8% reported binge drinking, and 18% were smokers.
geoId/13	Georgia is a state in United States. The population in Georgia was 10,912,876 in 2022. The median age in Georgia was 37.1 in 2021. The median income in Georgia was $32,657 in 2021. The unemployment rate in Georgia was 3% in 2023. The life expectancy in Georgia was 75.6 in 2020. The percentage of people with obesity in Georgia was 35.07% in 2021. The percentage of people who binge drink in Georgia was 15.13% in 2021. The percentage of people who smoke in Georgia was 16.32% in 2021.		Georgia, a southeastern U.S. state, had a population of 10,912,876 in 2022. The median age in 2021 was 37.1 years, with a median income of $32,657. In 2023, Georgia's unemployment rate stood at 3%. Life expectancy in 2020 was 75.6 years. Additionally, in 2021, 35.07% of the population was classified as obese, 15.13% reported binge drinking, and 16.32% were smokers.
geoId/1304000	Atlanta is a city in Fulton County, DeKalb County, Cobb County, Georgia, United States. The population in Atlanta was 499,127 in 2022. The median age in Atlanta was 33.4 in 2021. The median income in Atlanta was $40,384 in 2021. The unemployment rate in Atlanta was 3.9% in 2023. The percentage of people with obesity in Atlanta was 32.5% in 2021. The percentage of people who binge drink in Atlanta was 15.6% in 2021. The percentage of people who smoke in Atlanta was 15.7% in 2021.		Atlanta, a city spanning Fulton, DeKalb, and Cobb counties in Georgia, had a population of 499,127 in 2022. In 2021, the median age in Atlanta was 33.4 years, with a median income of $40,384. The city's unemployment rate in 2023 stood at 3.9%. Additionally, in 2021, 32.5% of the population was classified as obese, 15.6% reported binge drinking, and 15.7% were smokers.
geoId/15	Hawaii is a state in United States. The population in Hawaii was 1,440,196 in 2022. The median age in Hawaii was 39.6 in 2021. The median income in Hawaii was $38,869 in 2021. The unemployment rate in Hawaii was 2.9% in 2023. The life expectancy in Hawaii was 80.7 in 2020. The percentage of people with obesity in Hawaii was 24.82% in 2021. The percentage of people who binge drink in Hawaii was 18.37% in 2021. The percentage of people who smoke in Hawaii was 11.85% in 2021.		Hawaii, a U.S. state in the Pacific Ocean, had a population of 1,440,196 in 2022. The median age in 2021 was 39.6 years, with a median income of $38,869. Hawaii's unemployment rate in 2023 was 2.9%. Life expectancy in 2020 was 80.7 years. Additionally, in 2021, 24.82% of the population was classified as obese, 18.37% reported binge drinking, and 11.85% were smokers.
geoId/1517000	Honolulu is a city in Honolulu County, Hawaii, United States. The population in Honolulu was 395,327 in 1999.		Honolulu, a city in Honolulu County, Hawaii, United States, had a population of 395,327 in 1999. 
geoId/1571550	Urban Honolulu is a city in Honolulu County, Hawaii, United States. The population in Urban Honolulu was 343,421 in 2022. The median age in Urban Honolulu was 42.1 in 2021. The median income in Urban Honolulu was $38,985 in 2021. The percentage of people with obesity in Urban Honolulu was 22.9% in 2021. The percentage of people who binge drink in Urban Honolulu was 16.5% in 2021. The percentage of people who smoke in Urban Honolulu was 11.4% in 2021.		Urban Honolulu, a city within Honolulu County, Hawaii, had a population of 343,421 in 2022. In 2021, the median age was 42.1 years, and the median income was $38,985. Additionally, in 2021, 22.9% of the population was classified as obese, 16.5% reported binge drinking, and 11.4% were smokers.
geoId/16	Idaho is a state in United States. The population in Idaho was 1,939,033 in 2022. The median age in Idaho was 36.8 in 2021. The median income in Idaho was $30,621 in 2021. The unemployment rate in Idaho was 3.1% in 2023. The life expectancy in Idaho was 78.4 in 2020. The percentage of people with obesity in Idaho was 32.93% in 2021. The percentage of people who binge drink in Idaho was 16.04% in 2021. The percentage of people who smoke in Idaho was 15.64% in 2021.		Idaho, a state in the northwestern United States, had a population of 1,939,033 in 2022. The median age in 2021 was 36.8 years, with a median income of $30,621. Idaho's unemployment rate stood at 3.1% in 2023. Life expectancy in the state was 78.4 years in 2020. Additionally, in 2021, 32.93% of the population was classified as obese, 16.04% reported binge drinking, and 15.64% were smokers.
geoId/17	Illinois is a state in United States. The population in Illinois was 12,582,032 in 2022. The median age in Illinois was 38.5 in 2021. The median income in Illinois was $36,729 in 2021. The unemployment rate in Illinois was 4.2% in 2023. The life expectancy in Illinois was 76.8 in 2020. The percentage of people with obesity in Illinois was 33.66% in 2021. The percentage of people who binge drink in Illinois was 17.2% in 2021. The percentage of people who smoke in Illinois was 14.62% in 2021.		Illinois, a state in the midwestern United States, had a population of 12,582,032 in 2022. The median age in 2021 was 38.5 years, and the median income was $36,729 that year. In 2023, the unemployment rate stood at 4.2%. Life expectancy in Illinois was 76.8 years in 2020. Additionally, in 2021, 33.66% of the population was classified as obese, 17.2% reported binge drinking, and 14.62% were smokers.
geoId/1714000	Chicago is a city in DuPage County, Cook County, Illinois, United States. The population in Chicago was 2,665,039 in 2022. The median age in Chicago was 35.1 in 2021. The median income in Chicago was $36,261 in 2021. The unemployment rate in Chicago was 4.9% in 2023. The percentage of people with obesity in Chicago was 34.1% in 2021. The percentage of people who binge drink in Chicago was 16.5% in 2021. The percentage of people who smoke in Chicago was 15.1% in 2021.		Chicago, a city located primarily in Cook County, Illinois (with a small portion in DuPage County), had a population of 2,665,039 in 2022. The median age in 2021 was 35.1 years, with a median income of $36,261. In 2023, Chicago's unemployment rate stood at 4.9%. Additionally, in 2021, 34.1% of the population was classified as obese, 16.5% reported binge drinking, and 15.1% were smokers.
geoId/18	Indiana is a state in United States. The population in Indiana was 6,833,037 in 2022. The median age in Indiana was 37.9 in 2021. The median income in Indiana was $32,716 in 2021. The unemployment rate in Indiana was 3.4% in 2023. The life expectancy in Indiana was 75 in 2020. The percentage of people with obesity in Indiana was 37.68% in 2021. The percentage of people who binge drink in Indiana was 16.78% in 2021. The percentage of people who smoke in Indiana was 19.04% in 2021.		Indiana, a state in the midwestern United States, had a population of 6,833,037 in 2022. The median age in 2021 was 37.9 years, with a median income of $32,716. In 2023, the state's unemployment rate stood at 3.4%. Life expectancy in Indiana was 75 years in 2020. Additionally, in 2021, 37.68% of the population was classified as obese, 16.78% reported binge drinking, and 19.04% were smokers.
geoId/1825000	Fort Wayne is a city in Allen County, Indiana, United States. The population in Fort Wayne was 267,927 in 2022. The median age in Fort Wayne was 35.1 in 2021. The median income in Fort Wayne was $30,762 in 2021. The unemployment rate in Fort Wayne was 3.4% in 2023. The percentage of people with obesity in Fort Wayne was 39.9% in 2021. The percentage of people who binge drink in Fort Wayne was 16% in 2021. The percentage of people who smoke in Fort Wayne was 19.2% in 2021.		Fort Wayne, a city in Allen County, Indiana, had a population of 267,927 in 2022. The median age was 35.1 years in 2021, with a median income of $30,762. Fort Wayne's unemployment rate stood at 3.4% in 2023. Additionally, in 2021, 39.9% of the population was classified as obese, 16% reported binge drinking, and 19.2% were smokers.
geoId/1836003	Indianapolis is a city in Marion County, Indiana, United States. The population in Indianapolis was 880,621 in 2022. The median age in Indianapolis was 34.3 in 2021. The median income in Indianapolis was $32,733 in 2021. The unemployment rate in Indianapolis was 3.4% in 2023. The percentage of people with obesity in Indianapolis was 37.4% in 2021. The percentage of people who binge drink in Indianapolis was 16.7% in 2021. The percentage of people who smoke in Indianapolis was 20.7% in 2021.		Indianapolis, a city in Marion County, Indiana, had a population of 880,621 in 2022. In 2021, the median age was 34.3 years, with a median income of $32,733. The city's unemployment rate in 2023 stood at 3.4%. Additionally, in 2021, 37.4% of the population was classified as obese, 16.7 % reported binge drinking, and 20.7% were smokers.
geoId/19	Iowa is a state in United States. The population in Iowa was 3,200,517 in 2022. The median age in Iowa was 38.3 in 2021. The median income in Iowa was $34,784 in 2021. The unemployment rate in Iowa was 2.9% in 2023. The life expectancy in Iowa was 77.5 in 2020. The percentage of people with obesity in Iowa was 37.07% in 2021. The percentage of people who binge drink in Iowa was 21.33% in 2021. The percentage of people who smoke in Iowa was 16.79% in 2021.		Iowa, a Midwestern U.S. state, had a population of 3,200,517 in 2022. The median age in 2021 was 38.3 years, with a median income of $34,784. The unemployment rate in 2023 was 2.9%. Life expectancy in 2020 was 77.5 years. Additionally, in 2021, 37.07% of the population was classified as obese, 21.33% reported binge drinking, and 16.79% were smokers.
geoId/20	Kansas is a state in United States. The population in Kansas was 2,937,150 in 2022. The median age in Kansas was 37 in 2021. The median income in Kansas was $34,153 in 2021. The unemployment rate in Kansas was 2.1% in 2023. The life expectancy in Kansas was 76.4 in 2020. The percentage of people with obesity in Kansas was 37.12% in 2021. The percentage of people who binge drink in Kansas was 18.55% in 2021. The percentage of people who smoke in Kansas was 16.78% in 2021.		Kansas, a state in the Midwestern United States, had a population of 2,937,150 in 2022. The median age in 2021 was 37 years, and the median income that year was $34,153. Kansas' unemployment rate in 2023 stood at a low 2.1%. Life expectancy in the state was 76.4 years in 2020. Additionally, in 2021, 37.12% of the population was classified as obese, 18.55% reported binge drinking, and 16.78% were smokers.
geoId/2079000	Wichita is a city in Sedgwick County, Kansas, United States. The population in Wichita was 396,192 in 2022. The median age in Wichita was 35.4 in 2021. The median income in Wichita was $31,228 in 2021. The unemployment rate in Wichita was 2.7% in 2023. The percentage of people with obesity in Wichita was 40.4% in 2021. The percentage of people who binge drink in Wichita was 16.6% in 2021. The percentage of people who smoke in Wichita was 20% in 2021.		Wichita, a city in Sedgwick County, Kansas, had a population of 396,192 in 2022. The median age in 2021 was 35.4 years, with a median income of $31,228. Wichita's unemployment rate in 2023 stood at 2.7%. Additionally, in 2021, 40.4% of the population was classified as obese, 16.6% reported binge drinking, and 20% were smokers.
geoId/21	Kentucky is a state in United States. The population in Kentucky was 4,512,310 in 2022. The median age in Kentucky was 39 in 2021. The median income in Kentucky was $29,523 in 2021. The unemployment rate in Kentucky was 3.9% in 2023. The life expectancy in Kentucky was 73.5 in 2020. The percentage of people with obesity in Kentucky was 38.49% in 2021. The percentage of people who binge drink in Kentucky was 15.43% in 2021. The percentage of people who smoke in Kentucky was 20.8% in 2021.		Kentucky, a state in the eastern United States, had a population of 4,512,310 in 2022. The median age in 2021 was 39 years, with a median income of $29,523. Kentucky's unemployment rate in 2023 stood at 3.9%. Life expectancy in the state was 73.5 years in 2020. Additionally, in 2021, 38.49% of the population was classified as obese, 15.43% reported binge drinking, and 20.8% were smokers.
geoId/2146027	Lexington is a city in Fayette County, Kentucky, United States. The population in Lexington was 320,347 in 2022. The median age in Lexington was 35 in 2021. The median income in Lexington was $32,712 in 2021. The unemployment rate in Lexington was 3.2% in 2023. The percentage of people with obesity in Lexington was 36% in 2021. The percentage of people who binge drink in Lexington was 15.9% in 2021. The percentage of people who smoke in Lexington was 17% in 2021.		Lexington, a city within Fayette County, Kentucky, had a population of 320,347 in 2022.  In 2021, the median age was 35 years with a median income of $32,712. The unemployment rate in Lexington stood at 3.2% in 2023. Additionally, in 2021, 36% of the population was classified as obese, 15.9% reported binge drinking, and 17% were smokers.
geoId/2148000	Louisville is a city in Jefferson County, Kentucky, United States. The population in Louisville was 253,128 in 1999. The percentage of people with obesity in Louisville was 41.4% in 2021. The percentage of people who binge drink in Louisville was 14.7% in 2021. The percentage of people who smoke in Louisville was 23.3% in 2021.		Louisville, a city in Jefferson County, Kentucky, had a population of 253,128 in 1999.  More recently, in 2021, 41.4% of the population was classified as obese, 14.7% reported binge drinking, and 23.3% were smokers.
geoId/2148006	Louisville/Jefferson County metro government (balance) is a city in Jefferson County, Kentucky, United States. The population in Louisville/Jefferson County metro government (balance) was 624,444 in 2022. The median age in Louisville/Jefferson County metro government (balance) was 37.6 in 2021. The median income in Louisville/Jefferson County metro government (balance) was $32,864 in 2021. The percentage of people with obesity in Louisville/Jefferson County metro government (balance) was 36.2% in 2021. The percentage of people who binge drink in Louisville/Jefferson County metro government (balance) was 16.7% in 2021. The percentage of people who smoke in Louisville/Jefferson County metro government (balance) was 18.5% in 2021.		Louisville/Jefferson County metro government (balance), a statistical entity in Kentucky, had a population of 624,444 in 2022. In 2021, the median age was 37.6 years, with a median income of $32,864. Additionally, in 2021, 36.2% of the population was classified as obese, 16.7% reported binge drinking, and 18.5% were smokers.
geoId/22	Louisiana is a state in United States. The population in Louisiana was 4,590,241 in 2022. The median age in Louisiana was 37.4 in 2021. The median income in Louisiana was $28,462 in 2021. The unemployment rate in Louisiana was 3.5% in 2023. The life expectancy in Louisiana was 73.1 in 2020. The percentage of people with obesity in Louisiana was 38.82% in 2021. The percentage of people who binge drink in Louisiana was 17.8% in 2021. The percentage of people who smoke in Louisiana was 21.32% in 2021.		Louisiana, a state in the southern United States, had a population of 4,590,241 in 2022. The median age in 2021 was 37.4 years, and the median income that year was $28,462. Louisiana's unemployment rate in 2023 stood at 3.5%. Life expectancy in 2020 was 73.1 years. Additionally, in 2021, 38.82% of the population was classified as obese, 17.8% reported binge drinking, and 21.32% were smokers.
geoId/2255000	New Orleans is a city in Orleans Parish, Louisiana, United States. The population in New Orleans was 369,749 in 2022. The median age in New Orleans was 37.7 in 2021. The median income in New Orleans was $27,682 in 2021. The unemployment rate in New Orleans was 4.2% in 2023. The percentage of people with obesity in New Orleans was 34.6% in 2021. The percentage of people who binge drink in New Orleans was 21% in 2021. The percentage of people who smoke in New Orleans was 19.4% in 2021.		New Orleans, a city within Orleans Parish, Louisiana, had a population of 369,749 in 2022.  The median age in 2021 was 37.7 years, with a median income of $27,682. The unemployment rate in New Orleans stood at 4.2% in 2023. Additionally, in 2021, 34.6% of the population was classified as obese, 21% reported binge drinking, and 19.4% were smokers.
